gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Pauline,Mckinney,1581,Frances Ct,Pembroke Pines,Oklahoma,United States,41941,-75.0475,131.3736,-7:00,Mountain Time (US & Canada),pauline.mckinney@example.com,1993-11-30T17:38:29.451Z,28,2012-11-03T16:52:16.396Z,9,(182)-588-4657,(724)-962-0361,SSN,489-50-9563,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,US
female,Miss,Cassandra,Ward,2583,Mockingbird Hill,San Jose,Wyoming,United States,45399,52.0425,110.8966,-2:00,Mid-Atlantic,cassandra.ward@example.com,1957-05-30T01:36:21.819Z,64,2006-08-23T05:01:13.462Z,15,(062)-942-6804,(757)-851-5811,SSN,240-74-4946,https://randomuser.me/api/portraits/women/16.jpg,https://randomuser.me/api/portraits/med/women/16.jpg,https://randomuser.me/api/portraits/thumb/women/16.jpg,US
female,Ms,Erica,Williamson,6172,Wycliff Ave,Spokane,Massachusetts,United States,41551,-47.5459,-89.0683,-10:00,Hawaii,erica.williamson@example.com,1969-05-25T14:01:21.115Z,52,2003-12-31T01:18:45.118Z,18,(938)-874-3656,(305)-566-2705,SSN,608-97-7743,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
male,Mr,Nathan,Olson,5265,Hickory Creek Dr,Waterbury,Arkansas,United States,62223,41.8139,91.8478,-2:00,Mid-Atlantic,nathan.olson@example.com,1955-10-21T16:13:10.388Z,66,2014-02-12T09:29:29.212Z,7,(446)-138-6962,(805)-871-0107,SSN,838-69-9553,https://randomuser.me/api/portraits/men/5.jpg,https://randomuser.me/api/portraits/med/men/5.jpg,https://randomuser.me/api/portraits/thumb/men/5.jpg,US
male,Mr,Jesus,Williams,1906,Hunters Creek Dr,Modesto,Louisiana,United States,50400,49.3377,-50.2638,+3:30,Tehran,jesus.williams@example.com,1973-10-27T18:37:16.068Z,48,2011-06-18T21:49:33.314Z,10,(915)-209-1999,(019)-599-7793,SSN,412-43-5257,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
female,Miss,Ramona,Mendoza,5837,E North St,Tucson,Wyoming,United States,48714,11.2188,37.7438,-2:00,Mid-Atlantic,ramona.mendoza@example.com,1975-10-01T17:45:55.033Z,46,2017-10-24T16:29:29.641Z,4,(956)-351-5747,(316)-466-8836,SSN,394-62-3189,https://randomuser.me/api/portraits/women/75.jpg,https://randomuser.me/api/portraits/med/women/75.jpg,https://randomuser.me/api/portraits/thumb/women/75.jpg,US
male,Mr,Roland,Reynolds,513,White Oak Dr,Norfolk,Delaware,United States,10883,-48.3141,110.6938,+4:30,Kabul,roland.reynolds@example.com,1997-06-06T22:46:17.948Z,24,2008-12-31T18:16:14.269Z,13,(359)-280-1110,(029)-217-2264,SSN,901-59-5740,https://randomuser.me/api/portraits/men/87.jpg,https://randomuser.me/api/portraits/med/men/87.jpg,https://randomuser.me/api/portraits/thumb/men/87.jpg,US
male,Mr,Isaac,Meyer,3082,Mcclellan Rd,Paterson,Alabama,United States,98482,78.9310,170.1876,+5:45,Kathmandu,isaac.meyer@example.com,1986-05-10T20:45:08.912Z,35,2018-11-12T01:01:52.814Z,3,(886)-176-3806,(294)-210-7813,SSN,660-63-5168,https://randomuser.me/api/portraits/men/80.jpg,https://randomuser.me/api/portraits/med/men/80.jpg,https://randomuser.me/api/portraits/thumb/men/80.jpg,US
female,Ms,Mae,Lane,6170,Thornridge Cir,Concord,Nebraska,United States,48852,76.6235,-166.9100,-9:00,Alaska,mae.lane@example.com,1959-02-12T19:50:44.869Z,62,2019-07-29T13:43:42.387Z,2,(645)-777-1783,(469)-259-4916,SSN,955-76-1137,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
female,Mrs,Pamela,Duncan,8894,Royal Ln,Baltimore,Illinois,United States,97820,-79.5225,151.4269,+4:30,Kabul,pamela.duncan@example.com,1979-05-20T22:43:58.845Z,42,2008-06-07T13:10:52.360Z,13,(137)-075-8856,(670)-750-5495,SSN,561-15-1054,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
