gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Clifton,Grant,3783,Hunters Creek Dr,Bueblo,Indiana,United States,31885,36.6935,154.9717,+5:45,Kathmandu,clifton.grant@example.com,1993-05-06T16:56:45.037Z,28,2003-02-04T19:36:20.155Z,18,(070)-385-8042,(701)-894-4490,SSN,190-46-5575,https://randomuser.me/api/portraits/men/52.jpg,https://randomuser.me/api/portraits/med/men/52.jpg,https://randomuser.me/api/portraits/thumb/men/52.jpg,US
female,Ms,Yvonne,Wilson,1334,Edwards Rd,Tulsa,Alabama,United States,93278,-29.6904,-152.3074,-2:00,Mid-Atlantic,yvonne.wilson@example.com,1976-03-30T05:22:42.778Z,45,2015-07-01T02:49:57.567Z,6,(539)-663-0890,(171)-385-7105,SSN,380-67-3512,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
male,Mr,Neil,Cooper,1222,Country Club Rd,Elgin,Georgia,United States,89368,25.0763,62.5700,-9:00,Alaska,neil.cooper@example.com,1948-12-07T18:19:12.064Z,73,2016-10-25T11:51:38.133Z,5,(071)-878-0419,(773)-112-9546,SSN,214-37-1459,https://randomuser.me/api/portraits/men/43.jpg,https://randomuser.me/api/portraits/med/men/43.jpg,https://randomuser.me/api/portraits/thumb/men/43.jpg,US
female,Ms,Debra,Jimenez,3931,Rolling Green Rd,Woodbridge,Tennessee,United States,32259,19.1446,-172.7727,+4:30,Kabul,debra.jimenez@example.com,1983-12-01T09:39:00.606Z,38,2005-11-12T03:35:05.879Z,16,(525)-272-9855,(659)-034-9135,SSN,650-74-8113,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg,US
female,Miss,Kaylee,Berry,6288,Fincher Rd,Seattle,North Dakota,United States,75853,70.6207,-111.2443,-3:30,Newfoundland,kaylee.berry@example.com,1961-12-16T22:50:01.006Z,60,2003-09-10T02:25:26.171Z,18,(077)-450-7753,(694)-342-1331,SSN,004-69-7760,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg,US
female,Ms,Alyssa,Price,9757,Valwood Pkwy,Baltimore,Missouri,United States,92983,28.0507,90.1761,-10:00,Hawaii,alyssa.price@example.com,1990-07-04T06:32:33.029Z,31,2017-11-15T09:56:45.813Z,4,(287)-092-0046,(268)-855-9275,SSN,697-47-1229,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
female,Ms,Sophia,Torres,4782,N Stelling Rd,Des Moines,Alaska,United States,38790,-18.0761,54.6167,+4:30,Kabul,sophia.torres@example.com,1974-05-28T08:56:06.718Z,47,2016-12-03T20:16:08.192Z,5,(279)-339-7094,(295)-912-6037,SSN,224-53-3109,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
male,Mr,Bob,Hughes,9307,Pockrus Page Rd,Aurora,Idaho,United States,96939,-78.1761,-91.8328,-10:00,Hawaii,bob.hughes@example.com,1971-12-25T09:37:34.486Z,50,2004-10-26T06:03:47.276Z,17,(104)-740-3950,(151)-366-0599,SSN,749-34-0359,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,US
female,Mrs,Rita,Simpson,2070,Camden Ave,Warren,South Dakota,United States,40419,-30.4814,-60.2307,+4:30,Kabul,rita.simpson@example.com,1965-02-18T07:50:34.156Z,56,2006-06-25T05:45:47.444Z,15,(671)-963-5660,(279)-769-7056,SSN,249-93-4468,https://randomuser.me/api/portraits/women/19.jpg,https://randomuser.me/api/portraits/med/women/19.jpg,https://randomuser.me/api/portraits/thumb/women/19.jpg,US
female,Ms,Erica,Stevens,1588,E Little York Rd,Round Rock,Massachusetts,United States,97067,12.6921,-73.4055,+5:45,Kathmandu,erica.stevens@example.com,1965-11-28T14:19:57.885Z,56,2014-03-15T05:43:52.986Z,7,(292)-161-6169,(852)-668-1616,SSN,668-15-5516,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
female,Miss,Layla,Black,210,Green Rd,Hampton,Massachusetts,United States,32956,17.9087,5.9432,-7:00,Mountain Time (US & Canada),layla.black@example.com,1947-03-13T13:51:55.865Z,74,2018-05-01T20:04:32.205Z,3,(007)-768-7482,(289)-979-8900,SSN,079-42-8959,https://randomuser.me/api/portraits/women/31.jpg,https://randomuser.me/api/portraits/med/women/31.jpg,https://randomuser.me/api/portraits/thumb/women/31.jpg,US
male,Mr,Carlos,Johnston,9347,Railroad St,Frederick,West Virginia,United States,48658,32.3630,83.4140,-3:30,Newfoundland,carlos.johnston@example.com,1954-12-13T21:35:45.049Z,67,2010-08-15T05:01:24.527Z,11,(096)-986-4417,(885)-474-8739,SSN,541-65-5048,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
male,Mr,Bryan,Perry,6024,Oak Ridge Ln,Shiloh,Iowa,United States,26562,-36.0743,179.1677,+5:45,Kathmandu,bryan.perry@example.com,1976-03-03T03:01:44.623Z,45,2002-05-02T00:30:57.377Z,19,(489)-369-4739,(227)-112-2201,SSN,831-34-1302,https://randomuser.me/api/portraits/men/38.jpg,https://randomuser.me/api/portraits/med/men/38.jpg,https://randomuser.me/api/portraits/thumb/men/38.jpg,US
male,Mr,Hunter,Hart,103,Sunset St,Escondido,Massachusetts,United States,38981,55.3646,-135.7262,-7:00,Mountain Time (US & Canada),hunter.hart@example.com,1996-04-24T12:53:13.225Z,25,2007-02-03T11:08:28.597Z,14,(353)-725-8290,(691)-082-8306,SSN,128-41-6556,https://randomuser.me/api/portraits/men/90.jpg,https://randomuser.me/api/portraits/med/men/90.jpg,https://randomuser.me/api/portraits/thumb/men/90.jpg,US
male,Mr,Jeffery,Medina,8132,Bruce St,Elizabeth,Georgia,United States,61935,-84.8041,54.9404,-8:00,Pacific Time (US & Canada),jeffery.medina@example.com,1971-10-21T21:23:40.531Z,50,2008-03-04T15:00:14.242Z,13,(497)-697-1126,(434)-810-2801,SSN,657-57-7456,https://randomuser.me/api/portraits/men/1.jpg,https://randomuser.me/api/portraits/med/men/1.jpg,https://randomuser.me/api/portraits/thumb/men/1.jpg,US
female,Ms,Pauline,Mason,3012,Karen Dr,Addison,Idaho,United States,96939,-56.4802,-19.2342,-8:00,Pacific Time (US & Canada),pauline.mason@example.com,1980-01-05T22:36:06.961Z,41,2015-09-06T13:25:32.198Z,6,(353)-017-0993,(281)-536-8770,SSN,918-51-5524,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg,US
