gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Dolores,Kuhn,5526,Mcclellan Rd,West Covina,Maine,United States,48848,45.7416,37.2991,-7:00,Mountain Time (US & Canada),dolores.kuhn@example.com,1972-09-13T19:59:20.284Z,49,2009-09-22T08:58:02.883Z,12,(591)-554-4864,(233)-937-1181,SSN,752-97-6830,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
female,Ms,Rosemary,Owens,3588,Dane St,Cape Coral,Pennsylvania,United States,10672,18.4066,178.0206,-10:00,Hawaii,rosemary.owens@example.com,1950-10-15T01:14:47.321Z,71,2007-05-21T13:33:52.503Z,14,(012)-013-7523,(887)-435-8220,SSN,526-64-6493,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,US
male,Mr,Lance,Miller,5573,Rolling Green Rd,Riverside,Ohio,United States,45125,-37.8232,-120.7923,-7:00,Mountain Time (US & Canada),lance.miller@example.com,1992-12-08T21:50:12.277Z,29,2008-03-04T10:50:41.062Z,13,(604)-595-3771,(094)-944-5562,SSN,240-20-2533,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
female,Mrs,Penny,Harris,3661,Cackson St,Lakeland,South Dakota,United States,54999,-79.2837,30.7272,-2:00,Mid-Atlantic,penny.harris@example.com,1961-04-12T09:32:12.628Z,60,2006-06-26T19:59:51.641Z,15,(931)-199-4114,(927)-620-3348,SSN,343-17-3096,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
female,Miss,Michelle,Schmidt,9835,Fairview St,Santa Ana,Nebraska,United States,56294,78.8369,71.1643,-10:00,Hawaii,michelle.schmidt@example.com,1945-08-06T18:28:26.997Z,76,2015-06-25T17:02:17.745Z,6,(661)-725-1927,(387)-798-5864,SSN,972-04-9334,https://randomuser.me/api/portraits/women/47.jpg,https://randomuser.me/api/portraits/med/women/47.jpg,https://randomuser.me/api/portraits/thumb/women/47.jpg,US
male,Mr,Luke,Reed,5883,Country Club Rd,Evansville,Delaware,United States,65938,72.4744,-40.0978,-2:00,Mid-Atlantic,luke.reed@example.com,1947-12-16T23:18:06.587Z,74,2005-12-18T11:37:41.110Z,16,(421)-190-0748,(053)-370-0545,SSN,531-07-8235,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
male,Mr,Steven,Chapman,7411,W Gray St,Arvada,Oregon,United States,34925,-48.7538,170.2182,-8:00,Pacific Time (US & Canada),steven.chapman@example.com,1986-02-22T10:08:27.739Z,35,2013-11-07T03:29:46.209Z,8,(105)-891-9958,(022)-941-2365,SSN,833-97-1055,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
female,Miss,Kenzi,Carpenter,6873,Brown Terrace,Escondido,Connecticut,United States,13042,68.6245,69.2515,-10:00,Hawaii,kenzi.carpenter@example.com,1949-06-04T11:33:48.962Z,72,2014-02-08T13:52:54.824Z,7,(787)-163-7289,(595)-270-7657,SSN,614-16-7857,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
male,Mr,Corey,Hunter,4027,Oak Lawn Ave,Knoxville,Delaware,United States,36976,-68.6221,102.7437,-8:00,Pacific Time (US & Canada),corey.hunter@example.com,1960-03-14T01:11:32.540Z,61,2008-06-21T21:30:58.368Z,13,(038)-344-8428,(444)-911-3763,SSN,273-67-0849,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,US
female,Ms,Lena,Day,2484,Hogan St,Corpus Christi,Missouri,United States,69265,71.9902,-99.7531,+4:30,Kabul,lena.day@example.com,1958-07-17T16:14:18.427Z,63,2015-06-16T17:50:04.308Z,6,(498)-667-3346,(166)-681-7443,SSN,160-17-2435,https://randomuser.me/api/portraits/women/23.jpg,https://randomuser.me/api/portraits/med/women/23.jpg,https://randomuser.me/api/portraits/thumb/women/23.jpg,US
male,Mr,Liam,Gardner,9570,Parker Rd,Rialto,Florida,United States,49735,58.1814,171.3796,-9:00,Alaska,liam.gardner@example.com,1950-01-13T11:41:11.849Z,71,2006-07-08T10:43:26.163Z,15,(788)-012-2791,(871)-946-9072,SSN,070-28-9333,https://randomuser.me/api/portraits/men/65.jpg,https://randomuser.me/api/portraits/med/men/65.jpg,https://randomuser.me/api/portraits/thumb/men/65.jpg,US
female,Mrs,Layla,Tucker,9148,N Stelling Rd,Modesto,Alaska,United States,79830,28.0794,95.4295,-2:00,Mid-Atlantic,layla.tucker@example.com,1950-01-18T04:36:43.217Z,71,2009-02-15T20:22:45.026Z,12,(735)-336-1018,(751)-038-2401,SSN,480-96-2999,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
male,Mr,Alex,Bates,9098,W Dallas St,Worcester,South Dakota,United States,17402,-32.6943,33.7739,-2:00,Mid-Atlantic,alex.bates@example.com,1983-12-20T22:56:50.791Z,38,2010-06-14T20:48:44.833Z,11,(041)-928-7559,(029)-459-9265,SSN,022-21-6198,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
female,Miss,Martha,Little,9383,Rolling Green Rd,Miramar,New Jersey,United States,71620,-17.6317,137.0153,+5:45,Kathmandu,martha.little@example.com,1948-09-16T18:45:07.987Z,73,2006-07-08T06:35:00.422Z,15,(141)-300-0987,(123)-456-7985,SSN,320-02-8317,https://randomuser.me/api/portraits/women/62.jpg,https://randomuser.me/api/portraits/med/women/62.jpg,https://randomuser.me/api/portraits/thumb/women/62.jpg,US
female,Mrs,Deanna,Lucas,4885,Plum St,Stanley,Oregon,United States,71346,46.9290,168.2247,+3:30,Tehran,deanna.lucas@example.com,1979-12-06T00:42:47.878Z,42,2010-10-06T21:32:59.676Z,11,(796)-311-2961,(469)-682-8464,SSN,030-06-6668,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
female,Miss,Judith,Patterson,5358,Marsh Ln,El Monte,Michigan,United States,26719,2.9591,-3.7818,-8:00,Pacific Time (US & Canada),judith.patterson@example.com,1983-06-10T03:21:46.932Z,38,2008-02-02T15:42:01.419Z,13,(768)-490-9395,(389)-102-0367,SSN,864-13-2082,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,US
male,Mr,Jack,Stone,8389,W Gray St,New York,Vermont,United States,27965,-67.5169,169.6652,+5:45,Kathmandu,jack.stone@example.com,1968-06-13T19:08:46.450Z,53,2015-02-26T14:23:19.432Z,6,(616)-802-3631,(311)-971-3680,SSN,116-62-6832,https://randomuser.me/api/portraits/men/83.jpg,https://randomuser.me/api/portraits/med/men/83.jpg,https://randomuser.me/api/portraits/thumb/men/83.jpg,US
