gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Juan,Peck,9889,Pecan Acres Ln,Tacoma,Missouri,United States,92771,3.9381,-127.2434,+5:45,Kathmandu,juan.peck@example.com,1973-10-05T10:38:05.356Z,48,2012-02-03T12:34:44.481Z,9,(790)-194-4106,(716)-959-2756,SSN,090-02-7711,https://randomuser.me/api/portraits/men/65.jpg,https://randomuser.me/api/portraits/med/men/65.jpg,https://randomuser.me/api/portraits/thumb/men/65.jpg,US
male,Mr,Ross,Gonzalez,8596,Mockingbird Ln,Tyler,Kentucky,United States,19073,-17.3233,66.1008,-7:00,Mountain Time (US & Canada),ross.gonzalez@example.com,1977-07-17T00:34:54.706Z,44,2011-01-08T11:27:05.649Z,10,(825)-529-4329,(952)-452-0733,SSN,118-88-9004,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,US
female,Miss,Lynn,Hudson,6367,Miller Ave,Moscow,Missouri,United States,50684,62.0660,-85.0077,+4:30,Kabul,lynn.hudson@example.com,1965-07-05T18:06:24.592Z,56,2002-09-22T08:09:03.370Z,19,(386)-401-7959,(926)-821-7641,SSN,500-79-9330,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
male,Mr,Billy,Burns,4397,Edwards Rd,Vernon,Kansas,United States,23977,33.4741,87.6717,-2:00,Mid-Atlantic,billy.burns@example.com,1992-11-21T05:39:05.720Z,29,2006-01-28T15:30:44.673Z,15,(179)-352-6704,(906)-258-2870,SSN,067-05-1588,https://randomuser.me/api/portraits/men/52.jpg,https://randomuser.me/api/portraits/med/men/52.jpg,https://randomuser.me/api/portraits/thumb/men/52.jpg,US
male,Mr,Gene,Castillo,8807,Hogan St,San Diego,Colorado,United States,41859,38.3749,176.9691,-7:00,Mountain Time (US & Canada),gene.castillo@example.com,1971-04-27T09:34:05.683Z,50,2014-08-26T06:29:35.651Z,7,(843)-919-6344,(036)-226-9046,SSN,917-43-1726,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
male,Mr,Jeff,Mason,8398,Poplar Dr,Chula Vista,Tennessee,United States,61033,23.4387,25.3443,+4:30,Kabul,jeff.mason@example.com,1983-03-08T21:14:34.347Z,38,2017-02-12T03:21:01.712Z,4,(957)-357-0096,(492)-831-1704,SSN,782-87-8364,https://randomuser.me/api/portraits/men/6.jpg,https://randomuser.me/api/portraits/med/men/6.jpg,https://randomuser.me/api/portraits/thumb/men/6.jpg,US
male,Mr,Raul,Peterson,3237,Hillcrest Rd,Baltimore,Washington,United States,25654,10.0571,-68.1673,-2:00,Mid-Atlantic,raul.peterson@example.com,1950-11-24T01:37:24.312Z,71,2008-07-16T21:25:46.102Z,13,(272)-987-5742,(033)-020-0291,SSN,490-12-1601,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
female,Miss,Bertha,Barrett,140,Mcgowen St,Boston,Nebraska,United States,23368,4.7267,63.5040,+5:45,Kathmandu,bertha.barrett@example.com,1947-11-02T16:24:30.912Z,74,2006-10-02T13:59:30.767Z,15,(143)-922-4161,(192)-392-6955,SSN,074-75-0482,https://randomuser.me/api/portraits/women/75.jpg,https://randomuser.me/api/portraits/med/women/75.jpg,https://randomuser.me/api/portraits/thumb/women/75.jpg,US
male,Mr,Perry,Douglas,2211,Lakeview St,Tallahassee,Maryland,United States,67308,86.1108,28.7682,-3:30,Newfoundland,perry.douglas@example.com,1945-06-04T11:57:20.357Z,76,2002-05-11T13:18:36.776Z,19,(782)-489-7214,(211)-522-9264,SSN,816-35-3624,https://randomuser.me/api/portraits/men/89.jpg,https://randomuser.me/api/portraits/med/men/89.jpg,https://randomuser.me/api/portraits/thumb/men/89.jpg,US
female,Ms,Ruby,Webb,4590,Shady Ln Dr,Paterson,Minnesota,United States,82289,-75.0908,85.9519,-9:00,Alaska,ruby.webb@example.com,1986-07-09T13:02:32.553Z,35,2016-11-26T10:26:23.210Z,5,(302)-574-9870,(869)-712-3161,SSN,076-39-9215,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg,US
male,Mr,Ryan,Carpenter,5962,Marsh Ln,Roseville,Illinois,United States,59198,-82.5733,129.2370,-10:00,Hawaii,ryan.carpenter@example.com,1987-12-14T13:43:19.153Z,34,2007-06-22T20:23:44.430Z,14,(000)-145-2928,(465)-855-5936,SSN,696-98-2084,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
