gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Isaiah,Chapman,5763,Valwood Pkwy,Inglewood,Missouri,United States,17227,82.4977,-71.4111,+5:45,Kathmandu,isaiah.chapman@example.com,1945-07-17T03:01:59.852Z,76,2002-05-05T19:44:26.056Z,19,(494)-657-0042,(167)-416-9485,SSN,138-85-7169,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
female,Miss,Lynn,Barnes,127,Hunters Creek Dr,Cape Coral,North Carolina,United States,31407,-79.6059,171.9564,+5:45,Kathmandu,lynn.barnes@example.com,1986-11-09T05:58:49.248Z,35,2005-02-20T08:32:19.659Z,16,(779)-915-5769,(704)-607-7814,SSN,136-62-0462,https://randomuser.me/api/portraits/women/64.jpg,https://randomuser.me/api/portraits/med/women/64.jpg,https://randomuser.me/api/portraits/thumb/women/64.jpg,US
male,Mr,Marcus,Lane,2419,Smokey Ln,San Jose,Montana,United States,16821,-20.9071,-102.1826,-2:00,Mid-Atlantic,marcus.lane@example.com,1963-06-18T14:55:08.296Z,58,2002-06-21T07:30:12.939Z,19,(359)-680-1443,(640)-806-7186,SSN,174-80-7413,https://randomuser.me/api/portraits/men/90.jpg,https://randomuser.me/api/portraits/med/men/90.jpg,https://randomuser.me/api/portraits/thumb/men/90.jpg,US
female,Miss,April,Williams,4313,Camden Ave,Rio Rancho,Kentucky,United States,57930,-50.6134,-8.1691,-3:30,Newfoundland,april.williams@example.com,1956-02-20T21:41:33.628Z,65,2018-12-19T15:34:11.976Z,3,(735)-182-0325,(495)-678-5041,SSN,473-76-4273,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg,US
female,Miss,Wendy,Ortiz,4711,Nowlin Rd,Mesa,Wisconsin,United States,19307,17.6622,38.5069,-2:00,Mid-Atlantic,wendy.ortiz@example.com,1991-10-25T13:40:28.451Z,30,2011-05-25T21:04:58.813Z,10,(757)-086-3094,(041)-267-4785,SSN,410-53-8906,https://randomuser.me/api/portraits/women/86.jpg,https://randomuser.me/api/portraits/med/women/86.jpg,https://randomuser.me/api/portraits/thumb/women/86.jpg,US
female,Mrs,Joann,Prescott,9735,Edwards Rd,Princeton,Nebraska,United States,68915,-65.7096,177.0046,+5:45,Kathmandu,joann.prescott@example.com,1987-02-26T17:10:11.639Z,34,2002-08-23T10:44:00.839Z,19,(184)-758-3329,(839)-433-9139,SSN,410-51-4565,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
male,Mr,Tim,Stanley,8892,Pecan Acres Ln,Chattanooga,Rhode Island,United States,39199,28.0314,-145.0773,+3:30,Tehran,tim.stanley@example.com,1951-11-05T11:49:01.944Z,70,2009-07-29T13:00:59.912Z,12,(309)-755-1705,(932)-052-0639,SSN,486-88-8787,https://randomuser.me/api/portraits/men/88.jpg,https://randomuser.me/api/portraits/med/men/88.jpg,https://randomuser.me/api/portraits/thumb/men/88.jpg,US
male,Mr,Eli,Miller,603,Adams St,Newport News,Washington,United States,15631,77.6483,62.4894,+4:30,Kabul,eli.miller@example.com,1991-11-01T22:44:53.774Z,30,2005-09-11T08:16:22.612Z,16,(763)-299-0063,(929)-384-4679,SSN,923-58-8802,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
female,Miss,Annette,Curtis,6204,Fairview St,Norwalk,Nebraska,United States,74333,-48.3850,106.7151,-3:30,Newfoundland,annette.curtis@example.com,1985-09-01T13:38:00.278Z,36,2003-05-13T05:11:25.509Z,18,(154)-474-3321,(058)-097-8487,SSN,506-16-4597,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
male,Mr,Herman,Ruiz,9287,E Pecan St,Yonkers,California,United States,23179,36.0538,-144.2046,-7:00,Mountain Time (US & Canada),herman.ruiz@example.com,1997-10-25T18:06:25.960Z,24,2011-05-13T00:54:06.037Z,10,(321)-577-2264,(128)-012-1912,SSN,499-19-8856,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
female,Miss,Ana,Stephens,1185,Hogan St,Scurry,Connecticut,United States,35208,74.7002,-55.6027,-3:30,Newfoundland,ana.stephens@example.com,1997-05-02T15:19:39.751Z,24,2004-06-27T19:03:42.816Z,17,(189)-660-4138,(757)-863-8872,SSN,594-94-0003,https://randomuser.me/api/portraits/women/41.jpg,https://randomuser.me/api/portraits/med/women/41.jpg,https://randomuser.me/api/portraits/thumb/women/41.jpg,US
male,Mr,Troy,Steward,6195,Spring St,Orange,Virginia,United States,63363,-35.3173,-153.0347,-3:30,Newfoundland,troy.steward@example.com,1975-03-27T15:28:35.463Z,46,2015-01-18T23:20:27.876Z,6,(520)-979-0774,(135)-786-5793,SSN,301-98-8976,https://randomuser.me/api/portraits/men/6.jpg,https://randomuser.me/api/portraits/med/men/6.jpg,https://randomuser.me/api/portraits/thumb/men/6.jpg,US
male,Mr,Karl,Jackson,2953,Shady Ln Dr,Henderson,Alabama,United States,69929,-32.6676,176.5469,+3:30,Tehran,karl.jackson@example.com,1978-07-11T09:32:42.287Z,43,2015-03-26T08:46:54.419Z,6,(966)-090-1915,(762)-509-3303,SSN,308-40-6597,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
female,Mrs,Jeanne,Horton,357,Karen Dr,Detroit,Oregon,United States,64618,76.9652,124.2277,-2:00,Mid-Atlantic,jeanne.horton@example.com,1972-08-28T04:31:00.847Z,49,2008-04-15T12:42:21.862Z,13,(100)-240-4023,(034)-537-5019,SSN,128-63-6577,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
female,Mrs,Sheila,Lane,5074,Pockrus Page Rd,Elk Grove,Arkansas,United States,38401,-87.3636,4.8698,-7:00,Mountain Time (US & Canada),sheila.lane@example.com,1994-07-06T00:05:43.747Z,27,2003-02-10T19:00:56.029Z,18,(586)-303-1436,(409)-853-2263,SSN,205-10-9512,https://randomuser.me/api/portraits/women/63.jpg,https://randomuser.me/api/portraits/med/women/63.jpg,https://randomuser.me/api/portraits/thumb/women/63.jpg,US
female,Mrs,Rachel,Brown,913,Lakeshore Rd,Shelby,Nevada,United States,24406,-86.7490,-166.2260,+5:45,Kathmandu,rachel.brown@example.com,1956-04-16T09:21:23.563Z,65,2008-02-18T15:17:37.455Z,13,(654)-152-2513,(822)-319-4465,SSN,932-75-1443,https://randomuser.me/api/portraits/women/23.jpg,https://randomuser.me/api/portraits/med/women/23.jpg,https://randomuser.me/api/portraits/thumb/women/23.jpg,US
female,Ms,Nellie,Garrett,5600,Miller Ave,Raleigh,New Mexico,United States,64516,11.1712,-53.0130,-8:00,Pacific Time (US & Canada),nellie.garrett@example.com,1976-01-24T04:30:53.385Z,45,2017-10-25T22:19:02.769Z,4,(820)-400-8742,(399)-607-4717,SSN,860-86-0343,https://randomuser.me/api/portraits/women/47.jpg,https://randomuser.me/api/portraits/med/women/47.jpg,https://randomuser.me/api/portraits/thumb/women/47.jpg,US
male,Mr,William,Morales,5355,Paddock Way,Greensboro,Maryland,United States,39942,-13.1863,-65.9840,-2:00,Mid-Atlantic,william.morales@example.com,1957-04-16T16:20:01.244Z,64,2017-01-13T02:50:05.809Z,4,(197)-176-4633,(057)-010-1392,SSN,822-04-4947,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,US
