gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Nelson,Garrett,7698,Locust Rd,Montgomery,Illinois,United States,41380,-45.6491,-4.6696,+3:30,Tehran,nelson.garrett@example.com,1957-04-23T01:54:50.884Z,64,2018-05-09T08:33:27.605Z,3,(038)-138-4457,(153)-329-9989,SSN,111-13-9987,https://randomuser.me/api/portraits/men/90.jpg,https://randomuser.me/api/portraits/med/men/90.jpg,https://randomuser.me/api/portraits/thumb/men/90.jpg,US
male,Mr,Reginald,Kim,2311,Mcclellan Rd,Rochester,California,United States,45902,-8.7650,-10.3696,-10:00,Hawaii,reginald.kim@example.com,1951-06-18T06:30:08.415Z,70,2014-10-16T12:54:48.716Z,7,(400)-252-4807,(537)-401-8894,SSN,713-31-5151,https://randomuser.me/api/portraits/men/61.jpg,https://randomuser.me/api/portraits/med/men/61.jpg,https://randomuser.me/api/portraits/thumb/men/61.jpg,US
female,Ms,Becky,Lawson,8698,Pockrus Page Rd,Cedar Rapids,Hawaii,United States,57829,-37.5949,27.7886,-8:00,Pacific Time (US & Canada),becky.lawson@example.com,1995-10-31T12:30:18.446Z,26,2016-03-20T12:06:11.402Z,5,(608)-828-1194,(367)-150-9888,SSN,754-33-2459,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
male,Mr,Paul,Austin,6912,Mcclellan Rd,Olathe,Nebraska,United States,83554,-63.1022,71.8581,+3:30,Tehran,paul.austin@example.com,1958-01-12T10:04:32.928Z,63,2018-11-21T19:40:29.799Z,3,(056)-842-3807,(609)-111-4339,SSN,329-22-7498,https://randomuser.me/api/portraits/men/66.jpg,https://randomuser.me/api/portraits/med/men/66.jpg,https://randomuser.me/api/portraits/thumb/men/66.jpg,US
male,Mr,Dustin,Gibson,8064,Preston Rd,Pueblo,Rhode Island,United States,62887,31.4307,94.3425,-7:00,Mountain Time (US & Canada),dustin.gibson@example.com,1974-10-10T15:45:16.855Z,47,2019-07-11T21:24:07.075Z,2,(002)-830-1062,(986)-631-9918,SSN,231-24-7867,https://randomuser.me/api/portraits/men/53.jpg,https://randomuser.me/api/portraits/med/men/53.jpg,https://randomuser.me/api/portraits/thumb/men/53.jpg,US
male,Mr,Alan,Sullivan,2180,Oak Ridge Ln,St. Louis,Kansas,United States,74053,-58.3290,-118.6899,+5:45,Kathmandu,alan.sullivan@example.com,1987-11-20T13:07:43.473Z,34,2007-11-20T04:02:46.694Z,14,(945)-311-0520,(012)-997-0289,SSN,161-12-2706,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
male,Mr,Chad,Hughes,1953,Stevens Creek Blvd,Pueblo,New York,United States,31931,-8.1246,-127.5738,+4:30,Kabul,chad.hughes@example.com,1995-07-19T11:59:13.513Z,26,2019-06-11T08:30:22.466Z,2,(759)-086-3377,(577)-539-9108,SSN,300-80-5949,https://randomuser.me/api/portraits/men/80.jpg,https://randomuser.me/api/portraits/med/men/80.jpg,https://randomuser.me/api/portraits/thumb/men/80.jpg,US
female,Miss,Wendy,Nelson,2777,Brown Terrace,Duncanville,California,United States,60705,-6.8683,-169.4355,-3:30,Newfoundland,wendy.nelson@example.com,1979-12-12T14:13:34.810Z,42,2009-01-29T14:46:19.546Z,12,(440)-125-7009,(272)-643-8912,SSN,982-87-9922,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
female,Ms,Colleen,Alvarez,8188,Brown Terrace,Burbank,Idaho,United States,96235,-80.9534,19.2492,-3:30,Newfoundland,colleen.alvarez@example.com,1947-05-02T10:48:57.934Z,74,2015-05-21T21:10:52.089Z,6,(660)-545-6424,(898)-028-1299,SSN,791-51-3822,https://randomuser.me/api/portraits/women/40.jpg,https://randomuser.me/api/portraits/med/women/40.jpg,https://randomuser.me/api/portraits/thumb/women/40.jpg,US
male,Mr,Aaron,Richardson,643,Hillcrest Rd,Philadelphia,Tennessee,United States,10853,3.7878,-8.0230,-8:00,Pacific Time (US & Canada),aaron.richardson@example.com,1947-12-29T17:00:44.876Z,74,2006-04-04T08:42:17.847Z,15,(982)-239-6934,(393)-252-4425,SSN,937-04-9095,https://randomuser.me/api/portraits/men/69.jpg,https://randomuser.me/api/portraits/med/men/69.jpg,https://randomuser.me/api/portraits/thumb/men/69.jpg,US
male,Mr,Claude,Carpenter,1184,Edwards Rd,South Valley,South Dakota,United States,23741,-61.4977,-81.9686,+3:30,Tehran,claude.carpenter@example.com,1986-01-09T08:46:03.232Z,35,2019-04-04T08:54:56.615Z,2,(396)-497-7827,(110)-820-8627,SSN,241-27-0568,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
male,Mr,Jorge,Shaw,4801,Lone Wolf Trail,Antioch,Mississippi,United States,84584,-4.2475,-31.7091,-2:00,Mid-Atlantic,jorge.shaw@example.com,1956-08-10T21:51:00.121Z,65,2011-05-18T05:31:49.653Z,10,(650)-498-3314,(868)-542-7442,SSN,106-15-7440,https://randomuser.me/api/portraits/men/63.jpg,https://randomuser.me/api/portraits/med/men/63.jpg,https://randomuser.me/api/portraits/thumb/men/63.jpg,US
male,Mr,Anthony,Bishop,242,Bollinger Rd,Abilene,New York,United States,61585,85.7024,172.7036,-9:00,Alaska,anthony.bishop@example.com,1975-10-31T20:10:27.083Z,46,2009-06-30T03:58:19.317Z,12,(341)-195-5433,(489)-562-0107,SSN,330-76-2829,https://randomuser.me/api/portraits/men/29.jpg,https://randomuser.me/api/portraits/med/men/29.jpg,https://randomuser.me/api/portraits/thumb/men/29.jpg,US
female,Miss,Rhonda,Crawford,8118,Hunters Creek Dr,Salinas,South Dakota,United States,17688,-62.3051,-165.7204,-9:00,Alaska,rhonda.crawford@example.com,1988-10-06T12:52:25.989Z,33,2005-12-02T03:47:30.271Z,16,(459)-419-1855,(459)-237-9734,SSN,236-85-1402,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,US
