gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Cindy,Riley,7270,E Little York Rd,Little Rock,Oklahoma,United States,97223,72.3490,-23.5357,-2:00,Mid-Atlantic,cindy.riley@example.com,1967-09-19T14:09:20.036Z,54,2010-01-05T00:11:59.215Z,11,(677)-092-5440,(450)-187-2478,SSN,556-19-2268,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg,US
female,Miss,Gertrude,Elliott,2836,College St,Hollywood,Oregon,United States,53685,27.8298,77.5956,-3:30,Newfoundland,gertrude.elliott@example.com,1967-03-18T11:15:49.440Z,54,2014-03-19T23:53:32.817Z,7,(820)-287-3946,(339)-732-1604,SSN,421-06-0511,https://randomuser.me/api/portraits/women/5.jpg,https://randomuser.me/api/portraits/med/women/5.jpg,https://randomuser.me/api/portraits/thumb/women/5.jpg,US
female,Ms,Jacqueline,Perkins,9790,Mockingbird Ln,Steilacoom,Arkansas,United States,60473,81.1434,141.3967,-10:00,Hawaii,jacqueline.perkins@example.com,1969-01-27T22:57:11.038Z,52,2005-05-08T14:06:28.183Z,16,(022)-122-1125,(349)-894-0455,SSN,095-64-8947,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg,US
male,Mr,Logan,Miles,3203,Daisy Dr,San Bernardino,Vermont,United States,93402,-48.4787,-81.2384,-3:30,Newfoundland,logan.miles@example.com,1980-10-23T05:04:11.584Z,41,2004-05-28T23:58:36.268Z,17,(810)-671-3165,(267)-810-6212,SSN,961-53-4071,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
female,Ms,Jacqueline,Robertson,1777,Preston Rd,Gainesville,North Dakota,United States,15431,-71.1967,-88.5535,+5:45,Kathmandu,jacqueline.robertson@example.com,1987-11-09T09:56:38.715Z,34,2010-09-25T05:11:18.559Z,11,(487)-852-6272,(796)-786-4082,SSN,873-01-3677,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
female,Mrs,Marcia,Rivera,743,Marsh Ln,Shreveport,Idaho,United States,34972,-41.3811,163.1233,-7:00,Mountain Time (US & Canada),marcia.rivera@example.com,1980-09-08T15:54:38.128Z,41,2017-02-08T17:03:07.674Z,4,(167)-780-8644,(225)-367-6592,SSN,140-74-0334,https://randomuser.me/api/portraits/women/93.jpg,https://randomuser.me/api/portraits/med/women/93.jpg,https://randomuser.me/api/portraits/thumb/women/93.jpg,US
male,Mr,Don,Cruz,677,Karen Dr,Gainesville,Wyoming,United States,67820,1.2528,-42.7931,-9:00,Alaska,don.cruz@example.com,1959-05-10T12:09:28.038Z,62,2011-05-21T11:33:28.453Z,10,(356)-124-2071,(802)-549-0654,SSN,577-82-1075,https://randomuser.me/api/portraits/men/9.jpg,https://randomuser.me/api/portraits/med/men/9.jpg,https://randomuser.me/api/portraits/thumb/men/9.jpg,US
male,Mr,Aaron,Crawford,2611,White Oak Dr,El Cajon,Kentucky,United States,21832,-20.6163,134.1652,-3:30,Newfoundland,aaron.crawford@example.com,1984-11-08T20:00:08.585Z,37,2017-11-05T00:04:05.897Z,4,(626)-421-7770,(442)-991-3005,SSN,526-50-6752,https://randomuser.me/api/portraits/men/58.jpg,https://randomuser.me/api/portraits/med/men/58.jpg,https://randomuser.me/api/portraits/thumb/men/58.jpg,US
male,Mr,Carl,Jenkins,3301,Ranchview Dr,Memphis,Idaho,United States,22401,81.7267,58.4170,-7:00,Mountain Time (US & Canada),carl.jenkins@example.com,1984-04-12T20:22:23.200Z,37,2014-12-10T10:25:45.259Z,7,(112)-178-1027,(537)-846-1317,SSN,526-43-2783,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
male,Mr,Ronnie,Myers,5948,Marsh Ln,Flowermound,Mississippi,United States,93217,-59.5068,-153.2796,-7:00,Mountain Time (US & Canada),ronnie.myers@example.com,1991-12-16T06:53:18.269Z,30,2002-11-12T04:31:09.683Z,19,(055)-061-6067,(301)-228-3315,SSN,952-17-9499,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
