gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Megan,Graham,6945,W Pecan St,Fort Lauderdale,Nebraska,United States,90836,57.3125,83.4620,-10:00,Hawaii,megan.graham@example.com,1970-08-10T13:05:04.440Z,51,2011-06-24T13:11:14.124Z,10,(203)-673-6169,(954)-491-2653,SSN,992-43-6535,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
male,Mr,Tristan,Morales,9265,W 6th St,Westminster,Utah,United States,59066,-13.8796,12.2177,-10:00,Hawaii,tristan.morales@example.com,1967-08-25T15:17:11.364Z,54,2007-12-14T21:13:22.386Z,14,(992)-261-8232,(633)-439-4007,SSN,639-81-0392,https://randomuser.me/api/portraits/men/38.jpg,https://randomuser.me/api/portraits/med/men/38.jpg,https://randomuser.me/api/portraits/thumb/men/38.jpg,US
male,Mr,Jared,Simmons,267,Brown Terrace,Stockton,Rhode Island,United States,34818,24.0881,72.5435,-3:30,Newfoundland,jared.simmons@example.com,1962-12-29T10:22:15.883Z,59,2010-07-08T08:58:37.503Z,11,(077)-550-4674,(717)-177-9579,SSN,165-81-8444,https://randomuser.me/api/portraits/men/95.jpg,https://randomuser.me/api/portraits/med/men/95.jpg,https://randomuser.me/api/portraits/thumb/men/95.jpg,US
male,Mr,Wallace,Berry,4383,E North St,Grand Rapids,North Carolina,United States,33974,-51.2256,-99.9069,-9:00,Alaska,wallace.berry@example.com,1992-07-08T12:51:02.366Z,29,2005-11-10T23:18:31.754Z,16,(447)-506-2548,(587)-056-5833,SSN,319-03-0277,https://randomuser.me/api/portraits/men/74.jpg,https://randomuser.me/api/portraits/med/men/74.jpg,https://randomuser.me/api/portraits/thumb/men/74.jpg,US
female,Ms,Louella,Ramirez,6486,Mcgowen St,Anchorage,Missouri,United States,25512,17.6228,6.0712,-3:30,Newfoundland,louella.ramirez@example.com,1994-03-30T13:52:03.657Z,27,2002-04-07T03:58:17.144Z,19,(504)-914-1528,(652)-702-5170,SSN,337-05-4830,https://randomuser.me/api/portraits/women/21.jpg,https://randomuser.me/api/portraits/med/women/21.jpg,https://randomuser.me/api/portraits/thumb/women/21.jpg,US
female,Ms,Leta,Pearson,8699,Spring St,Coppell,New York,United States,84653,70.8728,-162.2099,-9:00,Alaska,leta.pearson@example.com,1980-07-29T15:05:58.865Z,41,2019-02-11T10:33:25.493Z,2,(928)-474-4073,(089)-832-9873,SSN,482-82-1031,https://randomuser.me/api/portraits/women/10.jpg,https://randomuser.me/api/portraits/med/women/10.jpg,https://randomuser.me/api/portraits/thumb/women/10.jpg,US
female,Miss,Christy,Fields,7837,Daisy Dr,Lousville,North Dakota,United States,49091,-39.2305,26.3639,+3:30,Tehran,christy.fields@example.com,1966-12-31T14:38:20.324Z,55,2011-12-10T14:20:04.008Z,10,(110)-935-0129,(748)-550-7645,SSN,234-88-8069,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,US
male,Mr,Salvador,Fernandez,8285,Bollinger Rd,Rochmond,Colorado,United States,52651,4.1813,107.1723,-10:00,Hawaii,salvador.fernandez@example.com,1987-03-29T03:38:48.856Z,34,2014-12-11T19:46:36.207Z,7,(295)-959-6427,(014)-814-6962,SSN,560-16-6735,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
male,Mr,Calvin,Powell,4734,Railroad St,Chesapeake,New Mexico,United States,69666,-66.2378,146.9075,+3:30,Tehran,calvin.powell@example.com,1985-10-08T10:20:10.844Z,36,2003-06-17T09:54:03.259Z,18,(115)-939-3333,(300)-181-9004,SSN,630-34-9098,https://randomuser.me/api/portraits/men/56.jpg,https://randomuser.me/api/portraits/med/men/56.jpg,https://randomuser.me/api/portraits/thumb/men/56.jpg,US
female,Miss,Leta,Patterson,2714,First Street,Little Rock,Nebraska,United States,80304,56.7074,39.0849,-3:30,Newfoundland,leta.patterson@example.com,1995-12-13T01:11:50.633Z,26,2005-04-11T21:07:26.376Z,16,(071)-095-9136,(708)-128-9882,SSN,545-52-1651,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg,US
male,Mr,Everett,Duncan,4693,Spring Hill Rd,Lakeland,California,United States,20989,13.2403,110.1590,+3:30,Tehran,everett.duncan@example.com,1982-09-23T00:47:59.660Z,39,2005-11-20T20:47:26.209Z,16,(179)-472-8103,(400)-007-5439,SSN,416-36-2696,https://randomuser.me/api/portraits/men/63.jpg,https://randomuser.me/api/portraits/med/men/63.jpg,https://randomuser.me/api/portraits/thumb/men/63.jpg,US
