gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Freddie,Pearson,5185,Spring Hill Rd,Roseville,Wyoming,United States,61687,84.5824,68.4294,+5:45,Kathmandu,freddie.pearson@example.com,1965-10-30T08:29:28.909Z,56,2015-11-24T08:29:29.200Z,6,(284)-707-7904,(390)-110-1941,SSN,713-10-9376,https://randomuser.me/api/portraits/men/1.jpg,https://randomuser.me/api/portraits/med/men/1.jpg,https://randomuser.me/api/portraits/thumb/men/1.jpg,US
male,Mr,William,Frazier,3178,W Campbell Ave,Santa Rosa,Ohio,United States,59218,31.7895,-27.5375,-3:30,Newfoundland,william.frazier@example.com,1973-01-28T08:52:42.812Z,48,2005-10-16T17:31:11.710Z,16,(076)-421-6895,(723)-698-2195,SSN,935-81-1184,https://randomuser.me/api/portraits/men/58.jpg,https://randomuser.me/api/portraits/med/men/58.jpg,https://randomuser.me/api/portraits/thumb/men/58.jpg,US
male,Mr,Steven,Snyder,8821,Samaritan Dr,Newark,Kansas,United States,69463,-83.8536,71.8332,-3:30,Newfoundland,steven.snyder@example.com,1980-03-14T23:39:44.325Z,41,2017-01-30T11:48:47.284Z,4,(802)-287-9301,(340)-433-2587,SSN,717-66-8620,https://randomuser.me/api/portraits/men/78.jpg,https://randomuser.me/api/portraits/med/men/78.jpg,https://randomuser.me/api/portraits/thumb/men/78.jpg,US
female,Mrs,Lily,Carlson,9345,Westheimer Rd,Grants Pass,Maine,United States,83764,88.5148,-106.0184,-2:00,Mid-Atlantic,lily.carlson@example.com,1954-03-26T14:20:11.963Z,67,2006-03-21T22:03:15.155Z,15,(294)-099-5910,(866)-656-2805,SSN,576-83-6079,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
male,Mr,Adam,Peck,3980,Locust Rd,Westminster,Utah,United States,18458,68.7902,83.2852,-7:00,Mountain Time (US & Canada),adam.peck@example.com,1958-07-06T00:09:00.165Z,63,2012-09-23T12:32:26.405Z,9,(071)-671-4491,(138)-315-3307,SSN,822-56-6319,https://randomuser.me/api/portraits/men/83.jpg,https://randomuser.me/api/portraits/med/men/83.jpg,https://randomuser.me/api/portraits/thumb/men/83.jpg,US
male,Mr,Noah,Carroll,5513,Oak Ridge Ln,Washington,North Carolina,United States,24183,-4.7584,-57.5354,+3:30,Tehran,noah.carroll@example.com,1979-11-26T09:32:44.555Z,42,2018-11-24T02:26:27.181Z,3,(095)-834-8751,(761)-514-6239,SSN,296-09-4976,https://randomuser.me/api/portraits/men/58.jpg,https://randomuser.me/api/portraits/med/men/58.jpg,https://randomuser.me/api/portraits/thumb/men/58.jpg,US
male,Mr,Julian,Curtis,372,Forest Ln,Frisco,Virginia,United States,83878,-61.9862,152.2894,-2:00,Mid-Atlantic,julian.curtis@example.com,1974-08-30T19:06:19.670Z,47,2011-07-18T04:06:49.103Z,10,(774)-737-6683,(381)-989-6186,SSN,556-31-0190,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
male,Mr,Devon,Henry,6069,E Center St,Spokane,Wyoming,United States,44946,-24.9230,53.4222,-2:00,Mid-Atlantic,devon.henry@example.com,1991-05-02T18:15:22.697Z,30,2016-03-20T21:59:23.818Z,5,(883)-593-5909,(236)-828-3519,SSN,106-37-7636,https://randomuser.me/api/portraits/men/93.jpg,https://randomuser.me/api/portraits/med/men/93.jpg,https://randomuser.me/api/portraits/thumb/men/93.jpg,US
male,Mr,Charlie,Sutton,6144,E Little York Rd,Lexington,Utah,United States,97996,-40.9216,132.7892,+4:30,Kabul,charlie.sutton@example.com,1969-07-27T06:44:45.735Z,52,2010-04-14T12:28:38.809Z,11,(203)-599-2176,(535)-763-2723,SSN,333-94-5131,https://randomuser.me/api/portraits/men/54.jpg,https://randomuser.me/api/portraits/med/men/54.jpg,https://randomuser.me/api/portraits/thumb/men/54.jpg,US
male,Mr,Caleb,Holland,1440,Dane St,Cedar Hill,Maryland,United States,85555,26.7421,-37.9313,+4:30,Kabul,caleb.holland@example.com,1998-04-04T18:33:11.045Z,23,2003-10-30T16:32:28.185Z,18,(830)-659-2281,(872)-899-9579,SSN,951-97-5295,https://randomuser.me/api/portraits/men/86.jpg,https://randomuser.me/api/portraits/med/men/86.jpg,https://randomuser.me/api/portraits/thumb/men/86.jpg,US
male,Mr,Claude,Martin,639,Fairview St,Palm Bay,Washington,United States,57881,-57.4771,-47.7789,+3:30,Tehran,claude.martin@example.com,1995-10-10T18:00:12.964Z,26,2002-12-18T00:52:07.373Z,19,(579)-336-5947,(668)-358-3390,SSN,962-20-3081,https://randomuser.me/api/portraits/men/68.jpg,https://randomuser.me/api/portraits/med/men/68.jpg,https://randomuser.me/api/portraits/thumb/men/68.jpg,US
male,Mr,Jesse,Andrews,5011,W Sherman Dr,Fort Wayne,Oregon,United States,98292,72.5009,20.7319,-10:00,Hawaii,jesse.andrews@example.com,1997-07-22T11:53:45.947Z,24,2013-07-20T11:26:21.195Z,8,(081)-233-0475,(161)-445-6684,SSN,366-77-9686,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
male,Mr,Guy,Crawford,5507,Westheimer Rd,Baltimore,Maryland,United States,21110,30.1692,-155.9697,-3:30,Newfoundland,guy.crawford@example.com,1960-02-04T21:22:11.867Z,61,2011-02-27T22:02:40.832Z,10,(528)-019-0921,(845)-421-1412,SSN,748-72-6009,https://randomuser.me/api/portraits/men/53.jpg,https://randomuser.me/api/portraits/med/men/53.jpg,https://randomuser.me/api/portraits/thumb/men/53.jpg,US
female,Mrs,Irene,Jones,1631,Woodland St,Surrey,Washington,United States,72073,-34.1036,-93.0143,+5:45,Kathmandu,irene.jones@example.com,1983-12-07T13:17:58.440Z,38,2010-05-14T18:23:02.884Z,11,(062)-564-1673,(365)-366-3357,SSN,984-81-1689,https://randomuser.me/api/portraits/women/65.jpg,https://randomuser.me/api/portraits/med/women/65.jpg,https://randomuser.me/api/portraits/thumb/women/65.jpg,US
