gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Eric,Campbell,4927,Woodland St,Santa Clara,Wyoming,United States,31381,80.9644,-87.1870,-3:30,Newfoundland,eric.campbell@example.com,1959-06-07T23:04:37.688Z,62,2018-02-14T11:20:26.905Z,3,(398)-947-1011,(433)-368-9691,SSN,119-45-4666,https://randomuser.me/api/portraits/men/63.jpg,https://randomuser.me/api/portraits/med/men/63.jpg,https://randomuser.me/api/portraits/thumb/men/63.jpg,US
female,Miss,Lydia,Wallace,9179,Prospect Rd,Indianapolis,Oregon,United States,15784,-88.4186,161.1427,+4:30,Kabul,lydia.wallace@example.com,1967-03-19T21:44:28.715Z,54,2013-11-02T09:42:19.579Z,8,(817)-915-0017,(128)-239-9314,SSN,016-14-6648,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
male,Mr,Marcus,Pierce,3729,Stevens Creek Blvd,Chicago,New York,United States,16062,-37.9541,-15.1318,+3:30,Tehran,marcus.pierce@example.com,1986-01-14T02:01:16.329Z,35,2019-04-19T20:11:26.983Z,2,(973)-880-8666,(711)-101-4142,SSN,705-45-3457,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
male,Mr,Curtis,Barnes,422,Locust Rd,Glendale,Idaho,United States,32218,-75.6308,11.8049,-2:00,Mid-Atlantic,curtis.barnes@example.com,1955-10-11T07:06:08.010Z,66,2005-06-16T13:07:02.448Z,16,(981)-700-1987,(666)-036-6054,SSN,210-44-6436,https://randomuser.me/api/portraits/men/83.jpg,https://randomuser.me/api/portraits/med/men/83.jpg,https://randomuser.me/api/portraits/thumb/men/83.jpg,US
male,Mr,Matthew,Jensen,66,Preston Rd,Anna,New Mexico,United States,42153,6.3833,139.7643,-10:00,Hawaii,matthew.jensen@example.com,1996-05-18T12:54:09.651Z,25,2006-10-01T16:44:01.937Z,15,(052)-890-9401,(705)-827-6859,SSN,460-30-3471,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
female,Miss,Irene,Perry,1098,Photinia Ave,Carrollton,North Carolina,United States,20404,-6.5500,54.1369,-10:00,Hawaii,irene.perry@example.com,1958-06-25T00:54:12.971Z,63,2012-10-22T19:59:28.023Z,9,(603)-667-3018,(150)-059-8642,SSN,215-30-0962,https://randomuser.me/api/portraits/women/10.jpg,https://randomuser.me/api/portraits/med/women/10.jpg,https://randomuser.me/api/portraits/thumb/women/10.jpg,US
male,Mr,Wesley,Carroll,9819,W Pecan St,Baltimore,Texas,United States,18084,-51.5457,-40.7658,-3:30,Newfoundland,wesley.carroll@example.com,1965-12-08T01:09:43.150Z,56,2013-02-25T14:32:56.863Z,8,(070)-949-3341,(858)-845-1121,SSN,576-80-7137,https://randomuser.me/api/portraits/men/9.jpg,https://randomuser.me/api/portraits/med/men/9.jpg,https://randomuser.me/api/portraits/thumb/men/9.jpg,US
male,Mr,Julio,Vargas,9042,Hamilton Ave,Glendale,Colorado,United States,12469,-4.7798,-94.3002,-3:30,Newfoundland,julio.vargas@example.com,1960-09-25T03:53:45.711Z,61,2007-05-01T07:04:01.597Z,14,(236)-589-7478,(119)-467-8742,SSN,610-51-8846,https://randomuser.me/api/portraits/men/53.jpg,https://randomuser.me/api/portraits/med/men/53.jpg,https://randomuser.me/api/portraits/thumb/men/53.jpg,US
male,Mr,Edgar,Austin,3292,Rolling Green Rd,Anchorage,Alabama,United States,54314,49.1732,-92.4501,-7:00,Mountain Time (US & Canada),edgar.austin@example.com,1981-08-05T23:26:13.033Z,40,2009-07-29T13:09:31.751Z,12,(023)-836-8599,(316)-545-7866,SSN,386-09-1391,https://randomuser.me/api/portraits/men/20.jpg,https://randomuser.me/api/portraits/med/men/20.jpg,https://randomuser.me/api/portraits/thumb/men/20.jpg,US
female,Mrs,Gwendolyn,Brooks,3009,Royal Ln,Ironville,Michigan,United States,43543,-49.1675,-87.9685,-8:00,Pacific Time (US & Canada),gwendolyn.brooks@example.com,1951-12-26T16:41:52.470Z,70,2009-09-28T06:07:22.182Z,12,(764)-417-3600,(977)-639-5103,SSN,648-87-2603,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg,US
