gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Camila,Nelson,4596,Blossom Hill Rd,Dallas,Rhode Island,United States,38051,-25.2606,45.3434,+3:30,Tehran,camila.nelson@example.com,1959-05-10T07:33:21.179Z,62,2008-07-17T09:44:23.585Z,13,(215)-204-5544,(266)-243-5841,SSN,834-89-8634,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
female,Miss,Harper,Lowe,2669,Hunters Creek Dr,Dayton,Indiana,United States,73112,53.6435,-139.2028,-7:00,Mountain Time (US & Canada),harper.lowe@example.com,1973-08-12T05:13:36.782Z,48,2014-09-30T09:48:00.264Z,7,(994)-257-3015,(067)-484-9633,SSN,970-51-4856,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
male,Mr,Jesus,Wheeler,2025,Frances Ct,Louisville,North Dakota,United States,47689,-65.1522,128.7588,-7:00,Mountain Time (US & Canada),jesus.wheeler@example.com,1980-02-28T07:27:52.752Z,41,2012-03-11T12:21:34.478Z,9,(706)-452-7221,(359)-672-8811,SSN,709-84-8259,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
male,Mr,Leon,Cook,8282,Eason Rd,Norman,Ohio,United States,62581,6.3666,77.5029,+4:30,Kabul,leon.cook@example.com,1978-07-31T22:14:08.032Z,43,2014-10-30T11:33:50.748Z,7,(962)-926-8346,(474)-286-5392,SSN,835-54-0101,https://randomuser.me/api/portraits/men/8.jpg,https://randomuser.me/api/portraits/med/men/8.jpg,https://randomuser.me/api/portraits/thumb/men/8.jpg,US
female,Miss,Leslie,Lewis,2465,Smokey Ln,Simi Valley,Massachusetts,United States,62055,-16.8889,86.4768,+4:30,Kabul,leslie.lewis@example.com,1997-11-19T22:38:58.704Z,24,2002-11-13T02:30:04.682Z,19,(144)-248-4467,(071)-944-6060,SSN,983-14-3747,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
female,Miss,Susan,Peck,9946,Wycliff Ave,Redding,Mississippi,United States,51763,-55.1663,-108.8050,-10:00,Hawaii,susan.peck@example.com,1952-02-12T15:36:00.222Z,69,2004-05-18T01:32:30.197Z,17,(754)-299-3695,(406)-262-1098,SSN,458-76-6968,https://randomuser.me/api/portraits/women/83.jpg,https://randomuser.me/api/portraits/med/women/83.jpg,https://randomuser.me/api/portraits/thumb/women/83.jpg,US
male,Mr,Micheal,Hudson,3953,W Dallas St,Lewisville,Mississippi,United States,38729,-48.1336,48.3308,-7:00,Mountain Time (US & Canada),micheal.hudson@example.com,1958-11-03T09:09:19.511Z,63,2010-07-29T17:07:17.829Z,11,(847)-872-4406,(662)-805-1793,SSN,684-36-8835,https://randomuser.me/api/portraits/men/58.jpg,https://randomuser.me/api/portraits/med/men/58.jpg,https://randomuser.me/api/portraits/thumb/men/58.jpg,US
male,Mr,Morris,Daniels,4060,Shady Ln Dr,New Orleans,Montana,United States,47948,75.9436,-148.6446,+3:30,Tehran,morris.daniels@example.com,1980-03-16T16:33:21.965Z,41,2003-03-17T17:09:39.367Z,18,(819)-789-7394,(958)-680-3728,SSN,340-07-2969,https://randomuser.me/api/portraits/men/96.jpg,https://randomuser.me/api/portraits/med/men/96.jpg,https://randomuser.me/api/portraits/thumb/men/96.jpg,US
female,Mrs,June,Rhodes,8990,E Center St,Cambridge,Iowa,United States,51632,3.6756,-58.9908,+4:30,Kabul,june.rhodes@example.com,1981-06-10T19:00:29.872Z,40,2014-05-03T07:08:39.021Z,7,(131)-529-4452,(291)-072-9367,SSN,939-44-2219,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
male,Mr,Hunter,Stephens,380,E Little York Rd,Gainesville,Florida,United States,84524,-24.7461,-57.1086,-7:00,Mountain Time (US & Canada),hunter.stephens@example.com,1953-10-30T05:15:10.769Z,68,2015-08-27T07:36:15.193Z,6,(033)-775-6258,(149)-992-4022,SSN,737-86-0057,https://randomuser.me/api/portraits/men/59.jpg,https://randomuser.me/api/portraits/med/men/59.jpg,https://randomuser.me/api/portraits/thumb/men/59.jpg,US
