gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Karl,Watson,1737,W Sherman Dr,Saint Paul,West Virginia,United States,45760,34.2371,-169.2570,+4:30,Kabul,karl.watson@example.com,1958-11-23T15:46:27.050Z,63,2015-04-14T17:27:42.732Z,6,(195)-126-2341,(061)-466-3006,SSN,955-28-6745,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
male,Mr,Julio,Bowman,7081,Spring St,Great Falls,Arkansas,United States,80835,24.2139,-117.4871,-8:00,Pacific Time (US & Canada),julio.bowman@example.com,1946-12-17T15:34:01.499Z,75,2011-07-13T08:11:24.892Z,10,(590)-560-0750,(952)-694-3796,SSN,255-23-0557,https://randomuser.me/api/portraits/men/53.jpg,https://randomuser.me/api/portraits/med/men/53.jpg,https://randomuser.me/api/portraits/thumb/men/53.jpg,US
female,Miss,Connie,Russell,1601,Preston Rd,Fort Lauderdale,Kansas,United States,59264,-17.9338,175.4203,+5:45,Kathmandu,connie.russell@example.com,1956-11-05T20:29:24.857Z,65,2009-02-10T07:09:23.032Z,12,(360)-093-2348,(339)-601-2329,SSN,295-59-4290,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg,US
female,Ms,Sonia,Hanson,5391,Spring St,Belen,Iowa,United States,88504,58.0093,41.9984,-10:00,Hawaii,sonia.hanson@example.com,1967-05-31T13:14:31.458Z,54,2005-05-17T19:32:45.817Z,16,(485)-355-2228,(127)-288-3279,SSN,430-36-5401,https://randomuser.me/api/portraits/women/31.jpg,https://randomuser.me/api/portraits/med/women/31.jpg,https://randomuser.me/api/portraits/thumb/women/31.jpg,US
male,Mr,Cody,Fernandez,6818,First Street,Chula Vista,Indiana,United States,76198,-83.4229,-134.1144,-7:00,Mountain Time (US & Canada),cody.fernandez@example.com,1973-10-04T03:37:14.849Z,48,2009-09-13T05:49:46.045Z,12,(220)-512-5534,(094)-264-5432,SSN,439-75-9066,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
female,Mrs,Carmen,Wood,3204,Hogan St,Visalia,Texas,United States,12078,-24.1413,61.1393,-10:00,Hawaii,carmen.wood@example.com,1944-09-19T18:06:36.566Z,77,2019-08-17T05:07:03.289Z,2,(622)-808-9688,(477)-231-3456,SSN,846-54-5552,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
female,Miss,Grace,Hernandez,3741,Stevens Creek Blvd,Los Angeles,Kansas,United States,71492,-12.9261,-30.0539,+4:30,Kabul,grace.hernandez@example.com,1993-03-11T14:02:43.493Z,28,2002-05-27T03:47:29.318Z,19,(499)-793-2529,(021)-277-7587,SSN,584-72-1888,https://randomuser.me/api/portraits/women/56.jpg,https://randomuser.me/api/portraits/med/women/56.jpg,https://randomuser.me/api/portraits/thumb/women/56.jpg,US
male,Mr,Jesus,Edwards,5247,Marsh Ln,Gresham,Utah,United States,71407,-82.4556,6.8595,+3:30,Tehran,jesus.edwards@example.com,1984-02-15T19:40:28.193Z,37,2018-02-04T01:51:46.366Z,3,(634)-783-4446,(459)-263-3239,SSN,359-78-1066,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
male,Mr,Owen,Marshall,5331,W Sherman Dr,Henderson,Florida,United States,18479,-0.3723,-62.4553,+5:45,Kathmandu,owen.marshall@example.com,1975-05-25T17:04:22.734Z,46,2018-04-02T12:57:00.338Z,3,(420)-225-8567,(235)-428-6692,SSN,524-34-0601,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,US
female,Miss,Zoey,Clark,135,W Belt Line Rd,Las Vegas,North Dakota,United States,86535,66.7604,-42.7241,+3:30,Tehran,zoey.clark@example.com,1960-11-08T19:29:49.591Z,61,2014-05-19T17:56:55.024Z,7,(365)-533-8022,(458)-540-7349,SSN,595-10-5482,https://randomuser.me/api/portraits/women/83.jpg,https://randomuser.me/api/portraits/med/women/83.jpg,https://randomuser.me/api/portraits/thumb/women/83.jpg,US
