gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Jack,Wallace,5310,Hillcrest Rd,Oxnard,Idaho,United States,41899,-45.0200,-86.8645,+4:30,Kabul,jack.wallace@example.com,1952-02-20T00:24:24.820Z,69,2018-10-10T00:56:21.327Z,3,(153)-166-6912,(334)-665-2943,SSN,220-18-1480,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,US
male,Mr,Ricky,Barnett,6270,Groveland Terrace,West Jordan,New Mexico,United States,52360,62.6400,145.9220,-10:00,Hawaii,ricky.barnett@example.com,1959-08-22T09:25:55.202Z,62,2015-02-01T09:08:52.226Z,6,(570)-576-3490,(188)-241-6277,SSN,085-43-4676,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
male,Mr,Lloyd,Watkins,571,Mockingbird Ln,Salem,Maryland,United States,23530,42.0141,-19.2774,-9:00,Alaska,lloyd.watkins@example.com,1961-05-20T11:06:05.090Z,60,2011-10-29T16:54:12.833Z,10,(474)-165-0355,(627)-367-3642,SSN,431-20-9559,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
male,Mr,Darren,Mitchelle,7776,Valwood Pkwy,Frederick,Tennessee,United States,94508,8.0855,-47.1615,+3:30,Tehran,darren.mitchelle@example.com,1978-04-20T05:03:14.664Z,43,2017-02-11T21:51:33.696Z,4,(152)-966-3100,(327)-023-4085,SSN,065-34-0914,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
male,Mr,Dustin,Harvey,4883,W 6th St,Mckinney,Connecticut,United States,42943,63.9017,88.4199,-2:00,Mid-Atlantic,dustin.harvey@example.com,1953-04-25T04:45:38.710Z,68,2017-05-18T18:27:27.502Z,4,(431)-011-6972,(209)-205-6598,SSN,244-41-3925,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
male,Mr,Marcus,Mendoza,9900,Homestead Rd,Pearland,Maine,United States,69885,74.8537,76.6675,-7:00,Mountain Time (US & Canada),marcus.mendoza@example.com,1951-07-12T20:26:47.820Z,70,2004-04-29T20:00:55.354Z,17,(722)-714-6876,(069)-199-9731,SSN,864-55-5937,https://randomuser.me/api/portraits/men/12.jpg,https://randomuser.me/api/portraits/med/men/12.jpg,https://randomuser.me/api/portraits/thumb/men/12.jpg,US
male,Mr,Julio,Duncan,8286,Valwood Pkwy,York,Kentucky,United States,36850,-40.9486,148.3369,-10:00,Hawaii,julio.duncan@example.com,1990-07-20T01:13:30.444Z,31,2007-06-22T16:03:18.485Z,14,(315)-221-3929,(049)-208-2985,SSN,259-54-8447,https://randomuser.me/api/portraits/men/41.jpg,https://randomuser.me/api/portraits/med/men/41.jpg,https://randomuser.me/api/portraits/thumb/men/41.jpg,US
female,Mrs,Pauline,Peters,1735,Pockrus Page Rd,Hampton,Arkansas,United States,70253,-28.1467,15.1660,-10:00,Hawaii,pauline.peters@example.com,1955-02-01T10:36:29.397Z,66,2004-07-20T02:49:14.955Z,17,(601)-988-0862,(674)-216-5857,SSN,706-28-6218,https://randomuser.me/api/portraits/women/10.jpg,https://randomuser.me/api/portraits/med/women/10.jpg,https://randomuser.me/api/portraits/thumb/women/10.jpg,US
male,Mr,Kyle,Robinson,645,Stevens Creek Blvd,Columbus,New Mexico,United States,87721,-76.4803,-37.9024,+3:30,Tehran,kyle.robinson@example.com,1972-10-28T03:41:45.437Z,49,2006-06-07T11:11:32.880Z,15,(054)-791-9793,(061)-802-7243,SSN,441-13-7782,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
male,Mr,Noah,Little,102,W Gray St,Billings,Vermont,United States,86332,-7.5232,-18.5353,-10:00,Hawaii,noah.little@example.com,1993-12-17T14:45:30.408Z,28,2010-10-05T16:41:51.042Z,11,(301)-635-8700,(681)-250-9562,SSN,588-33-6207,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
