gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Stephanie,Dean,3509,Pockrus Page Rd,Greeley,Arizona,United States,71863,62.0130,-60.3035,+3:30,Tehran,stephanie.dean@example.com,1973-04-27T13:15:07.354Z,48,2003-07-28T21:47:33.880Z,18,(090)-854-3103,(112)-108-4297,SSN,796-71-3591,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
female,Ms,Wendy,Green,5769,Washington Ave,Sioux Falls,North Carolina,United States,61766,89.5722,79.9227,-8:00,Pacific Time (US & Canada),wendy.green@example.com,1960-03-31T00:36:10.096Z,61,2007-02-12T14:11:28.319Z,14,(837)-670-9109,(493)-911-7902,SSN,601-01-7704,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
female,Mrs,Rose,Stewart,4725,Ranchview Dr,Tampa,Wisconsin,United States,35163,-73.9069,162.5916,-3:30,Newfoundland,rose.stewart@example.com,1968-10-07T04:30:58.749Z,53,2005-12-08T22:55:47.399Z,16,(072)-791-4326,(545)-045-2103,SSN,920-43-8288,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
male,Mr,Billy,Wilson,964,Pockrus Page Rd,Thousand Oaks,Vermont,United States,55781,18.4909,92.4592,-2:00,Mid-Atlantic,billy.wilson@example.com,1959-03-06T05:26:32.780Z,62,2016-12-01T02:14:09.041Z,5,(854)-820-5518,(875)-782-0048,SSN,711-79-3244,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
male,Mr,Nathaniel,Harper,9023,Nowlin Rd,Provo,Virginia,United States,18418,-89.8172,-55.9156,-2:00,Mid-Atlantic,nathaniel.harper@example.com,1991-03-29T15:59:15.657Z,30,2019-01-24T23:28:48.059Z,2,(295)-315-4100,(188)-143-5894,SSN,542-29-1404,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
male,Mr,Chris,Prescott,8570,Green Rd,Escondido,Minnesota,United States,36507,-33.3931,132.7184,-3:30,Newfoundland,chris.prescott@example.com,1991-01-02T21:41:54.440Z,30,2019-07-16T23:09:01.357Z,2,(035)-568-3370,(012)-839-0139,SSN,902-28-2154,https://randomuser.me/api/portraits/men/84.jpg,https://randomuser.me/api/portraits/med/men/84.jpg,https://randomuser.me/api/portraits/thumb/men/84.jpg,US
male,Mr,Kirk,Nichols,6907,Photinia Ave,Dumas,Rhode Island,United States,38357,56.0757,-146.0012,-10:00,Hawaii,kirk.nichols@example.com,1977-01-05T14:11:43.646Z,44,2017-12-28T23:47:28.778Z,4,(229)-590-1854,(110)-636-1458,SSN,229-02-9577,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
female,Miss,Teresa,Jennings,5482,W Gray St,Shiloh,Hawaii,United States,29580,27.8105,-33.2102,-3:30,Newfoundland,teresa.jennings@example.com,1971-07-03T08:01:11.725Z,50,2002-03-29T11:10:25.921Z,19,(343)-446-2396,(890)-657-8937,SSN,709-11-1600,https://randomuser.me/api/portraits/women/31.jpg,https://randomuser.me/api/portraits/med/women/31.jpg,https://randomuser.me/api/portraits/thumb/women/31.jpg,US
male,Mr,Gary,Stewart,7081,Wycliff Ave,Aubrey,Oregon,United States,66475,77.9213,126.4625,+5:45,Kathmandu,gary.stewart@example.com,1970-05-19T12:38:02.704Z,51,2018-11-03T03:09:54.548Z,3,(781)-167-2281,(345)-609-7905,SSN,789-24-8588,https://randomuser.me/api/portraits/men/89.jpg,https://randomuser.me/api/portraits/med/men/89.jpg,https://randomuser.me/api/portraits/thumb/men/89.jpg,US
male,Mr,Fernando,Lawson,7507,Prospect Rd,Tampa,Maryland,United States,84484,51.5695,116.7239,-3:30,Newfoundland,fernando.lawson@example.com,1989-04-17T04:35:56.736Z,32,2015-09-19T18:13:38.718Z,6,(895)-813-2683,(096)-712-0138,SSN,844-55-6495,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
