gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Gordon,Cooper,6932,Dane St,Torrance,Nebraska,United States,85196,5.4178,-120.1456,-2:00,Mid-Atlantic,gordon.cooper@example.com,1966-06-27T04:42:18.112Z,55,2011-08-22T04:56:29.294Z,10,(307)-879-3474,(118)-678-6093,SSN,859-33-8088,https://randomuser.me/api/portraits/men/89.jpg,https://randomuser.me/api/portraits/med/men/89.jpg,https://randomuser.me/api/portraits/thumb/men/89.jpg,US
male,Mr,Franklin,Dixon,9246,Smokey Ln,Chandler,Nevada,United States,94830,-78.6773,-88.0462,+4:30,Kabul,franklin.dixon@example.com,1980-06-20T13:58:55.679Z,41,2006-02-08T00:16:15.130Z,15,(889)-521-1616,(154)-928-9052,SSN,741-60-0864,https://randomuser.me/api/portraits/men/65.jpg,https://randomuser.me/api/portraits/med/men/65.jpg,https://randomuser.me/api/portraits/thumb/men/65.jpg,US
female,Miss,Julia,Patterson,2652,Royal Ln,Chattanooga,Maine,United States,41551,40.3753,-89.1666,-7:00,Mountain Time (US & Canada),julia.patterson@example.com,1945-05-20T13:40:25.811Z,76,2011-07-28T15:17:22.234Z,10,(088)-119-1992,(475)-286-1917,SSN,660-66-4100,https://randomuser.me/api/portraits/women/43.jpg,https://randomuser.me/api/portraits/med/women/43.jpg,https://randomuser.me/api/portraits/thumb/women/43.jpg,US
female,Miss,Rachel,Watts,7600,Paddock Way,Rialto,Arkansas,United States,20176,79.9029,20.6043,+4:30,Kabul,rachel.watts@example.com,1946-03-16T10:32:29.087Z,75,2017-09-10T01:35:55.550Z,4,(513)-824-6904,(903)-288-4051,SSN,107-39-9183,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
male,Mr,Daryl,Gordon,8403,Prospect Rd,Tyler,Missouri,United States,44662,82.1433,4.2495,-9:00,Alaska,daryl.gordon@example.com,1950-07-18T17:34:57.021Z,71,2018-03-22T04:49:47.461Z,3,(423)-568-3421,(234)-821-7722,SSN,540-78-7385,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
female,Ms,Alyssa,Burns,2223,Bruce St,Fresno,Oregon,United States,96710,-71.6054,122.5382,-7:00,Mountain Time (US & Canada),alyssa.burns@example.com,1950-10-25T20:56:03.112Z,71,2019-09-14T18:58:19.303Z,2,(613)-265-1695,(738)-028-2033,SSN,621-99-9522,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,US
female,Ms,Kristina,Crawford,194,E Little York Rd,Toledo,New Mexico,United States,10209,-14.7537,-83.1204,+3:30,Tehran,kristina.crawford@example.com,1958-02-06T23:38:00.878Z,63,2004-04-13T09:14:02.619Z,17,(344)-563-1028,(342)-926-8538,SSN,732-31-4979,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
male,Mr,Harvey,Little,9519,Homestead Rd,Cleveland,North Dakota,United States,66063,8.6382,7.4154,-9:00,Alaska,harvey.little@example.com,1993-09-21T10:24:28.442Z,28,2009-10-21T22:51:00.666Z,12,(551)-800-8460,(335)-801-8506,SSN,889-22-4380,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
female,Miss,Mildred,Patterson,4369,Saddle Dr,Sterling Heights,Ohio,United States,42096,-28.4521,83.9908,-2:00,Mid-Atlantic,mildred.patterson@example.com,1947-11-29T13:26:34.045Z,74,2011-08-14T14:57:22.843Z,10,(796)-123-7597,(326)-165-1711,SSN,457-11-0182,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Mrs,Amanda,Harrison,7013,Lakeshore Rd,Kansas City,Delaware,United States,24025,-47.5473,-163.0610,-2:00,Mid-Atlantic,amanda.harrison@example.com,1992-09-05T16:34:13.708Z,29,2019-09-25T07:25:28.300Z,2,(636)-054-0646,(685)-194-5613,SSN,418-79-1306,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
