gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Landon,Turner,7689,E Pecan St,Alexandria,Washington,United States,70801,-87.5396,-61.8671,+5:45,Kathmandu,landon.turner@example.com,1974-02-11T17:45:12.190Z,47,2006-01-12T10:55:12.301Z,15,(360)-554-4169,(032)-329-9046,SSN,991-06-6539,https://randomuser.me/api/portraits/men/83.jpg,https://randomuser.me/api/portraits/med/men/83.jpg,https://randomuser.me/api/portraits/thumb/men/83.jpg,US
male,Mr,Willie,Curtis,5594,Blossom Hill Rd,Princeton,New Mexico,United States,75741,62.1303,-114.1446,-10:00,Hawaii,willie.curtis@example.com,1960-09-24T07:44:09.761Z,61,2006-11-07T00:30:45.049Z,15,(867)-674-9245,(091)-516-8677,SSN,867-77-8333,https://randomuser.me/api/portraits/men/86.jpg,https://randomuser.me/api/portraits/med/men/86.jpg,https://randomuser.me/api/portraits/thumb/men/86.jpg,US
male,Mr,Jar,Peck,9978,James St,Knoxville,North Carolina,United States,80531,55.6010,121.6594,+5:45,Kathmandu,jar.peck@example.com,1947-11-25T05:07:24.400Z,74,2003-11-05T13:06:16.088Z,18,(156)-930-4025,(449)-095-1498,SSN,013-58-9821,https://randomuser.me/api/portraits/men/3.jpg,https://randomuser.me/api/portraits/med/men/3.jpg,https://randomuser.me/api/portraits/thumb/men/3.jpg,US
female,Ms,Evelyn,Brooks,8617,Woodland St,Miami,Wyoming,United States,93515,-81.9893,160.2922,+5:45,Kathmandu,evelyn.brooks@example.com,1995-04-04T01:01:06.540Z,26,2009-10-02T00:54:35.834Z,12,(037)-120-3829,(322)-991-7211,SSN,445-99-6763,https://randomuser.me/api/portraits/women/41.jpg,https://randomuser.me/api/portraits/med/women/41.jpg,https://randomuser.me/api/portraits/thumb/women/41.jpg,US
male,Mr,Noah,Gray,4600,Northaven Rd,Elizabeth,Alaska,United States,39296,-40.3305,114.1154,+4:30,Kabul,noah.gray@example.com,1989-11-01T04:53:03.400Z,32,2008-01-13T01:53:21.644Z,13,(722)-894-0502,(649)-187-8382,SSN,046-91-8165,https://randomuser.me/api/portraits/men/87.jpg,https://randomuser.me/api/portraits/med/men/87.jpg,https://randomuser.me/api/portraits/thumb/men/87.jpg,US
female,Miss,Claire,Martin,4998,Hamilton Ave,Tallahassee,Nevada,United States,39186,-89.0142,13.6955,-8:00,Pacific Time (US & Canada),claire.martin@example.com,1948-06-07T07:06:24.764Z,73,2011-12-13T13:09:08.841Z,10,(320)-986-0276,(402)-143-1341,SSN,874-00-0651,https://randomuser.me/api/portraits/women/62.jpg,https://randomuser.me/api/portraits/med/women/62.jpg,https://randomuser.me/api/portraits/thumb/women/62.jpg,US
female,Miss,Vivan,Holland,9330,Frances Ct,Norman,Delaware,United States,85211,-85.0569,-98.5022,-8:00,Pacific Time (US & Canada),vivan.holland@example.com,1975-08-05T07:54:15.763Z,46,2016-03-28T16:32:04.627Z,5,(633)-890-6146,(635)-038-5206,SSN,955-77-0061,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
male,Mr,Eric,Dixon,6963,W Dallas St,Allen,Vermont,United States,36038,17.3217,60.4172,-2:00,Mid-Atlantic,eric.dixon@example.com,1995-03-04T03:14:38.857Z,26,2005-08-24T21:10:06.079Z,16,(664)-525-9501,(475)-444-8241,SSN,574-00-7371,https://randomuser.me/api/portraits/men/16.jpg,https://randomuser.me/api/portraits/med/men/16.jpg,https://randomuser.me/api/portraits/thumb/men/16.jpg,US
male,Mr,Edgar,Lopez,9344,Spring St,Cincinnati,Kentucky,United States,46411,62.1945,-175.7887,-2:00,Mid-Atlantic,edgar.lopez@example.com,1983-01-26T14:59:11.822Z,38,2014-03-10T22:51:22.363Z,7,(366)-201-0722,(099)-502-8056,SSN,581-30-7107,https://randomuser.me/api/portraits/men/87.jpg,https://randomuser.me/api/portraits/med/men/87.jpg,https://randomuser.me/api/portraits/thumb/men/87.jpg,US
male,Mr,Mason,Cox,7538,Frances Ct,Santa Rosa,Maine,United States,66188,0.1067,-91.4654,-2:00,Mid-Atlantic,mason.cox@example.com,1972-04-15T17:45:31.306Z,49,2003-02-25T18:33:04.891Z,18,(399)-881-0659,(307)-998-6153,SSN,548-22-8977,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
