gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Stacy,May,3590,Ash Dr,Syracuse,Washington,United States,75621,46.3616,-123.3825,-3:30,Newfoundland,stacy.may@example.com,1961-06-19T19:31:54.489Z,60,2016-04-15T09:28:14.398Z,5,(782)-155-0389,(815)-243-0160,SSN,159-23-5538,https://randomuser.me/api/portraits/women/86.jpg,https://randomuser.me/api/portraits/med/women/86.jpg,https://randomuser.me/api/portraits/thumb/women/86.jpg,US
male,Mr,Chris,Baker,7898,Northaven Rd,Oakland,Wyoming,United States,48140,33.6938,-173.3864,-3:30,Newfoundland,chris.baker@example.com,1953-03-12T08:27:04.544Z,68,2015-05-04T14:17:24.874Z,6,(820)-613-4449,(475)-035-2276,SSN,621-26-7419,https://randomuser.me/api/portraits/men/90.jpg,https://randomuser.me/api/portraits/med/men/90.jpg,https://randomuser.me/api/portraits/thumb/men/90.jpg,US
male,Mr,Judd,Bailey,8982,Daisy Dr,Rochester,Louisiana,United States,67319,-11.3542,-120.6628,-9:00,Alaska,judd.bailey@example.com,1993-09-25T19:04:17.452Z,28,2009-08-21T19:37:58.132Z,12,(867)-720-7009,(952)-161-0657,SSN,867-68-9668,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
male,Mr,Lee,Vargas,5413,Country Club Rd,New York,Vermont,United States,62939,75.2561,-64.1416,-8:00,Pacific Time (US & Canada),lee.vargas@example.com,1948-11-25T22:23:51.862Z,73,2002-07-23T13:00:40.661Z,19,(354)-119-9083,(584)-791-1079,SSN,980-05-4609,https://randomuser.me/api/portraits/men/0.jpg,https://randomuser.me/api/portraits/med/men/0.jpg,https://randomuser.me/api/portraits/thumb/men/0.jpg,US
male,Mr,Wayne,Horton,3946,W Pecan St,Flowermound,Oklahoma,United States,49978,-45.7470,-172.1492,-8:00,Pacific Time (US & Canada),wayne.horton@example.com,1956-07-05T03:05:40.033Z,65,2019-01-26T03:27:49.806Z,2,(824)-221-7051,(595)-476-6977,SSN,515-84-5530,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
male,Mr,Corey,Barrett,1566,Poplar Dr,South Valley,Utah,United States,18243,-17.2619,-140.0119,-2:00,Mid-Atlantic,corey.barrett@example.com,1998-07-17T02:39:23.580Z,23,2018-08-08T12:04:23.549Z,3,(953)-987-1927,(128)-127-1783,SSN,681-43-7321,https://randomuser.me/api/portraits/men/94.jpg,https://randomuser.me/api/portraits/med/men/94.jpg,https://randomuser.me/api/portraits/thumb/men/94.jpg,US
male,Mr,Terrence,Gutierrez,2634,James St,Thousand Oaks,Washington,United States,49871,-55.2820,-145.4343,-2:00,Mid-Atlantic,terrence.gutierrez@example.com,1982-04-15T19:29:54.042Z,39,2010-03-10T13:33:45.725Z,11,(060)-521-7416,(755)-366-3803,SSN,165-42-8994,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
female,Ms,Mabel,Burke,4869,Walnut Hill Ln,Steilacoom,North Dakota,United States,67004,-77.9245,-20.8196,+5:45,Kathmandu,mabel.burke@example.com,1957-12-31T23:51:23.879Z,64,2008-03-07T01:16:57.914Z,13,(332)-787-6680,(614)-193-0187,SSN,776-90-8698,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
female,Mrs,Bobbie,Kennedy,8909,Hogan St,Las Vegas,New York,United States,12067,36.8637,66.6831,-9:00,Alaska,bobbie.kennedy@example.com,1970-03-20T00:06:13.743Z,51,2003-04-09T13:27:37.943Z,18,(451)-261-6659,(585)-245-1169,SSN,669-39-8366,https://randomuser.me/api/portraits/women/43.jpg,https://randomuser.me/api/portraits/med/women/43.jpg,https://randomuser.me/api/portraits/thumb/women/43.jpg,US
female,Miss,Sarah,Rodriquez,8436,Homestead Rd,Port St. Lucie,New Hampshire,United States,64126,-40.9648,-56.3988,-10:00,Hawaii,sarah.rodriquez@example.com,1976-01-06T01:34:51.474Z,45,2013-03-16T01:33:32.438Z,8,(961)-575-1214,(195)-337-6036,SSN,343-62-5334,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
male,Mr,Martin,Miles,6775,Walnut Hill Ln,Fort Worth,Virginia,United States,46607,-78.2423,-155.1499,-7:00,Mountain Time (US & Canada),martin.miles@example.com,1984-07-23T23:29:40.977Z,37,2016-08-27T09:54:35.236Z,5,(597)-360-6424,(239)-450-0256,SSN,129-65-4508,https://randomuser.me/api/portraits/men/1.jpg,https://randomuser.me/api/portraits/med/men/1.jpg,https://randomuser.me/api/portraits/thumb/men/1.jpg,US
male,Mr,Roberto,Chapman,6614,Poplar Dr,Chattanooga,Wyoming,United States,87577,-11.0873,-131.7921,-9:00,Alaska,roberto.chapman@example.com,1991-07-01T08:11:04.093Z,30,2011-05-26T22:54:04.962Z,10,(551)-530-4729,(862)-742-6203,SSN,551-37-7453,https://randomuser.me/api/portraits/men/44.jpg,https://randomuser.me/api/portraits/med/men/44.jpg,https://randomuser.me/api/portraits/thumb/men/44.jpg,US
male,Mr,Samuel,Newman,2583,Camden Ave,Albuquerque,Kansas,United States,60963,89.3094,156.7367,+4:30,Kabul,samuel.newman@example.com,1949-06-22T20:23:47.806Z,72,2003-05-24T06:40:03.795Z,18,(899)-947-6208,(511)-572-7228,SSN,635-88-2490,https://randomuser.me/api/portraits/men/60.jpg,https://randomuser.me/api/portraits/med/men/60.jpg,https://randomuser.me/api/portraits/thumb/men/60.jpg,US
male,Mr,James,Hart,6776,W Sherman Dr,Kansas City,South Carolina,United States,36812,26.3977,-120.7347,-10:00,Hawaii,james.hart@example.com,1955-02-27T22:21:09.966Z,66,2016-09-17T14:11:09.224Z,5,(617)-748-3760,(994)-681-4770,SSN,523-57-7811,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
