gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Ritthy,Romero,7584,Railroad St,Fremont,Kansas,United States,19016,-70.5731,-67.3511,-9:00,Alaska,ritthy.romero@example.com,1994-09-04T00:12:53.983Z,27,2003-07-31T16:03:45.409Z,18,(831)-411-8219,(762)-704-3743,SSN,527-55-1129,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,US
male,Mr,Marcus,Holmes,5723,Parker Rd,Tampa,Tennessee,United States,57076,60.8108,-164.5512,-3:30,Newfoundland,marcus.holmes@example.com,1979-08-12T21:22:50.960Z,42,2019-03-29T18:15:20.765Z,2,(777)-107-7693,(994)-691-9839,SSN,818-52-1862,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
male,Mr,Fred,Chavez,4095,Valley View Ln,North Las Vegas,Kansas,United States,37046,34.4807,-124.4239,-8:00,Pacific Time (US & Canada),fred.chavez@example.com,1952-06-19T20:13:21.716Z,69,2013-08-15T08:29:38.841Z,8,(600)-079-8512,(691)-713-6916,SSN,522-56-7264,https://randomuser.me/api/portraits/men/32.jpg,https://randomuser.me/api/portraits/med/men/32.jpg,https://randomuser.me/api/portraits/thumb/men/32.jpg,US
female,Ms,Tina,Gregory,3565,Northaven Rd,Aubrey,Delaware,United States,92030,62.5664,100.7620,-10:00,Hawaii,tina.gregory@example.com,1983-01-08T08:16:22.343Z,38,2002-06-14T22:16:29.178Z,19,(955)-998-6318,(386)-183-5160,SSN,807-75-7972,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
female,Ms,Myrtle,Burton,7328,Thornridge Cir,Torrance,West Virginia,United States,36851,6.7010,-2.0001,+3:30,Tehran,myrtle.burton@example.com,1945-11-25T19:55:09.474Z,76,2003-02-03T15:47:32.306Z,18,(782)-217-4828,(595)-842-5960,SSN,735-37-0948,https://randomuser.me/api/portraits/women/83.jpg,https://randomuser.me/api/portraits/med/women/83.jpg,https://randomuser.me/api/portraits/thumb/women/83.jpg,US
male,Mr,Tom,Palmer,5828,W Gray St,Independence,South Carolina,United States,43373,-32.7480,66.5020,-10:00,Hawaii,tom.palmer@example.com,1988-02-25T06:01:08.969Z,33,2002-07-26T21:49:37.008Z,19,(887)-240-3653,(820)-652-9652,SSN,307-61-4033,https://randomuser.me/api/portraits/men/90.jpg,https://randomuser.me/api/portraits/med/men/90.jpg,https://randomuser.me/api/portraits/thumb/men/90.jpg,US
male,Mr,Tony,Mccoy,230,Dane St,Frisco,Massachusetts,United States,23432,-44.5613,-49.5078,-8:00,Pacific Time (US & Canada),tony.mccoy@example.com,1978-05-24T21:25:30.725Z,43,2007-02-08T18:42:42.397Z,14,(887)-895-1950,(117)-358-5346,SSN,547-81-6940,https://randomuser.me/api/portraits/men/6.jpg,https://randomuser.me/api/portraits/med/men/6.jpg,https://randomuser.me/api/portraits/thumb/men/6.jpg,US
male,Mr,Mark,Pierce,5401,Walnut Hill Ln,Cedar Rapids,South Dakota,United States,85662,-88.5069,140.6609,+4:30,Kabul,mark.pierce@example.com,1987-05-23T05:05:30.976Z,34,2013-03-12T02:57:35.279Z,8,(145)-975-7767,(496)-321-4705,SSN,983-55-9454,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
female,Mrs,Leah,George,176,Cherry St,Alexandria,South Dakota,United States,92836,-32.7186,-84.6858,+5:45,Kathmandu,leah.george@example.com,1981-06-12T21:55:56.418Z,40,2016-12-21T17:02:18.817Z,5,(181)-196-6815,(926)-106-2784,SSN,271-90-0258,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,US
male,Mr,Gilbert,Robertson,2133,Poplar Dr,Duncanville,Virginia,United States,40458,-89.1957,-145.3088,-2:00,Mid-Atlantic,gilbert.robertson@example.com,1963-12-25T14:42:02.823Z,58,2017-03-13T06:14:51.880Z,4,(710)-411-8717,(773)-061-3863,SSN,764-65-6393,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
