gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Tammy,Reid,1226,Mockingbird Hill,Fairfield,Ohio,United States,67378,-80.2521,150.4693,+4:30,Kabul,tammy.reid@example.com,1945-11-10T03:57:28.920Z,76,2016-04-18T14:07:58.542Z,5,(387)-369-9005,(165)-450-7331,SSN,570-33-1446,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg,US
female,Miss,Allison,Byrd,8541,James St,Torrance,Indiana,United States,78000,23.0940,-169.6542,-10:00,Hawaii,allison.byrd@example.com,1951-09-17T02:08:03.020Z,70,2007-06-05T23:26:24.277Z,14,(255)-493-5016,(502)-192-5749,SSN,693-96-9785,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
female,Ms,Violet,Ferguson,9336,Washington Ave,Ann Arbor,Illinois,United States,10705,-61.3668,22.0627,-2:00,Mid-Atlantic,violet.ferguson@example.com,1975-02-18T13:25:30.233Z,46,2007-05-06T15:30:12.246Z,14,(018)-065-8812,(246)-652-2575,SSN,801-85-8865,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg,US
female,Mrs,Lisa,Mendoza,9933,Edwards Rd,Cape Fear,Florida,United States,31161,-72.9026,43.7134,-2:00,Mid-Atlantic,lisa.mendoza@example.com,1981-05-20T09:16:00.061Z,40,2013-02-23T10:53:26.187Z,8,(380)-618-2997,(782)-022-0226,SSN,679-63-9063,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,US
female,Mrs,Caroline,Richardson,4294,Paddock Way,Beaumont,Mississippi,United States,32789,-33.1667,168.0418,-10:00,Hawaii,caroline.richardson@example.com,1991-12-01T13:00:56.570Z,30,2011-11-12T20:02:27.321Z,10,(901)-865-4651,(390)-217-6564,SSN,183-28-4902,https://randomuser.me/api/portraits/women/55.jpg,https://randomuser.me/api/portraits/med/women/55.jpg,https://randomuser.me/api/portraits/thumb/women/55.jpg,US
male,Mr,Terry,Boyd,6357,Walnut Hill Ln,Daly City,Virginia,United States,11560,-85.5923,-91.1957,+4:30,Kabul,terry.boyd@example.com,1992-09-14T13:12:16.461Z,29,2013-01-05T21:57:36.809Z,8,(695)-674-3690,(952)-472-1605,SSN,162-75-4450,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
male,Mr,Willard,Gordon,9034,Mcgowen St,High Point,Hawaii,United States,36392,-11.9687,-146.5876,-9:00,Alaska,willard.gordon@example.com,1949-07-14T21:13:37.389Z,72,2006-08-26T01:42:23.418Z,15,(964)-835-2455,(620)-053-3467,SSN,217-33-4809,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
female,Mrs,Doris,Ruiz,9502,College St,Medford,Rhode Island,United States,83580,7.0452,-77.9595,-8:00,Pacific Time (US & Canada),doris.ruiz@example.com,1947-01-07T22:22:30.082Z,74,2004-11-27T22:50:44.566Z,17,(037)-477-2585,(280)-783-3051,SSN,214-74-4007,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
male,Mr,Rick,Baker,3983,Wycliff Ave,Richmond,Connecticut,United States,24966,-37.7412,100.9201,-10:00,Hawaii,rick.baker@example.com,1982-03-24T05:46:36.268Z,39,2004-07-13T22:51:12.830Z,17,(833)-055-4759,(516)-358-2802,SSN,932-64-2090,https://randomuser.me/api/portraits/men/8.jpg,https://randomuser.me/api/portraits/med/men/8.jpg,https://randomuser.me/api/portraits/thumb/men/8.jpg,US
female,Ms,Terry,Dean,66,White Oak Dr,Elk Grove,Michigan,United States,88872,4.7218,-1.6227,+4:30,Kabul,terry.dean@example.com,1983-08-29T03:51:13.703Z,38,2002-03-31T20:49:57.297Z,19,(906)-174-9347,(504)-406-1279,SSN,057-85-1464,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,US
female,Mrs,Herminia,Sullivan,9554,Samaritan Dr,Ironville,South Carolina,United States,94089,55.7957,79.5089,-8:00,Pacific Time (US & Canada),herminia.sullivan@example.com,1965-06-18T02:43:28.959Z,56,2013-01-04T02:15:16.025Z,8,(948)-693-2581,(837)-214-7282,SSN,579-31-1494,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
male,Mr,Lance,Myers,9302,W Campbell Ave,Wichita Falls,Vermont,United States,51288,84.8959,-81.8415,-9:00,Alaska,lance.myers@example.com,1965-10-10T00:36:43.261Z,56,2011-09-17T17:12:33.165Z,10,(227)-994-4274,(583)-578-5596,SSN,418-83-5001,https://randomuser.me/api/portraits/men/5.jpg,https://randomuser.me/api/portraits/med/men/5.jpg,https://randomuser.me/api/portraits/thumb/men/5.jpg,US
female,Ms,Nicole,Sanders,2290,Adams St,Mesa,Massachusetts,United States,27494,-82.9778,61.8765,-3:30,Newfoundland,nicole.sanders@example.com,1963-01-18T17:25:03.287Z,58,2009-10-12T11:19:10.673Z,12,(876)-994-8060,(139)-523-7492,SSN,133-08-5951,https://randomuser.me/api/portraits/women/95.jpg,https://randomuser.me/api/portraits/med/women/95.jpg,https://randomuser.me/api/portraits/thumb/women/95.jpg,US
male,Mr,Sergio,Campbell,7515,Miller Ave,Van Alstyne,Ohio,United States,71981,3.9461,-57.4150,-10:00,Hawaii,sergio.campbell@example.com,1965-06-18T18:56:28.662Z,56,2017-06-05T15:10:51.847Z,4,(834)-402-4850,(801)-386-5164,SSN,384-76-9703,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg,US
male,Mr,Connor,Nichols,6181,Daisy Dr,Huntsville,Iowa,United States,60641,56.6480,26.0681,-3:30,Newfoundland,connor.nichols@example.com,1970-07-18T05:49:46.931Z,51,2015-03-13T03:17:57.843Z,6,(372)-824-6477,(212)-309-6236,SSN,257-18-8658,https://randomuser.me/api/portraits/men/9.jpg,https://randomuser.me/api/portraits/med/men/9.jpg,https://randomuser.me/api/portraits/thumb/men/9.jpg,US
female,Miss,Delores,Hayes,9145,Samaritan Dr,Farmers Branch,Kansas,United States,12816,-21.6555,34.8068,+4:30,Kabul,delores.hayes@example.com,1975-05-09T20:51:49.665Z,46,2009-10-18T06:39:04.743Z,12,(182)-549-3181,(201)-381-6458,SSN,062-78-8673,https://randomuser.me/api/portraits/women/91.jpg,https://randomuser.me/api/portraits/med/women/91.jpg,https://randomuser.me/api/portraits/thumb/women/91.jpg,US
