gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Jackson,Harper,5836,Lakeview St,Rio Rancho,Virginia,United States,33112,55.3054,-30.6412,-8:00,Pacific Time (US & Canada),jackson.harper@example.com,1946-06-18T15:26:06.932Z,75,2013-08-12T19:49:09.973Z,8,(956)-166-8570,(445)-639-1772,SSN,321-25-4144,https://randomuser.me/api/portraits/men/74.jpg,https://randomuser.me/api/portraits/med/men/74.jpg,https://randomuser.me/api/portraits/thumb/men/74.jpg,US
male,Mr,Steve,Reid,6358,W Campbell Ave,Simi Valley,Texas,United States,83615,3.9311,106.3981,-9:00,Alaska,steve.reid@example.com,1968-03-23T13:28:32.872Z,53,2014-10-23T16:41:41.570Z,7,(730)-065-0060,(899)-836-7179,SSN,174-41-0786,https://randomuser.me/api/portraits/men/16.jpg,https://randomuser.me/api/portraits/med/men/16.jpg,https://randomuser.me/api/portraits/thumb/men/16.jpg,US
female,Mrs,Frances,Perez,2917,W Campbell Ave,Lexington,Virginia,United States,64953,50.4691,-160.2628,-10:00,Hawaii,frances.perez@example.com,1967-05-02T07:06:54.581Z,54,2009-12-31T01:29:51.306Z,12,(205)-978-9163,(286)-513-0782,SSN,263-31-1798,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
female,Ms,Krin,Evans,324,Harrison Ct,Lewisville,Florida,United States,54542,34.1569,19.9108,+4:30,Kabul,krin.evans@example.com,1975-03-24T08:16:05.878Z,46,2016-10-22T16:06:43.327Z,5,(062)-667-9668,(535)-831-7028,SSN,173-63-6710,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
female,Mrs,Michele,Hart,9012,Walnut Hill Ln,El Monte,Arizona,United States,63504,-29.4386,-134.9485,+5:45,Kathmandu,michele.hart@example.com,1978-07-18T18:52:14.278Z,43,2014-07-16T08:17:54.902Z,7,(385)-635-5860,(965)-214-5717,SSN,151-65-1323,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
male,Mr,Julian,Cruz,125,Hunters Creek Dr,Plano,South Carolina,United States,33820,-26.2738,-43.2299,-8:00,Pacific Time (US & Canada),julian.cruz@example.com,1959-01-30T19:22:52.700Z,62,2012-12-12T02:50:48.554Z,9,(016)-559-6002,(693)-974-3377,SSN,481-06-7379,https://randomuser.me/api/portraits/men/87.jpg,https://randomuser.me/api/portraits/med/men/87.jpg,https://randomuser.me/api/portraits/thumb/men/87.jpg,US
female,Ms,Eva,Alvarez,4325,Dane St,Lansing,Colorado,United States,91362,78.3098,115.3796,+4:30,Kabul,eva.alvarez@example.com,1946-03-25T15:11:26.213Z,75,2002-11-01T11:10:58.764Z,19,(519)-382-1335,(006)-814-2100,SSN,795-21-2633,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
male,Mr,Claude,Brewer,8843,Stevens Creek Blvd,Mckinney,Delaware,United States,10498,-8.8715,12.0495,-2:00,Mid-Atlantic,claude.brewer@example.com,1946-11-18T19:28:36.583Z,75,2006-07-13T17:20:28.186Z,15,(037)-059-3898,(379)-302-4629,SSN,800-23-5499,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
female,Miss,Julie,Lambert,7007,Daisy Dr,West Palm Beach,Ohio,United States,52140,31.4041,-63.4050,-8:00,Pacific Time (US & Canada),julie.lambert@example.com,1959-03-12T09:17:26.090Z,62,2014-12-24T23:44:01.683Z,7,(701)-806-7469,(382)-473-6946,SSN,525-17-4309,https://randomuser.me/api/portraits/women/16.jpg,https://randomuser.me/api/portraits/med/women/16.jpg,https://randomuser.me/api/portraits/thumb/women/16.jpg,US
female,Ms,Maureen,Turner,4749,Woodland St,Stamford,Alaska,United States,87865,54.1902,158.9177,-7:00,Mountain Time (US & Canada),maureen.turner@example.com,1978-01-24T14:09:04.372Z,43,2016-12-25T08:35:34.285Z,5,(203)-914-9852,(405)-174-9842,SSN,362-53-9909,https://randomuser.me/api/portraits/women/43.jpg,https://randomuser.me/api/portraits/med/women/43.jpg,https://randomuser.me/api/portraits/thumb/women/43.jpg,US
