gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Denise,Little,3681,Adams St,Yonkers,Kansas,United States,93826,-10.0714,76.6658,-3:30,Newfoundland,denise.little@example.com,1979-01-31T01:09:16.112Z,42,2002-12-24T20:41:14.815Z,19,(745)-352-5282,(026)-397-3755,SSN,078-20-6493,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
male,Mr,Jack,Russell,6863,Country Club Rd,Pittsburgh,Michigan,United States,35983,27.7562,91.0440,-3:30,Newfoundland,jack.russell@example.com,1978-01-19T16:15:53.121Z,43,2008-02-19T21:10:30.195Z,13,(023)-340-5039,(920)-122-3074,SSN,692-58-2619,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,US
female,Ms,Robin,Reid,7065,Locust Rd,Burbank,Idaho,United States,40754,-69.9917,123.4073,+4:30,Kabul,robin.reid@example.com,1972-06-01T01:46:14.615Z,49,2010-06-18T21:59:45.564Z,11,(314)-653-1595,(751)-041-7302,SSN,139-18-3870,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
female,Ms,Felicia,Lawrence,1387,Spring Hill Rd,Yakima,Washington,United States,80973,-76.3941,-52.8459,-7:00,Mountain Time (US & Canada),felicia.lawrence@example.com,1993-05-01T11:14:19.785Z,28,2013-05-17T11:15:43.767Z,8,(085)-918-1887,(276)-412-0585,SSN,639-95-7323,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
male,Mr,Terrence,Shelton,6442,First Street,Fargo,Washington,United States,55977,73.1405,-76.9372,-10:00,Hawaii,terrence.shelton@example.com,1962-08-30T02:45:35.456Z,59,2007-09-07T13:34:00.285Z,14,(677)-368-8352,(584)-963-5471,SSN,233-54-2377,https://randomuser.me/api/portraits/men/93.jpg,https://randomuser.me/api/portraits/med/men/93.jpg,https://randomuser.me/api/portraits/thumb/men/93.jpg,US
male,Mr,Edgar,Jacobs,2437,First Street,Henderson,Maine,United States,58950,-74.0737,-43.5668,-10:00,Hawaii,edgar.jacobs@example.com,1957-08-27T21:22:52.213Z,64,2006-06-02T15:12:01.565Z,15,(369)-529-3049,(637)-040-1550,SSN,485-27-6760,https://randomuser.me/api/portraits/men/0.jpg,https://randomuser.me/api/portraits/med/men/0.jpg,https://randomuser.me/api/portraits/thumb/men/0.jpg,US
male,Mr,Arron,Neal,2706,Hogan St,Erie,West Virginia,United States,43571,-74.7669,37.3014,-8:00,Pacific Time (US & Canada),arron.neal@example.com,1985-03-12T11:28:55.818Z,36,2019-07-30T00:35:56.490Z,2,(421)-410-3890,(335)-062-7159,SSN,596-30-5167,https://randomuser.me/api/portraits/men/12.jpg,https://randomuser.me/api/portraits/med/men/12.jpg,https://randomuser.me/api/portraits/thumb/men/12.jpg,US
male,Mr,Maurice,Oliver,8118,Marsh Ln,Corpus Christi,South Carolina,United States,15602,63.1145,-169.9236,-7:00,Mountain Time (US & Canada),maurice.oliver@example.com,1959-08-23T17:43:48.085Z,62,2002-12-11T03:19:37.507Z,19,(988)-004-7695,(373)-491-3333,SSN,209-20-7302,https://randomuser.me/api/portraits/men/53.jpg,https://randomuser.me/api/portraits/med/men/53.jpg,https://randomuser.me/api/portraits/thumb/men/53.jpg,US
female,Miss,Esther,George,7487,Bollinger Rd,Hampton,Iowa,United States,19928,-46.1422,-78.7162,-8:00,Pacific Time (US & Canada),esther.george@example.com,1977-09-11T01:29:02.929Z,44,2004-09-19T01:36:20.657Z,17,(289)-263-9846,(745)-342-4452,SSN,380-83-9810,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
female,Miss,Nellie,Herrera,4772,Eason Rd,Independence,Oregon,United States,19801,-19.6470,179.8374,-7:00,Mountain Time (US & Canada),nellie.herrera@example.com,1995-02-15T22:11:11.978Z,26,2014-10-17T09:06:22.551Z,7,(879)-193-3287,(968)-927-5085,SSN,960-21-0403,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
male,Mr,Dan,Stephens,9689,Karen Dr,Ventura,Delaware,United States,23770,85.4955,-68.4131,-9:00,Alaska,dan.stephens@example.com,1968-05-29T06:54:00.140Z,53,2006-03-19T08:07:10.138Z,15,(161)-536-9169,(174)-373-8945,SSN,719-32-9542,https://randomuser.me/api/portraits/men/89.jpg,https://randomuser.me/api/portraits/med/men/89.jpg,https://randomuser.me/api/portraits/thumb/men/89.jpg,US
