gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Salvador,Foster,1740,Northaven Rd,Lexington,Massachusetts,United States,72409,-55.3473,-121.4786,+3:30,Tehran,salvador.foster@example.com,1982-03-11T15:53:01.885Z,39,2008-04-12T23:26:30.092Z,13,(495)-655-5798,(430)-564-7807,SSN,768-64-8046,https://randomuser.me/api/portraits/men/71.jpg,https://randomuser.me/api/portraits/med/men/71.jpg,https://randomuser.me/api/portraits/thumb/men/71.jpg,US
male,Mr,Mason,Morrison,1669,E Sandy Lake Rd,Tacoma,Wyoming,United States,97170,15.4928,176.5950,+5:45,Kathmandu,mason.morrison@example.com,1991-05-08T15:13:49.662Z,30,2008-11-29T00:25:14.135Z,13,(687)-858-2206,(593)-172-1013,SSN,331-04-8388,https://randomuser.me/api/portraits/men/5.jpg,https://randomuser.me/api/portraits/med/men/5.jpg,https://randomuser.me/api/portraits/thumb/men/5.jpg,US
female,Mrs,Janet,Flores,2206,E Little York Rd,Lewisville,Arkansas,United States,52989,-18.1180,4.4690,+3:30,Tehran,janet.flores@example.com,1948-04-26T20:15:10.485Z,73,2005-06-25T22:56:25.743Z,16,(486)-231-4170,(778)-194-9607,SSN,529-52-8464,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
female,Mrs,Tracey,Kelly,2452,Hickory Creek Dr,Elko,West Virginia,United States,26398,-21.2155,-159.9232,-3:30,Newfoundland,tracey.kelly@example.com,1957-05-16T09:50:52.143Z,64,2005-04-24T18:55:11.359Z,16,(136)-823-9914,(095)-163-4601,SSN,530-00-6244,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
female,Miss,Tonya,Nguyen,5812,Cherry St,Provo,West Virginia,United States,67688,-12.1407,-87.2376,-7:00,Mountain Time (US & Canada),tonya.nguyen@example.com,1946-11-25T02:44:22.177Z,75,2004-11-19T08:16:56.946Z,17,(481)-285-8030,(064)-335-2107,SSN,505-78-6260,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
male,Mr,Elmer,Graves,1955,Prospect Rd,Los Angeles,South Dakota,United States,94398,15.8712,-37.2842,-10:00,Hawaii,elmer.graves@example.com,1974-11-17T19:52:19.215Z,47,2019-01-26T02:02:48.536Z,2,(948)-514-6459,(731)-529-4801,SSN,442-05-0704,https://randomuser.me/api/portraits/men/86.jpg,https://randomuser.me/api/portraits/med/men/86.jpg,https://randomuser.me/api/portraits/thumb/men/86.jpg,US
female,Miss,Sue,Dean,3605,Hickory Creek Dr,Forney,Utah,United States,42763,-62.5931,-146.7187,-3:30,Newfoundland,sue.dean@example.com,1994-09-22T23:03:00.929Z,27,2014-06-17T17:33:45.540Z,7,(227)-930-6488,(085)-663-4721,SSN,212-06-5253,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
male,Mr,Freddie,Castro,5135,Green Rd,Waco,North Dakota,United States,31438,-66.9643,-121.5514,+4:30,Kabul,freddie.castro@example.com,1979-08-15T03:07:44.825Z,42,2014-06-27T10:51:01.075Z,7,(070)-679-8356,(457)-777-7909,SSN,723-35-9852,https://randomuser.me/api/portraits/men/83.jpg,https://randomuser.me/api/portraits/med/men/83.jpg,https://randomuser.me/api/portraits/thumb/men/83.jpg,US
female,Ms,Caroline,Miles,6466,Plum St,Moscow,California,United States,15123,6.3194,-81.7522,-7:00,Mountain Time (US & Canada),caroline.miles@example.com,1965-12-12T00:09:38.935Z,56,2003-04-29T06:32:53.721Z,18,(088)-172-2199,(780)-065-7739,SSN,633-87-7329,https://randomuser.me/api/portraits/women/56.jpg,https://randomuser.me/api/portraits/med/women/56.jpg,https://randomuser.me/api/portraits/thumb/women/56.jpg,US
female,Miss,Alma,Cole,966,College St,Edgewood,Florida,United States,43573,-35.7503,109.8372,+5:45,Kathmandu,alma.cole@example.com,1946-11-17T09:22:06.107Z,75,2010-06-25T14:51:29.026Z,11,(302)-290-2520,(345)-945-1103,SSN,723-03-6639,https://randomuser.me/api/portraits/women/40.jpg,https://randomuser.me/api/portraits/med/women/40.jpg,https://randomuser.me/api/portraits/thumb/women/40.jpg,US
male,Mr,Walter,Medina,5411,Elgin St,Cedar Rapids,New Hampshire,United States,79935,26.3818,44.9415,-7:00,Mountain Time (US & Canada),walter.medina@example.com,1983-06-21T19:47:33.826Z,38,2003-02-05T06:32:51.271Z,18,(613)-111-8265,(963)-057-9722,SSN,468-26-9183,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
female,Ms,Katie,Ryan,1541,W Pecan St,Yonkers,South Carolina,United States,61009,-45.6458,144.2977,-9:00,Alaska,katie.ryan@example.com,1980-04-20T00:42:42.612Z,41,2011-12-25T01:02:53.308Z,10,(027)-003-1122,(598)-053-0958,SSN,354-15-2993,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
male,Mr,Dylan,Welch,455,Homestead Rd,Sterling Heights,North Carolina,United States,84383,-76.6989,149.0574,+4:30,Kabul,dylan.welch@example.com,1945-10-11T09:36:09.965Z,76,2005-04-27T01:38:25.036Z,16,(487)-402-2165,(495)-779-3893,SSN,706-42-9339,https://randomuser.me/api/portraits/men/78.jpg,https://randomuser.me/api/portraits/med/men/78.jpg,https://randomuser.me/api/portraits/thumb/men/78.jpg,US
female,Ms,Yolanda,Oliver,4382,Harrison Ct,Chicago,Nebraska,United States,40274,-32.2203,26.6498,-3:30,Newfoundland,yolanda.oliver@example.com,1981-04-13T21:24:43.304Z,40,2016-04-17T10:21:57.617Z,5,(459)-740-9680,(955)-294-8005,SSN,876-32-0233,https://randomuser.me/api/portraits/women/63.jpg,https://randomuser.me/api/portraits/med/women/63.jpg,https://randomuser.me/api/portraits/thumb/women/63.jpg,US
