gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Natalie,Holmes,4748,College St,Eugene,Oklahoma,United States,87291,9.0516,20.5407,-8:00,Pacific Time (US & Canada),natalie.holmes@example.com,1947-07-02T18:55:52.734Z,74,2014-05-13T13:42:40.315Z,7,(040)-671-5802,(076)-421-3490,SSN,247-30-9351,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Mrs,Lydia,Simmons,4010,Oak Lawn Ave,Lansing,Massachusetts,United States,54688,-62.7401,-153.0686,-7:00,Mountain Time (US & Canada),lydia.simmons@example.com,1963-01-05T10:03:37.996Z,58,2002-11-14T23:27:32.916Z,19,(752)-508-9071,(103)-282-2965,SSN,638-91-7540,https://randomuser.me/api/portraits/women/64.jpg,https://randomuser.me/api/portraits/med/women/64.jpg,https://randomuser.me/api/portraits/thumb/women/64.jpg,US
female,Ms,Louise,Bishop,8872,Miller Ave,Corpus Christi,Nebraska,United States,63500,25.6596,130.1751,-10:00,Hawaii,louise.bishop@example.com,1978-05-19T05:04:36.874Z,43,2011-09-15T05:02:36.080Z,10,(968)-115-2772,(421)-329-4967,SSN,895-39-5977,https://randomuser.me/api/portraits/women/32.jpg,https://randomuser.me/api/portraits/med/women/32.jpg,https://randomuser.me/api/portraits/thumb/women/32.jpg,US
female,Ms,Emily,Watson,2320,Mockingbird Ln,Great Falls,Minnesota,United States,83306,1.9192,134.4283,-9:00,Alaska,emily.watson@example.com,1983-08-30T02:54:13.476Z,38,2013-01-12T14:50:06.217Z,8,(471)-830-5387,(243)-745-0485,SSN,775-32-2618,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
male,Mr,Clinton,Powell,9489,Ranchview Dr,Akron,Ohio,United States,51221,63.9476,12.5335,+5:45,Kathmandu,clinton.powell@example.com,1949-01-25T14:37:21.930Z,72,2005-03-17T13:07:24.969Z,16,(185)-166-7288,(749)-135-4146,SSN,828-44-4567,https://randomuser.me/api/portraits/men/81.jpg,https://randomuser.me/api/portraits/med/men/81.jpg,https://randomuser.me/api/portraits/thumb/men/81.jpg,US
male,Mr,Danny,King,7530,Hunters Creek Dr,Port St. Lucie,Hawaii,United States,86337,8.0935,-21.3515,-10:00,Hawaii,danny.king@example.com,1960-06-27T07:50:45.176Z,61,2012-11-06T02:44:04.063Z,9,(080)-682-0724,(170)-774-0913,SSN,572-71-0149,https://randomuser.me/api/portraits/men/51.jpg,https://randomuser.me/api/portraits/med/men/51.jpg,https://randomuser.me/api/portraits/thumb/men/51.jpg,US
female,Mrs,Cindy,Andrews,308,Lovers Ln,Portland,Tennessee,United States,60145,-20.3116,19.9232,-7:00,Mountain Time (US & Canada),cindy.andrews@example.com,1960-07-17T18:26:11.514Z,61,2011-01-26T00:20:43.473Z,10,(287)-281-5521,(107)-251-7390,SSN,591-13-5145,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
male,Mr,Francis,Fernandez,1170,Poplar Dr,Olathe,Utah,United States,91661,-28.5627,-124.5032,+5:45,Kathmandu,francis.fernandez@example.com,1981-12-28T13:19:17.310Z,40,2012-03-10T12:18:30.727Z,9,(051)-638-6162,(889)-902-5202,SSN,370-47-3980,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,US
male,Mr,Herbert,Douglas,2211,Sunset St,Vernon,Virginia,United States,74183,53.1048,-129.8232,-10:00,Hawaii,herbert.douglas@example.com,1957-01-12T04:02:38.928Z,64,2009-04-27T08:31:47.391Z,12,(406)-177-7305,(570)-999-9803,SSN,833-35-5667,https://randomuser.me/api/portraits/men/90.jpg,https://randomuser.me/api/portraits/med/men/90.jpg,https://randomuser.me/api/portraits/thumb/men/90.jpg,US
female,Miss,Tracy,Jordan,8033,Stevens Creek Blvd,Toledo,Pennsylvania,United States,41017,88.0347,-99.2055,-10:00,Hawaii,tracy.jordan@example.com,1987-08-16T18:51:12.843Z,34,2017-06-12T23:09:11.008Z,4,(373)-727-5473,(032)-861-1966,SSN,594-38-2746,https://randomuser.me/api/portraits/women/84.jpg,https://randomuser.me/api/portraits/med/women/84.jpg,https://randomuser.me/api/portraits/thumb/women/84.jpg,US
