gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Norma,Mills,1240,Lovers Ln,Fountain Valley,Hawaii,United States,43200,-40.9093,-42.0922,+5:45,Kathmandu,norma.mills@example.com,1983-10-13T19:35:23.063Z,38,2018-05-06T17:07:14.626Z,3,(872)-276-0773,(056)-424-5623,SSN,120-94-9188,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
female,Ms,Priscilla,Nichols,4358,Camden Ave,Red Bluff,Wisconsin,United States,62277,-50.9448,-57.8024,-2:00,Mid-Atlantic,priscilla.nichols@example.com,1955-01-30T19:40:07.675Z,66,2015-08-14T04:46:38.687Z,6,(816)-968-1650,(193)-623-7590,SSN,552-84-5473,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
female,Ms,Brandie,Campbell,7152,Valwood Pkwy,Providence,Michigan,United States,63500,13.5136,-86.8143,-9:00,Alaska,brandie.campbell@example.com,1945-07-20T16:07:31.915Z,76,2006-09-19T22:48:38.702Z,15,(454)-154-9127,(828)-868-2332,SSN,383-95-6285,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
female,Miss,Vera,Montgomery,920,W Gray St,Huntington Beach,Kentucky,United States,17716,50.5224,-75.5965,+3:30,Tehran,vera.montgomery@example.com,1972-02-23T21:42:42.768Z,49,2002-12-30T20:42:02.754Z,19,(856)-597-3954,(525)-583-4714,SSN,335-24-7014,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
female,Mrs,Alma,Olson,4648,W 6th St,Miami Gardens,Kansas,United States,33102,-43.7537,-111.7642,+3:30,Tehran,alma.olson@example.com,1984-02-10T03:10:26.206Z,37,2003-03-02T17:33:35.757Z,18,(145)-956-5233,(547)-996-5608,SSN,271-30-1554,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
female,Mrs,Joanne,Porter,3339,James St,Murfreesboro,North Carolina,United States,57149,-1.2875,71.5012,+4:30,Kabul,joanne.porter@example.com,1996-11-07T12:20:15.535Z,25,2017-05-23T13:21:12.112Z,4,(979)-821-2144,(924)-276-4434,SSN,627-21-0548,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
female,Mrs,Sharlene,Baker,2065,Central St,Newark,New Jersey,United States,80461,-64.8062,-27.3564,-10:00,Hawaii,sharlene.baker@example.com,1966-07-25T04:27:28.715Z,55,2003-04-23T07:03:59.032Z,18,(032)-577-0169,(626)-368-7623,SSN,218-00-7399,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
female,Ms,Sophie,Welch,4494,Mcclellan Rd,Moscow,Montana,United States,54817,-63.9468,-84.5176,-3:30,Newfoundland,sophie.welch@example.com,1970-06-25T22:06:25.816Z,51,2003-12-06T23:40:30.036Z,18,(568)-808-6366,(865)-615-9916,SSN,962-99-3783,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg,US
male,Mr,Ritthy,Newman,6880,Valwood Pkwy,Seymour,Michigan,United States,70309,-28.7834,63.5733,-9:00,Alaska,ritthy.newman@example.com,1959-05-21T17:42:59.560Z,62,2018-09-22T20:35:05.227Z,3,(430)-401-9242,(884)-812-1843,SSN,965-47-0454,https://randomuser.me/api/portraits/men/33.jpg,https://randomuser.me/api/portraits/med/men/33.jpg,https://randomuser.me/api/portraits/thumb/men/33.jpg,US
male,Mr,Cory,Bradley,8529,Ash Dr,Manchester,Louisiana,United States,47593,74.4475,-109.3030,+3:30,Tehran,cory.bradley@example.com,1952-07-06T05:03:51.266Z,69,2015-03-03T12:35:32.753Z,6,(955)-558-7069,(018)-725-3590,SSN,730-46-1263,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
female,Mrs,Veronica,Simmons,2492,Wheeler Ridge Dr,New Haven,North Carolina,United States,21588,57.1963,-94.7680,+3:30,Tehran,veronica.simmons@example.com,1995-10-18T01:27:39.078Z,26,2012-04-13T07:53:28.131Z,9,(370)-004-4556,(636)-716-5158,SSN,849-47-9389,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
