gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Susan,Pierce,8277,Pockrus Page Rd,Pembroke Pines,Iowa,United States,22664,-70.4181,-62.7091,-8:00,Pacific Time (US & Canada),susan.pierce@example.com,1989-08-20T19:37:08.733Z,32,2006-09-17T17:50:43.795Z,15,(475)-798-5056,(794)-086-7230,SSN,879-23-3080,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg,US
female,Miss,Courtney,Harris,8602,Cackson St,Syracuse,Alabama,United States,23715,64.8134,-169.6663,-10:00,Hawaii,courtney.harris@example.com,1957-04-21T05:30:14.478Z,64,2003-10-15T15:35:21.142Z,18,(946)-980-3895,(599)-154-6025,SSN,772-60-0769,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
female,Ms,Ann,Carpenter,2294,Northaven Rd,Grapevine,Alaska,United States,35091,-6.8389,106.6177,+3:30,Tehran,ann.carpenter@example.com,1949-09-22T11:07:45.666Z,72,2018-07-14T20:28:32.523Z,3,(283)-199-7142,(521)-880-5095,SSN,402-42-7389,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
female,Miss,Amber,Spencer,3451,Pockrus Page Rd,Fresno,Maryland,United States,47720,63.4885,110.6938,-3:30,Newfoundland,amber.spencer@example.com,1985-04-10T14:08:03.781Z,36,2007-03-09T12:51:27.909Z,14,(469)-695-8516,(846)-538-9489,SSN,929-21-6984,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
female,Ms,Kaylee,Gardner,282,Ash Dr,Ventura,Indiana,United States,49836,-52.3434,-38.3799,-9:00,Alaska,kaylee.gardner@example.com,1956-01-15T18:12:06.508Z,65,2014-12-17T00:49:44.787Z,7,(910)-175-5386,(001)-270-6078,SSN,496-12-0074,https://randomuser.me/api/portraits/women/55.jpg,https://randomuser.me/api/portraits/med/women/55.jpg,https://randomuser.me/api/portraits/thumb/women/55.jpg,US
male,Mr,Jamie,Phillips,2902,W Belt Line Rd,Akron,Illinois,United States,60475,12.1075,-103.1846,-9:00,Alaska,jamie.phillips@example.com,1989-01-31T20:19:27.479Z,32,2009-10-25T21:02:52.784Z,12,(469)-787-1358,(325)-250-6693,SSN,228-28-4963,https://randomuser.me/api/portraits/men/80.jpg,https://randomuser.me/api/portraits/med/men/80.jpg,https://randomuser.me/api/portraits/thumb/men/80.jpg,US
male,Mr,Manuel,Holmes,7994,Edwards Rd,St. Petersburg,North Dakota,United States,94557,-74.2253,129.7028,-2:00,Mid-Atlantic,manuel.holmes@example.com,1945-08-26T17:29:14.840Z,76,2002-10-20T04:58:59.023Z,19,(079)-981-4424,(213)-935-0981,SSN,618-88-9667,https://randomuser.me/api/portraits/men/20.jpg,https://randomuser.me/api/portraits/med/men/20.jpg,https://randomuser.me/api/portraits/thumb/men/20.jpg,US
male,Mr,Russell,Hawkins,7243,Parker Rd,Newark,Alaska,United States,86397,-81.2441,-4.1499,+3:30,Tehran,russell.hawkins@example.com,1972-08-02T02:56:19.684Z,49,2013-07-12T08:01:46.593Z,8,(068)-712-4819,(108)-883-6196,SSN,901-56-8236,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
female,Ms,Constance,Bates,5584,Homestead Rd,Fort Lauderdale,Indiana,United States,44299,-37.7699,136.4560,-8:00,Pacific Time (US & Canada),constance.bates@example.com,1963-07-03T17:01:11.915Z,58,2006-02-26T00:51:17.884Z,15,(909)-022-1197,(869)-434-8797,SSN,150-96-8949,https://randomuser.me/api/portraits/women/15.jpg,https://randomuser.me/api/portraits/med/women/15.jpg,https://randomuser.me/api/portraits/thumb/women/15.jpg,US
male,Mr,Everett,Woods,9085,Elgin St,Scottsdale,Florida,United States,36168,-84.0104,8.0727,-8:00,Pacific Time (US & Canada),everett.woods@example.com,1963-04-16T04:39:45.928Z,58,2009-04-20T07:21:42.614Z,12,(199)-954-5587,(615)-487-5129,SSN,570-94-3961,https://randomuser.me/api/portraits/men/12.jpg,https://randomuser.me/api/portraits/med/men/12.jpg,https://randomuser.me/api/portraits/thumb/men/12.jpg,US
