gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Aiden,Palmer,8727,Prospect Rd,Topeka,Michigan,United States,33827,4.5883,18.7167,+5:45,Kathmandu,aiden.palmer@example.com,1979-06-22T06:25:34.918Z,42,2007-05-06T14:37:28.164Z,14,(187)-630-9588,(959)-517-2739,SSN,461-05-7785,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
male,Mr,Dennis,Green,6962,W Sherman Dr,Coral Springs,Nebraska,United States,61782,34.7245,-126.8068,-10:00,Hawaii,dennis.green@example.com,1951-08-10T08:22:00.292Z,70,2003-01-29T13:52:09.197Z,18,(967)-958-3443,(027)-702-1643,SSN,876-17-9753,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
male,Mr,Raul,Douglas,785,Dane St,Gresham,Massachusetts,United States,55074,71.7289,20.3718,+5:45,Kathmandu,raul.douglas@example.com,1976-06-27T07:50:57.031Z,45,2014-08-05T16:12:58.661Z,7,(042)-416-4394,(511)-561-2495,SSN,975-53-7519,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,US
male,Mr,Ricardo,Larson,442,Central St,Shreveport,Iowa,United States,79124,8.2652,-5.3848,+3:30,Tehran,ricardo.larson@example.com,1981-12-30T20:38:41.326Z,40,2013-06-12T19:08:23.959Z,8,(905)-412-8273,(141)-179-9188,SSN,587-83-5197,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg,US
female,Ms,Anna,Harrison,9481,Valley View Ln,Columbia,Massachusetts,United States,60577,17.2557,5.0100,+3:30,Tehran,anna.harrison@example.com,1992-12-10T21:53:57.948Z,29,2014-05-10T20:52:02.875Z,7,(548)-423-1834,(906)-442-0037,SSN,358-00-0623,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
male,Mr,Jason,Bishop,6948,Miller Ave,Buffalo,Maine,United States,87350,-6.0012,11.4135,-8:00,Pacific Time (US & Canada),jason.bishop@example.com,1968-12-17T04:22:22.610Z,53,2018-06-15T03:42:05.251Z,3,(414)-471-3151,(085)-988-7521,SSN,638-07-4296,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
male,Mr,Same,Murray,9316,Green Rd,Celina,Maryland,United States,49603,40.3385,-153.9344,-7:00,Mountain Time (US & Canada),same.murray@example.com,1955-01-15T13:29:09.360Z,66,2006-12-31T17:19:15.574Z,15,(770)-587-7769,(554)-029-1915,SSN,133-75-0556,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
female,Miss,Lucille,Burns,6722,Fairview St,South Bend,Nevada,United States,14991,-83.2805,-84.7054,-10:00,Hawaii,lucille.burns@example.com,1975-03-06T02:04:13.458Z,46,2004-11-07T06:30:52.621Z,17,(914)-050-2994,(550)-614-2727,SSN,332-89-6266,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg,US
male,Mr,Duane,Anderson,91,Hamilton Ave,San Diego,Washington,United States,78364,-15.6306,-22.5504,+4:30,Kabul,duane.anderson@example.com,1986-01-18T04:24:24.230Z,35,2019-07-12T12:41:01.820Z,2,(099)-398-7208,(057)-326-7639,SSN,737-13-9090,https://randomuser.me/api/portraits/men/8.jpg,https://randomuser.me/api/portraits/med/men/8.jpg,https://randomuser.me/api/portraits/thumb/men/8.jpg,US
female,Mrs,Ann,Lawrence,5474,Sunset St,Mobile,Maine,United States,25550,-37.0036,23.8958,+5:45,Kathmandu,ann.lawrence@example.com,1956-05-08T11:37:09.744Z,65,2019-09-21T05:40:29.223Z,2,(583)-513-5021,(241)-804-8627,SSN,587-23-7680,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
male,Mr,Albert,Dunn,1725,Miller Ave,Berkeley,Connecticut,United States,66384,-25.9521,163.7262,-8:00,Pacific Time (US & Canada),albert.dunn@example.com,1970-03-27T09:43:16.292Z,51,2015-06-29T04:28:48.371Z,6,(974)-285-7754,(641)-930-1567,SSN,764-35-9575,https://randomuser.me/api/portraits/men/69.jpg,https://randomuser.me/api/portraits/med/men/69.jpg,https://randomuser.me/api/portraits/thumb/men/69.jpg,US
female,Ms,Kristina,Morris,7007,Dane St,Utica,New Jersey,United States,42263,2.4459,27.8938,-9:00,Alaska,kristina.morris@example.com,1980-05-12T01:02:38.733Z,41,2006-01-09T03:57:24.143Z,15,(771)-483-8180,(858)-101-2118,SSN,208-40-1582,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
male,Mr,Andy,Chapman,9716,Dane St,Toledo,Indiana,United States,30025,53.0297,94.8014,+4:30,Kabul,andy.chapman@example.com,1954-06-06T13:34:05.004Z,67,2012-02-08T21:39:32.368Z,9,(205)-395-6954,(518)-485-5023,SSN,288-71-7141,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
female,Ms,Naomi,Wilson,881,N Stelling Rd,Mesquite,Georgia,United States,84139,-72.3049,120.7845,-3:30,Newfoundland,naomi.wilson@example.com,1992-06-01T04:32:18.432Z,29,2013-10-08T16:14:51.792Z,8,(622)-766-5447,(533)-050-2514,SSN,319-72-8720,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
