gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Ida,Kuhn,9912,Frances Ct,Springfield,Colorado,United States,86876,84.0659,74.0343,+4:30,Kabul,ida.kuhn@example.com,1982-12-17T10:26:52.355Z,39,2005-05-18T10:33:45.223Z,16,(593)-750-1475,(046)-507-5585,SSN,316-86-0137,https://randomuser.me/api/portraits/women/62.jpg,https://randomuser.me/api/portraits/med/women/62.jpg,https://randomuser.me/api/portraits/thumb/women/62.jpg,US
female,Miss,Vickie,Hanson,8191,Karen Dr,Fargo,Alaska,United States,49906,-2.4773,91.7652,-10:00,Hawaii,vickie.hanson@example.com,1974-03-07T16:17:37.395Z,47,2018-05-26T10:15:48.345Z,3,(184)-696-2328,(685)-482-6960,SSN,192-91-0694,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
male,Mr,Cecil,Hansen,7338,Cherry St,Roanoke,Delaware,United States,77498,-25.1536,-89.0126,+3:30,Tehran,cecil.hansen@example.com,1983-12-22T13:32:02.940Z,38,2005-04-30T00:03:25.086Z,16,(371)-077-3212,(552)-218-7933,SSN,666-45-4079,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
male,Mr,Erik,Holmes,6473,E Pecan St,Eugene,Tennessee,United States,56089,-55.9739,-96.0979,-7:00,Mountain Time (US & Canada),erik.holmes@example.com,1954-03-15T06:16:30.207Z,67,2006-12-28T18:44:42.424Z,15,(438)-689-6395,(682)-796-2491,SSN,518-86-8512,https://randomuser.me/api/portraits/men/84.jpg,https://randomuser.me/api/portraits/med/men/84.jpg,https://randomuser.me/api/portraits/thumb/men/84.jpg,US
male,Mr,Jimmy,Perez,9900,Crockett St,Clearwater,Colorado,United States,94524,45.0170,-170.3713,-8:00,Pacific Time (US & Canada),jimmy.perez@example.com,1973-02-26T19:38:07.907Z,48,2012-07-27T04:11:42.574Z,9,(188)-899-9769,(061)-168-5368,SSN,376-23-6758,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
male,Mr,Erik,Ford,6727,W Dallas St,Pasadena,California,United States,79954,22.5065,170.1639,-7:00,Mountain Time (US & Canada),erik.ford@example.com,1982-09-05T00:33:46.765Z,39,2004-05-01T14:31:50.310Z,17,(629)-393-5158,(113)-302-4871,SSN,603-51-2924,https://randomuser.me/api/portraits/men/44.jpg,https://randomuser.me/api/portraits/med/men/44.jpg,https://randomuser.me/api/portraits/thumb/men/44.jpg,US
male,Mr,Levi,Ramos,8400,W Gray St,West Palm Beach,Hawaii,United States,93057,-54.5594,132.1859,-9:00,Alaska,levi.ramos@example.com,1971-07-02T03:58:23.282Z,50,2017-09-05T13:28:34.128Z,4,(276)-285-3214,(926)-786-8311,SSN,204-68-5033,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg,US
male,Mr,Jamie,Prescott,6278,Dogwood Ave,Murrieta,Oklahoma,United States,65156,-24.9253,24.9479,+4:30,Kabul,jamie.prescott@example.com,1965-03-06T05:20:51.734Z,56,2012-06-03T00:13:32.228Z,9,(846)-222-0579,(045)-994-6453,SSN,265-27-0861,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
female,Ms,Grace,Weaver,5736,Hamilton Ave,Jacksonville,Connecticut,United States,93774,61.4787,9.3713,-7:00,Mountain Time (US & Canada),grace.weaver@example.com,1990-06-28T17:38:46.209Z,31,2016-01-13T21:03:43.278Z,5,(212)-787-4052,(720)-021-8155,SSN,263-91-3471,https://randomuser.me/api/portraits/women/47.jpg,https://randomuser.me/api/portraits/med/women/47.jpg,https://randomuser.me/api/portraits/thumb/women/47.jpg,US
female,Miss,Monica,Horton,5845,Spring St,Hampton,West Virginia,United States,81094,44.8555,35.7362,-2:00,Mid-Atlantic,monica.horton@example.com,1954-12-17T19:30:37.512Z,67,2017-02-10T03:49:45.066Z,4,(616)-810-9824,(677)-349-4218,SSN,620-61-2008,https://randomuser.me/api/portraits/women/41.jpg,https://randomuser.me/api/portraits/med/women/41.jpg,https://randomuser.me/api/portraits/thumb/women/41.jpg,US
female,Ms,Jamie,Castro,7510,W Pecan St,Oklahoma City,Connecticut,United States,63874,78.5079,142.9465,-8:00,Pacific Time (US & Canada),jamie.castro@example.com,1979-12-28T21:32:52.158Z,42,2010-02-07T00:37:41.509Z,11,(494)-007-0580,(851)-940-7890,SSN,878-80-7335,https://randomuser.me/api/portraits/women/93.jpg,https://randomuser.me/api/portraits/med/women/93.jpg,https://randomuser.me/api/portraits/thumb/women/93.jpg,US
male,Mr,Joseph,Mills,8091,Wycliff Ave,Clearwater,West Virginia,United States,54978,37.6202,-99.8185,-7:00,Mountain Time (US & Canada),joseph.mills@example.com,1945-10-09T15:56:19.457Z,76,2010-01-12T08:03:19.588Z,11,(908)-142-3697,(136)-937-5142,SSN,462-05-8886,https://randomuser.me/api/portraits/men/9.jpg,https://randomuser.me/api/portraits/med/men/9.jpg,https://randomuser.me/api/portraits/thumb/men/9.jpg,US
female,Mrs,Megan,Armstrong,6254,Stevens Creek Blvd,Allen,New York,United States,98068,55.3614,152.2284,-2:00,Mid-Atlantic,megan.armstrong@example.com,1945-09-19T04:22:36.030Z,76,2019-05-14T13:54:20.763Z,2,(140)-451-5801,(625)-932-4852,SSN,721-51-9747,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
