gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Alyssa,Hansen,828,Pecan Acres Ln,Utica,North Dakota,United States,12514,27.5940,-5.5869,-9:00,Alaska,alyssa.hansen@example.com,1996-03-05T12:46:55.749Z,25,2015-10-12T03:33:34.287Z,6,(323)-821-6983,(349)-111-9108,SSN,881-87-7572,https://randomuser.me/api/portraits/women/0.jpg,https://randomuser.me/api/portraits/med/women/0.jpg,https://randomuser.me/api/portraits/thumb/women/0.jpg,US
male,Mr,Jimmie,Sanchez,3010,N Stelling Rd,Simi Valley,Arkansas,United States,37894,-13.1920,95.6265,-3:30,Newfoundland,jimmie.sanchez@example.com,1990-09-14T09:25:04.729Z,31,2008-04-29T21:58:54.345Z,13,(313)-011-0683,(636)-741-1708,SSN,800-39-5417,https://randomuser.me/api/portraits/men/65.jpg,https://randomuser.me/api/portraits/med/men/65.jpg,https://randomuser.me/api/portraits/thumb/men/65.jpg,US
female,Ms,Dolores,Murray,178,Marsh Ln,Laredo,Louisiana,United States,94407,60.0574,138.0620,-8:00,Pacific Time (US & Canada),dolores.murray@example.com,1984-04-24T23:23:21.541Z,37,2009-04-27T03:52:07.653Z,12,(432)-613-5480,(154)-576-4653,SSN,646-69-8349,https://randomuser.me/api/portraits/women/23.jpg,https://randomuser.me/api/portraits/med/women/23.jpg,https://randomuser.me/api/portraits/thumb/women/23.jpg,US
female,Miss,Brandie,Terry,1117,Rolling Green Rd,Anna,Kentucky,United States,73167,-27.2112,57.2980,-7:00,Mountain Time (US & Canada),brandie.terry@example.com,1970-12-27T05:18:03.149Z,51,2007-07-13T20:54:09.867Z,14,(732)-778-5870,(689)-360-2480,SSN,452-69-2730,https://randomuser.me/api/portraits/women/47.jpg,https://randomuser.me/api/portraits/med/women/47.jpg,https://randomuser.me/api/portraits/thumb/women/47.jpg,US
male,Mr,Freddie,Hamilton,2383,Shady Ln Dr,Nashville,Arkansas,United States,59551,-87.2233,-123.1404,-8:00,Pacific Time (US & Canada),freddie.hamilton@example.com,1966-02-16T19:47:49.854Z,55,2013-12-26T17:07:07.824Z,8,(372)-348-1246,(368)-211-1265,SSN,324-24-3928,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
female,Ms,Harper,Carroll,102,W Campbell Ave,Las Vegas,Wyoming,United States,18887,-12.7719,20.6205,-10:00,Hawaii,harper.carroll@example.com,1976-12-28T03:05:25.607Z,45,2013-05-13T13:41:21.319Z,8,(196)-306-4917,(439)-881-1724,SSN,788-75-4720,https://randomuser.me/api/portraits/women/6.jpg,https://randomuser.me/api/portraits/med/women/6.jpg,https://randomuser.me/api/portraits/thumb/women/6.jpg,US
male,Mr,Dennis,Kelley,6577,Spring St,Cupertino,Indiana,United States,54883,-26.4207,-127.4946,-2:00,Mid-Atlantic,dennis.kelley@example.com,1985-03-06T08:28:52.028Z,36,2014-04-24T21:54:25.982Z,7,(114)-223-8827,(632)-978-9267,SSN,816-20-3077,https://randomuser.me/api/portraits/men/58.jpg,https://randomuser.me/api/portraits/med/men/58.jpg,https://randomuser.me/api/portraits/thumb/men/58.jpg,US
female,Mrs,Eleanor,Robertson,7673,Rolling Green Rd,Waterbury,Mississippi,United States,37571,28.0930,135.0313,-2:00,Mid-Atlantic,eleanor.robertson@example.com,1998-02-22T19:10:09.697Z,23,2013-02-19T06:51:17.665Z,8,(990)-595-3476,(891)-124-7881,SSN,937-08-3990,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,US
male,Mr,Jayden,Willis,3499,N Stelling Rd,Everett,Minnesota,United States,89946,83.5982,61.8987,-2:00,Mid-Atlantic,jayden.willis@example.com,1991-07-20T16:52:52.983Z,30,2018-10-14T00:14:46.739Z,3,(115)-775-2032,(563)-491-5075,SSN,159-58-8748,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
male,Mr,Troy,Pierce,4899,Edwards Rd,Elgin,Kentucky,United States,94365,-27.7482,-120.1562,-7:00,Mountain Time (US & Canada),troy.pierce@example.com,1970-08-21T00:12:35.119Z,51,2005-07-31T22:52:30.854Z,16,(822)-207-2766,(155)-081-0558,SSN,844-71-1940,https://randomuser.me/api/portraits/men/4.jpg,https://randomuser.me/api/portraits/med/men/4.jpg,https://randomuser.me/api/portraits/thumb/men/4.jpg,US
