gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Ann,Ellis,7919,Eason Rd,El Paso,New Hampshire,United States,90047,62.2033,49.1441,-2:00,Mid-Atlantic,ann.ellis@example.com,1958-12-05T06:29:59.926Z,63,2008-07-08T19:35:54.878Z,13,(183)-359-7094,(642)-313-5224,SSN,346-41-3213,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
female,Mrs,Heidi,Austin,9441,Spring Hill Rd,Fort Lauderdale,New Mexico,United States,96386,11.9924,-41.0806,+5:45,Kathmandu,heidi.austin@example.com,1998-01-14T21:39:00.612Z,23,2014-09-30T19:44:44.906Z,7,(479)-218-8412,(083)-911-8849,SSN,443-93-6387,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,US
female,Miss,Elizabeth,Larson,9356,Lovers Ln,Stockton,Vermont,United States,65685,-34.2419,-161.8531,-7:00,Mountain Time (US & Canada),elizabeth.larson@example.com,1996-04-11T06:46:34.369Z,25,2014-03-11T14:48:16.842Z,7,(055)-013-8602,(875)-151-8627,SSN,818-45-9734,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
male,Mr,Perry,Morales,2644,W 6th St,Long Beach,Colorado,United States,93900,2.3419,-96.1137,-9:00,Alaska,perry.morales@example.com,1983-03-28T19:14:03.449Z,38,2005-05-20T17:11:28.399Z,16,(757)-551-5354,(114)-559-3158,SSN,526-49-3496,https://randomuser.me/api/portraits/men/96.jpg,https://randomuser.me/api/portraits/med/men/96.jpg,https://randomuser.me/api/portraits/thumb/men/96.jpg,US
male,Mr,Terry,Austin,8939,Bruce St,Mesquite,Wisconsin,United States,64426,72.6384,-133.3303,+5:45,Kathmandu,terry.austin@example.com,1953-09-14T23:49:55.434Z,68,2017-05-13T05:28:27.023Z,4,(260)-700-3477,(125)-636-3551,SSN,089-95-1192,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
female,Ms,Stephanie,Burton,9124,W Gray St,Clearwater,Virginia,United States,61448,-86.0279,-73.6504,-2:00,Mid-Atlantic,stephanie.burton@example.com,1971-12-26T16:17:11.048Z,50,2013-08-14T22:12:19.712Z,8,(144)-260-7321,(451)-940-4927,SSN,612-62-1542,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
male,Mr,Chad,Carter,8902,Northaven Rd,Paterson,Florida,United States,33035,86.2659,99.1839,-8:00,Pacific Time (US & Canada),chad.carter@example.com,1968-12-21T20:23:25.840Z,53,2018-07-16T04:44:27.088Z,3,(543)-451-8589,(186)-916-0037,SSN,414-16-3740,https://randomuser.me/api/portraits/men/27.jpg,https://randomuser.me/api/portraits/med/men/27.jpg,https://randomuser.me/api/portraits/thumb/men/27.jpg,US
male,Mr,Jonathan,Mckinney,1188,W Sherman Dr,Fort Worth,Ohio,United States,53792,78.5742,-78.8641,-10:00,Hawaii,jonathan.mckinney@example.com,1954-03-25T14:23:24.596Z,67,2008-10-05T20:03:52.159Z,13,(220)-288-1902,(326)-585-4936,SSN,976-42-8191,https://randomuser.me/api/portraits/men/77.jpg,https://randomuser.me/api/portraits/med/men/77.jpg,https://randomuser.me/api/portraits/thumb/men/77.jpg,US
female,Mrs,Naomi,Mckinney,3500,W Dallas St,Moscow,Illinois,United States,73721,37.7401,45.1716,-2:00,Mid-Atlantic,naomi.mckinney@example.com,1967-07-11T13:39:00.689Z,54,2012-03-12T14:06:21.811Z,9,(883)-000-5801,(299)-134-0199,SSN,493-61-7633,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
male,Mr,Edward,Caldwell,4441,Timber Wolf Trail,Ironville,Tennessee,United States,91630,83.8523,126.6337,+5:45,Kathmandu,edward.caldwell@example.com,1997-02-06T23:11:39.616Z,24,2017-01-08T09:57:50.235Z,4,(203)-630-5427,(126)-921-4137,SSN,349-87-7502,https://randomuser.me/api/portraits/men/46.jpg,https://randomuser.me/api/portraits/med/men/46.jpg,https://randomuser.me/api/portraits/thumb/men/46.jpg,US
male,Mr,Tony,Foster,4850,Bruce St,Boston,Nebraska,United States,57218,-77.5403,98.2943,+4:30,Kabul,tony.foster@example.com,1981-05-05T03:54:31.371Z,40,2004-04-27T20:53:25.344Z,17,(901)-691-0074,(991)-848-0308,SSN,623-90-7437,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
