gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Edna,Roberts,8921,Wycliff Ave,Hartford,Nevada,United States,16661,86.3858,55.6363,-9:00,Alaska,edna.roberts@example.com,1992-02-18T06:17:23.843Z,29,2003-03-15T17:29:03.778Z,18,(860)-452-9138,(477)-412-4122,SSN,231-22-2958,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
male,Mr,Paul,Sullivan,646,Spring St,Beaumont,Kentucky,United States,23044,22.3290,113.9578,-2:00,Mid-Atlantic,paul.sullivan@example.com,1969-01-01T00:38:36.136Z,53,2009-11-25T15:47:26.486Z,12,(509)-647-4920,(251)-104-8542,SSN,752-59-3333,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
male,Mr,Martin,Griffin,5743,Robinson Rd,Lansing,South Dakota,United States,12704,38.8233,60.5000,+3:30,Tehran,martin.griffin@example.com,1950-09-02T08:27:04.121Z,71,2010-10-12T05:57:01.883Z,11,(670)-728-3354,(722)-808-6932,SSN,570-34-7145,https://randomuser.me/api/portraits/men/90.jpg,https://randomuser.me/api/portraits/med/men/90.jpg,https://randomuser.me/api/portraits/thumb/men/90.jpg,US
female,Mrs,Sonia,Garza,4079,College St,Steilacoom,North Dakota,United States,83197,87.5916,157.5669,-8:00,Pacific Time (US & Canada),sonia.garza@example.com,1961-02-27T12:00:38.156Z,60,2011-01-08T05:20:54.937Z,10,(028)-857-5253,(926)-860-7789,SSN,333-43-2363,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg,US
male,Mr,Gabe,Prescott,6637,W Sherman Dr,Greensboro,Nevada,United States,25395,52.2879,-73.4896,-3:30,Newfoundland,gabe.prescott@example.com,1981-08-23T01:04:13.591Z,40,2019-05-23T04:07:42.905Z,2,(283)-308-1610,(041)-005-1066,SSN,161-14-0740,https://randomuser.me/api/portraits/men/32.jpg,https://randomuser.me/api/portraits/med/men/32.jpg,https://randomuser.me/api/portraits/thumb/men/32.jpg,US
female,Ms,Sylvia,Campbell,7560,Edwards Rd,Lafayette,Rhode Island,United States,37276,-29.8902,-171.9969,-7:00,Mountain Time (US & Canada),sylvia.campbell@example.com,1963-07-15T06:22:36.748Z,58,2007-07-15T21:15:34.998Z,14,(579)-138-9795,(943)-869-0106,SSN,321-66-0583,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
female,Miss,Constance,Barnes,5961,Avondale Ave,Raleigh,Maine,United States,95495,-22.0334,-47.3129,+5:45,Kathmandu,constance.barnes@example.com,1971-07-28T09:41:09.934Z,50,2002-11-22T10:18:09.494Z,19,(559)-811-9927,(426)-670-9318,SSN,703-45-9363,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,US
male,Mr,Sebastian,Henderson,8136,Royal Ln,Round Rock,New Jersey,United States,15442,43.9723,71.0382,-7:00,Mountain Time (US & Canada),sebastian.henderson@example.com,1959-06-16T01:22:15.076Z,62,2011-08-16T03:00:21.044Z,10,(287)-201-1851,(346)-106-8579,SSN,213-45-0104,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,US
female,Miss,Leslie,Price,3675,Lakeshore Rd,Broken Arrow,Minnesota,United States,17035,10.8850,172.3822,-2:00,Mid-Atlantic,leslie.price@example.com,1986-11-29T02:50:46.368Z,35,2009-08-10T13:52:11.970Z,12,(078)-658-8245,(754)-429-3932,SSN,674-96-0040,https://randomuser.me/api/portraits/women/56.jpg,https://randomuser.me/api/portraits/med/women/56.jpg,https://randomuser.me/api/portraits/thumb/women/56.jpg,US
female,Miss,Priscilla,Hoffman,8675,Lakeview St,Elgin,Texas,United States,65309,-42.9094,-38.3234,-2:00,Mid-Atlantic,priscilla.hoffman@example.com,1959-03-31T02:23:10.074Z,62,2016-01-30T03:32:13.620Z,5,(584)-510-0450,(516)-827-5684,SSN,996-94-5037,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
female,Ms,Rosa,Shelton,5081,Green Rd,Pasadena,Vermont,United States,56566,86.3683,-45.1973,+3:30,Tehran,rosa.shelton@example.com,1974-02-12T12:39:33.483Z,47,2012-02-13T11:33:04.039Z,9,(172)-196-3761,(898)-085-3948,SSN,344-36-5175,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
