gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Sally,Holland,5366,W 6th St,Mesquite,Georgia,United States,66278,74.3538,140.5009,-7:00,Mountain Time (US & Canada),sally.holland@example.com,1980-12-22T13:43:59.758Z,41,2009-01-01T15:46:01.139Z,12,(712)-455-7927,(629)-535-1022,SSN,703-35-4440,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
female,Mrs,Harper,Harvey,6109,W Pecan St,Everett,Connecticut,United States,14070,0.7325,58.1102,-2:00,Mid-Atlantic,harper.harvey@example.com,1954-01-30T00:08:33.615Z,67,2017-11-29T10:42:20.355Z,4,(260)-884-3326,(297)-704-0921,SSN,751-76-0667,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,US
female,Ms,Janice,Chambers,6515,Miller Ave,Farmers Branch,Montana,United States,76798,-84.6058,149.7631,-9:00,Alaska,janice.chambers@example.com,1968-03-17T22:49:46.281Z,53,2019-08-23T02:39:24.694Z,2,(635)-205-8781,(616)-786-4567,SSN,430-87-3974,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
male,Mr,Alex,Neal,5793,Royal Ln,Huntington Beach,West Virginia,United States,38997,24.0089,-161.4434,-3:30,Newfoundland,alex.neal@example.com,1996-12-29T07:14:23.724Z,25,2015-04-26T21:39:06.203Z,6,(714)-796-6124,(366)-066-6225,SSN,256-98-4559,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
male,Mr,Wyatt,Carroll,1502,Locust Rd,Minneapolis,North Carolina,United States,77505,58.9827,107.3770,+5:45,Kathmandu,wyatt.carroll@example.com,1954-12-26T06:17:27.337Z,67,2009-10-09T01:14:51.304Z,12,(308)-112-6891,(552)-029-5793,SSN,306-79-6722,https://randomuser.me/api/portraits/men/58.jpg,https://randomuser.me/api/portraits/med/men/58.jpg,https://randomuser.me/api/portraits/thumb/men/58.jpg,US
female,Miss,Lori,Warren,6764,Fairview St,Syracuse,Louisiana,United States,11408,77.9503,-47.5631,+5:45,Kathmandu,lori.warren@example.com,1963-12-14T22:24:02.726Z,58,2002-07-23T07:28:16.455Z,19,(311)-434-7098,(174)-413-5734,SSN,513-80-3568,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
male,Mr,Christian,Evans,1838,W Gray St,Little Rock,Pennsylvania,United States,87645,7.5733,-158.0505,-2:00,Mid-Atlantic,christian.evans@example.com,1978-01-25T08:16:03.634Z,43,2014-10-07T16:53:56.579Z,7,(115)-699-0065,(992)-926-6599,SSN,340-81-9564,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
female,Ms,Nina,Jacobs,4190,Woodland St,Lansing,Minnesota,United States,43039,45.3207,-143.3480,+3:30,Tehran,nina.jacobs@example.com,1950-10-10T16:18:32.146Z,71,2015-06-21T20:45:37.315Z,6,(004)-594-0701,(741)-234-4264,SSN,072-43-9949,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,US
male,Mr,Bernard,Terry,7811,Photinia Ave,Seagoville,Colorado,United States,78376,-13.9575,-64.4599,-3:30,Newfoundland,bernard.terry@example.com,1983-01-05T06:14:57.552Z,38,2016-04-25T19:14:39.283Z,5,(877)-103-8482,(888)-994-9563,SSN,089-27-7159,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
female,Miss,Heather,Webb,2584,Lakeview St,Antioch,Alabama,United States,19674,-89.7989,-113.8330,+4:30,Kabul,heather.webb@example.com,1993-02-17T21:24:50.496Z,28,2009-02-09T05:09:47.155Z,12,(506)-648-4583,(720)-131-9077,SSN,796-73-7500,https://randomuser.me/api/portraits/women/71.jpg,https://randomuser.me/api/portraits/med/women/71.jpg,https://randomuser.me/api/portraits/thumb/women/71.jpg,US
