gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Sebastian,Hunt,6666,Hunters Creek Dr,Redding,Idaho,United States,92746,-43.6213,-74.2424,-3:30,Newfoundland,sebastian.hunt@example.com,1988-04-04T01:03:00.687Z,33,2004-11-03T06:55:01.009Z,17,(664)-281-8317,(753)-133-9981,SSN,911-22-4207,https://randomuser.me/api/portraits/men/69.jpg,https://randomuser.me/api/portraits/med/men/69.jpg,https://randomuser.me/api/portraits/thumb/men/69.jpg,US
male,Mr,Nicholas,Simmmons,789,Plum St,Durham,Massachusetts,United States,86409,-5.2062,17.3654,+4:30,Kabul,nicholas.simmmons@example.com,1971-11-23T01:56:42.933Z,50,2018-05-26T20:10:48.611Z,3,(966)-891-2148,(041)-539-7732,SSN,115-36-5797,https://randomuser.me/api/portraits/men/72.jpg,https://randomuser.me/api/portraits/med/men/72.jpg,https://randomuser.me/api/portraits/thumb/men/72.jpg,US
male,Mr,Alfredo,Barnett,8329,Frances Ct,Rochmond,Colorado,United States,88257,-14.3894,33.8316,-7:00,Mountain Time (US & Canada),alfredo.barnett@example.com,1946-05-13T06:32:15.274Z,75,2011-06-29T20:37:34.309Z,10,(449)-175-8761,(841)-172-0501,SSN,744-46-1651,https://randomuser.me/api/portraits/men/66.jpg,https://randomuser.me/api/portraits/med/men/66.jpg,https://randomuser.me/api/portraits/thumb/men/66.jpg,US
female,Mrs,Lisa,Jackson,8697,Valley View Ln,Irving,Illinois,United States,21593,-64.2603,33.7136,-2:00,Mid-Atlantic,lisa.jackson@example.com,1947-10-05T13:52:29.998Z,74,2005-09-30T01:58:42.611Z,16,(100)-515-2139,(130)-598-0453,SSN,389-67-3015,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,US
female,Mrs,Marie,Andrews,3254,W Belt Line Rd,Frederick,Hawaii,United States,82172,34.0081,-139.2245,-9:00,Alaska,marie.andrews@example.com,1957-12-31T08:50:30.423Z,64,2016-12-14T13:12:38.782Z,5,(463)-416-8916,(177)-056-3716,SSN,774-54-7392,https://randomuser.me/api/portraits/women/71.jpg,https://randomuser.me/api/portraits/med/women/71.jpg,https://randomuser.me/api/portraits/thumb/women/71.jpg,US
female,Miss,Ruby,Silva,1279,Oak Lawn Ave,Garland,Maine,United States,40962,-4.1432,-8.4382,-2:00,Mid-Atlantic,ruby.silva@example.com,1951-03-27T21:19:44.166Z,70,2008-05-06T16:03:11.847Z,13,(392)-471-1334,(363)-247-7107,SSN,944-14-4826,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
male,Mr,Harry,Allen,7218,James St,Vancouver,South Carolina,United States,35252,-21.1994,-176.4140,-2:00,Mid-Atlantic,harry.allen@example.com,1982-11-06T02:33:02.379Z,39,2019-05-20T03:50:11.011Z,2,(735)-714-0559,(727)-692-7308,SSN,176-58-6265,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,US
female,Miss,Ella,Simmmons,9632,Pockrus Page Rd,High Point,Utah,United States,23590,-57.8249,66.0487,+4:30,Kabul,ella.simmmons@example.com,1969-11-25T15:39:41.278Z,52,2010-01-12T23:33:47.843Z,11,(758)-012-2744,(922)-201-4915,SSN,758-61-3858,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
male,Mr,Melvin,Welch,8681,Wycliff Ave,West Palm Beach,Oregon,United States,90802,-41.4371,19.6640,+3:30,Tehran,melvin.welch@example.com,1959-06-12T17:29:39.502Z,62,2017-09-15T21:59:55.038Z,4,(188)-407-3992,(267)-620-0453,SSN,863-04-8863,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
female,Miss,Leona,Jensen,6177,E North St,Reno,Alabama,United States,15151,77.0863,-93.0750,-9:00,Alaska,leona.jensen@example.com,1948-04-05T08:44:04.314Z,73,2015-11-13T00:39:48.700Z,6,(176)-545-1854,(292)-974-0402,SSN,727-59-3646,https://randomuser.me/api/portraits/women/94.jpg,https://randomuser.me/api/portraits/med/women/94.jpg,https://randomuser.me/api/portraits/thumb/women/94.jpg,US
