gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Rodney,Reid,8311,Dogwood Ave,Hayward,Nevada,United States,23380,-30.9676,10.0227,-3:30,Newfoundland,rodney.reid@example.com,1964-04-13T06:54:54.448Z,57,2018-08-13T04:26:00.648Z,3,(167)-028-8170,(105)-019-3041,SSN,998-93-7860,https://randomuser.me/api/portraits/men/59.jpg,https://randomuser.me/api/portraits/med/men/59.jpg,https://randomuser.me/api/portraits/thumb/men/59.jpg,US
male,Mr,Kevin,Kelly,5908,Lakeshore Rd,Orange,California,United States,31984,-43.6381,-116.6409,-9:00,Alaska,kevin.kelly@example.com,1945-01-22T15:03:47.376Z,76,2010-01-06T14:20:15.537Z,11,(893)-308-5923,(174)-101-3419,SSN,185-49-6770,https://randomuser.me/api/portraits/men/84.jpg,https://randomuser.me/api/portraits/med/men/84.jpg,https://randomuser.me/api/portraits/thumb/men/84.jpg,US
male,Mr,Soham,Bishop,9537,Rolling Green Rd,Lancaster,Oklahoma,United States,68800,43.3250,92.9536,+3:30,Tehran,soham.bishop@example.com,1952-10-30T16:11:14.614Z,69,2007-01-09T08:10:24.504Z,14,(798)-222-2324,(833)-396-0667,SSN,180-57-5525,https://randomuser.me/api/portraits/men/32.jpg,https://randomuser.me/api/portraits/med/men/32.jpg,https://randomuser.me/api/portraits/thumb/men/32.jpg,US
male,Mr,Kelly,Hansen,1186,College St,Amarillo,Utah,United States,40618,88.2333,64.0843,+5:45,Kathmandu,kelly.hansen@example.com,1986-02-18T07:26:03.548Z,35,2006-06-08T23:08:56.332Z,15,(460)-730-1149,(347)-982-1102,SSN,964-63-3338,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
female,Miss,Brittany,Riley,6276,Rolling Green Rd,Carlsbad,Rhode Island,United States,94886,-8.2549,-10.1636,+4:30,Kabul,brittany.riley@example.com,1952-09-27T02:01:30.825Z,69,2004-05-06T13:34:19.451Z,17,(657)-436-3101,(725)-198-9369,SSN,135-73-0931,https://randomuser.me/api/portraits/women/95.jpg,https://randomuser.me/api/portraits/med/women/95.jpg,https://randomuser.me/api/portraits/thumb/women/95.jpg,US
female,Miss,Felecia,Grant,1859,Pecan Acres Ln,Frisco,Missouri,United States,51847,-44.8066,-74.1735,-8:00,Pacific Time (US & Canada),felecia.grant@example.com,1996-08-12T16:42:55.310Z,25,2011-09-03T22:22:06.016Z,10,(296)-303-0760,(659)-623-9702,SSN,365-13-5558,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
male,Mr,Jeremiah,Ray,9241,Smokey Ln,Rio Rancho,Virginia,United States,45479,-86.2074,-142.0007,-8:00,Pacific Time (US & Canada),jeremiah.ray@example.com,1998-03-16T09:28:29.234Z,23,2019-01-01T17:51:10.831Z,2,(506)-539-8098,(581)-728-4379,SSN,522-22-4333,https://randomuser.me/api/portraits/men/75.jpg,https://randomuser.me/api/portraits/med/men/75.jpg,https://randomuser.me/api/portraits/thumb/men/75.jpg,US
male,Mr,Mike,Harris,1588,Shady Ln Dr,Elko,Wyoming,United States,54207,-68.1828,29.6240,-9:00,Alaska,mike.harris@example.com,1980-04-05T21:04:16.185Z,41,2006-12-17T11:52:05.722Z,15,(299)-440-8388,(037)-900-9819,SSN,091-62-4742,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
female,Ms,Gina,Carlson,4306,Preston Rd,Belen,California,United States,37003,38.6569,79.4079,-8:00,Pacific Time (US & Canada),gina.carlson@example.com,1982-11-30T14:59:46.296Z,39,2002-10-04T02:40:59.133Z,19,(040)-646-5170,(821)-454-9481,SSN,189-67-9811,https://randomuser.me/api/portraits/women/64.jpg,https://randomuser.me/api/portraits/med/women/64.jpg,https://randomuser.me/api/portraits/thumb/women/64.jpg,US
male,Mr,Kelly,Hayes,8434,Walnut Hill Ln,Chicago,West Virginia,United States,18180,79.2571,-119.4157,-3:30,Newfoundland,kelly.hayes@example.com,1945-12-31T16:59:51.744Z,76,2004-08-01T05:32:49.718Z,17,(705)-673-5649,(855)-048-3633,SSN,133-77-8038,https://randomuser.me/api/portraits/men/83.jpg,https://randomuser.me/api/portraits/med/men/83.jpg,https://randomuser.me/api/portraits/thumb/men/83.jpg,US
female,Ms,Lucy,Chavez,2898,Central St,Bueblo,South Carolina,United States,58991,-69.3069,51.5766,-8:00,Pacific Time (US & Canada),lucy.chavez@example.com,1945-10-25T22:16:09.757Z,76,2011-03-20T14:44:52.541Z,10,(418)-867-3006,(999)-651-4526,SSN,963-74-6948,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
female,Mrs,Katie,Fernandez,356,Fincher Rd,Knoxville,South Dakota,United States,81320,-15.5593,-62.8728,-10:00,Hawaii,katie.fernandez@example.com,1948-07-07T20:09:27.799Z,73,2004-05-10T18:03:26.242Z,17,(272)-923-3844,(955)-414-5743,SSN,955-26-3989,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
female,Miss,Amanda,Sullivan,2864,White Oak Dr,Tyler,Michigan,United States,58027,-39.3700,-96.5257,-7:00,Mountain Time (US & Canada),amanda.sullivan@example.com,1977-03-26T16:32:03.554Z,44,2017-09-20T07:23:28.694Z,4,(334)-929-7619,(298)-309-1143,SSN,627-68-7511,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
female,Miss,Dolores,Jennings,2841,W Gray St,Flint,Georgia,United States,72437,-72.5736,61.4994,-9:00,Alaska,dolores.jennings@example.com,1988-07-31T07:01:33.092Z,33,2007-08-16T20:04:35.284Z,14,(419)-315-0095,(638)-135-0187,SSN,630-00-8791,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
female,Mrs,Beatrice,Adams,9536,Railroad St,Hollywood,New Jersey,United States,84435,69.4507,13.2362,-3:30,Newfoundland,beatrice.adams@example.com,1954-09-26T22:10:33.005Z,67,2005-02-06T09:16:48.702Z,16,(281)-442-4248,(786)-834-9304,SSN,688-62-0363,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,US
