gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Jeffery,Harvey,5792,Eason Rd,Moscow,Indiana,United States,99424,-85.2985,-72.2327,-2:00,Mid-Atlantic,jeffery.harvey@example.com,1969-01-14T09:36:32.812Z,52,2010-11-16T06:33:29.927Z,11,(201)-547-3857,(102)-108-9132,SSN,010-88-1132,https://randomuser.me/api/portraits/men/36.jpg,https://randomuser.me/api/portraits/med/men/36.jpg,https://randomuser.me/api/portraits/thumb/men/36.jpg,US
male,Mr,Leroy,Edwards,5357,Mockingbird Hill,Buffalo,Connecticut,United States,79416,17.4402,74.8519,-8:00,Pacific Time (US & Canada),leroy.edwards@example.com,1993-02-15T11:09:01.800Z,28,2006-01-03T07:52:53.119Z,15,(389)-618-7641,(520)-230-6432,SSN,930-14-4583,https://randomuser.me/api/portraits/men/38.jpg,https://randomuser.me/api/portraits/med/men/38.jpg,https://randomuser.me/api/portraits/thumb/men/38.jpg,US
female,Mrs,Kenzi,Gregory,801,First Street,Allen,Maryland,United States,63501,-80.0712,-54.2417,-2:00,Mid-Atlantic,kenzi.gregory@example.com,1952-09-27T13:46:13.897Z,69,2010-06-11T09:35:18.760Z,11,(994)-719-1034,(525)-143-8338,SSN,027-94-0176,https://randomuser.me/api/portraits/women/83.jpg,https://randomuser.me/api/portraits/med/women/83.jpg,https://randomuser.me/api/portraits/thumb/women/83.jpg,US
male,Mr,Theodore,Perkins,4328,W Pecan St,Yonkers,New Hampshire,United States,27600,38.5435,161.0941,-2:00,Mid-Atlantic,theodore.perkins@example.com,1998-09-11T08:04:22.660Z,23,2016-09-08T06:32:55.916Z,5,(030)-501-4461,(741)-949-6042,SSN,070-71-4552,https://randomuser.me/api/portraits/men/87.jpg,https://randomuser.me/api/portraits/med/men/87.jpg,https://randomuser.me/api/portraits/thumb/men/87.jpg,US
female,Ms,Paula,Harrison,6288,Marsh Ln,New Orleans,Michigan,United States,42848,40.6689,81.7234,-9:00,Alaska,paula.harrison@example.com,1958-12-22T07:59:01.890Z,63,2010-09-19T11:35:30.414Z,11,(926)-051-8811,(901)-671-7883,SSN,727-26-1856,https://randomuser.me/api/portraits/women/84.jpg,https://randomuser.me/api/portraits/med/women/84.jpg,https://randomuser.me/api/portraits/thumb/women/84.jpg,US
female,Ms,Edith,Dunn,2824,Mcclellan Rd,Boulder,Delaware,United States,49655,52.4717,-117.1512,-9:00,Alaska,edith.dunn@example.com,1996-07-22T23:12:21.248Z,25,2016-10-19T06:02:27.562Z,5,(087)-121-7960,(599)-701-4547,SSN,899-45-7153,https://randomuser.me/api/portraits/women/6.jpg,https://randomuser.me/api/portraits/med/women/6.jpg,https://randomuser.me/api/portraits/thumb/women/6.jpg,US
female,Miss,Emma,Wilson,9128,Parker Rd,Cedar Rapids,Texas,United States,39942,36.5186,-95.4900,-9:00,Alaska,emma.wilson@example.com,1987-10-01T13:13:41.744Z,34,2019-08-28T05:12:48.362Z,2,(992)-858-6025,(684)-458-2071,SSN,848-93-9655,https://randomuser.me/api/portraits/women/66.jpg,https://randomuser.me/api/portraits/med/women/66.jpg,https://randomuser.me/api/portraits/thumb/women/66.jpg,US
female,Ms,Susan,Lawson,9079,Fincher Rd,Rancho Cucamonga,Kentucky,United States,62355,-7.7738,158.5542,+5:45,Kathmandu,susan.lawson@example.com,1982-12-28T10:51:22.304Z,39,2018-12-04T11:54:49.445Z,3,(807)-525-9117,(529)-304-4417,SSN,107-62-5133,https://randomuser.me/api/portraits/women/16.jpg,https://randomuser.me/api/portraits/med/women/16.jpg,https://randomuser.me/api/portraits/thumb/women/16.jpg,US
male,Mr,Jeff,Butler,9221,W Campbell Ave,San Mateo,Texas,United States,19382,-53.4992,-22.9943,+5:45,Kathmandu,jeff.butler@example.com,1951-11-24T23:01:22.931Z,70,2006-07-09T03:59:21.424Z,15,(940)-837-0621,(062)-500-8533,SSN,370-82-1257,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
female,Ms,Rachel,Payne,2509,Elgin St,Rochmond,New Hampshire,United States,20365,47.0892,157.6779,+3:30,Tehran,rachel.payne@example.com,1974-12-08T11:50:58.146Z,47,2016-01-04T12:44:08.253Z,5,(642)-817-1219,(326)-487-4177,SSN,567-25-4256,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
