gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Morris,Jennings,3321,Mockingbird Ln,Des Moines,Georgia,United States,97585,79.9145,-179.8792,+5:45,Kathmandu,morris.jennings@example.com,1965-09-28T04:10:29.975Z,56,2008-08-04T02:36:17.758Z,13,(127)-003-6599,(524)-651-9052,SSN,028-77-7209,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
female,Mrs,Brandy,Murphy,9111,Woodland St,New Haven,Alabama,United States,31782,79.9281,151.1826,+3:30,Tehran,brandy.murphy@example.com,1986-03-12T12:07:07.015Z,35,2006-05-29T20:06:45.806Z,15,(538)-881-1208,(477)-300-6043,SSN,873-98-3548,https://randomuser.me/api/portraits/women/6.jpg,https://randomuser.me/api/portraits/med/women/6.jpg,https://randomuser.me/api/portraits/thumb/women/6.jpg,US
female,Mrs,Mattie,Hill,2925,E Center St,Hayward,Indiana,United States,86478,-39.2657,74.2215,-8:00,Pacific Time (US & Canada),mattie.hill@example.com,1978-12-14T11:34:59.187Z,43,2010-05-15T19:17:26.033Z,11,(152)-375-8248,(505)-570-2344,SSN,844-01-0712,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
male,Mr,Ray,Fuller,1481,Oak Ridge Ln,Garland,Alabama,United States,30518,67.5227,-3.3617,-9:00,Alaska,ray.fuller@example.com,1963-06-17T04:49:01.272Z,58,2007-10-01T07:14:32.142Z,14,(931)-710-1900,(367)-886-6640,SSN,736-05-8183,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,US
male,Mr,Ben,Lawrence,3396,Dane St,Saint Paul,Rhode Island,United States,50527,60.9929,50.1903,-8:00,Pacific Time (US & Canada),ben.lawrence@example.com,1966-12-02T21:09:40.744Z,55,2007-03-06T23:02:53.083Z,14,(637)-171-7128,(579)-676-2425,SSN,174-47-0948,https://randomuser.me/api/portraits/men/42.jpg,https://randomuser.me/api/portraits/med/men/42.jpg,https://randomuser.me/api/portraits/thumb/men/42.jpg,US
female,Ms,Suzanne,Smith,3814,Hunters Creek Dr,Santa Ana,Missouri,United States,15953,-26.3764,103.4788,-3:30,Newfoundland,suzanne.smith@example.com,1955-02-23T09:29:31.285Z,66,2006-11-20T14:21:17.664Z,15,(266)-131-1654,(873)-070-5112,SSN,677-71-3549,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg,US
male,Mr,Carlos,Willis,7985,White Oak Dr,Bernalillo,Michigan,United States,65466,-87.1351,-60.5743,+5:45,Kathmandu,carlos.willis@example.com,1973-08-11T00:48:11.717Z,48,2019-01-02T10:44:44.269Z,2,(532)-200-9639,(714)-692-8144,SSN,247-90-1337,https://randomuser.me/api/portraits/men/84.jpg,https://randomuser.me/api/portraits/med/men/84.jpg,https://randomuser.me/api/portraits/thumb/men/84.jpg,US
female,Ms,Isabella,Cox,929,Lovers Ln,Cupertino,Rhode Island,United States,66173,-49.9417,-144.9092,-8:00,Pacific Time (US & Canada),isabella.cox@example.com,1954-01-04T07:39:36.235Z,67,2003-10-06T04:05:47.314Z,18,(100)-089-7156,(351)-629-0050,SSN,648-82-1633,https://randomuser.me/api/portraits/women/40.jpg,https://randomuser.me/api/portraits/med/women/40.jpg,https://randomuser.me/api/portraits/thumb/women/40.jpg,US
male,Mr,Nelson,Boyd,76,Harrison Ct,Torrance,Oklahoma,United States,25976,-26.3749,90.1566,-2:00,Mid-Atlantic,nelson.boyd@example.com,1966-03-14T00:32:44.706Z,55,2016-07-04T05:43:33.335Z,5,(763)-340-9126,(248)-550-0828,SSN,457-44-6427,https://randomuser.me/api/portraits/men/69.jpg,https://randomuser.me/api/portraits/med/men/69.jpg,https://randomuser.me/api/portraits/thumb/men/69.jpg,US
male,Mr,Adrian,Dixon,5037,Crockett St,South Bend,Kansas,United States,77850,-77.1619,-122.6177,-2:00,Mid-Atlantic,adrian.dixon@example.com,1992-08-26T08:19:06.037Z,29,2008-06-02T13:03:51.288Z,13,(040)-953-7428,(885)-632-9314,SSN,943-58-7264,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg,US
