gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Duane,Austin,7204,W Belt Line Rd,Oklahoma City,Maryland,United States,83764,-6.0381,-47.8022,+5:45,Kathmandu,duane.austin@example.com,1994-05-12T17:01:17.891Z,27,2012-11-04T13:58:28.085Z,9,(946)-091-3641,(533)-967-3030,SSN,500-42-1408,https://randomuser.me/api/portraits/men/54.jpg,https://randomuser.me/api/portraits/med/men/54.jpg,https://randomuser.me/api/portraits/thumb/men/54.jpg,US
male,Mr,Alberto,Hawkins,8801,Lakeshore Rd,Denver,Colorado,United States,32712,-78.6197,-124.5918,-3:30,Newfoundland,alberto.hawkins@example.com,1972-11-08T22:04:21.617Z,49,2014-05-12T21:12:37.812Z,7,(979)-058-2707,(440)-330-9333,SSN,927-30-0818,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
male,Mr,Jack,Bennett,6844,White Oak Dr,Fort Lauderdale,Rhode Island,United States,41655,13.8470,-88.4321,-7:00,Mountain Time (US & Canada),jack.bennett@example.com,1954-07-13T22:59:37.594Z,67,2012-02-11T20:26:26.314Z,9,(681)-875-7410,(294)-795-3583,SSN,278-32-3557,https://randomuser.me/api/portraits/men/29.jpg,https://randomuser.me/api/portraits/med/men/29.jpg,https://randomuser.me/api/portraits/thumb/men/29.jpg,US
female,Mrs,Jill,Meyer,8107,Frances Ct,Indianapolis,Texas,United States,44680,-37.2299,18.6305,-9:00,Alaska,jill.meyer@example.com,1970-02-11T19:48:11.056Z,51,2004-01-17T10:30:07.079Z,17,(198)-176-5887,(100)-511-6765,SSN,461-18-3367,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg,US
male,Mr,Connor,Brown,3908,Harrison Ct,Rochester,Rhode Island,United States,62471,-68.4587,25.4338,+5:45,Kathmandu,connor.brown@example.com,1964-01-19T09:56:27.292Z,57,2014-08-12T09:07:59.677Z,7,(997)-318-3816,(993)-109-4704,SSN,604-66-3307,https://randomuser.me/api/portraits/men/12.jpg,https://randomuser.me/api/portraits/med/men/12.jpg,https://randomuser.me/api/portraits/thumb/men/12.jpg,US
male,Mr,Brandon,Washington,9046,Robinson Rd,Forney,West Virginia,United States,84093,30.0020,172.7891,+3:30,Tehran,brandon.washington@example.com,1983-01-06T15:42:26.433Z,38,2010-06-21T20:37:23.913Z,11,(639)-301-0949,(060)-467-9825,SSN,534-35-3649,https://randomuser.me/api/portraits/men/29.jpg,https://randomuser.me/api/portraits/med/men/29.jpg,https://randomuser.me/api/portraits/thumb/men/29.jpg,US
female,Ms,Jessica,Dunn,6201,Lone Wolf Trail,Omaha,Georgia,United States,87286,54.1236,-130.5989,-7:00,Mountain Time (US & Canada),jessica.dunn@example.com,1991-08-18T17:03:26.109Z,30,2002-10-05T12:16:21.250Z,19,(511)-569-1770,(921)-118-3341,SSN,895-96-9227,https://randomuser.me/api/portraits/women/84.jpg,https://randomuser.me/api/portraits/med/women/84.jpg,https://randomuser.me/api/portraits/thumb/women/84.jpg,US
female,Miss,Lois,Matthews,6472,Miller Ave,Montgomery,Nebraska,United States,96265,66.6917,15.5495,+5:45,Kathmandu,lois.matthews@example.com,1963-01-26T22:22:41.575Z,58,2011-11-25T19:45:47.030Z,10,(682)-449-6854,(973)-817-7951,SSN,414-65-7768,https://randomuser.me/api/portraits/women/67.jpg,https://randomuser.me/api/portraits/med/women/67.jpg,https://randomuser.me/api/portraits/thumb/women/67.jpg,US
female,Miss,Sonia,Davis,5144,Wheeler Ridge Dr,Riverside,New Jersey,United States,45526,-32.1935,-27.3723,-10:00,Hawaii,sonia.davis@example.com,1960-12-16T01:51:56.959Z,61,2008-10-31T06:58:27.791Z,13,(876)-371-4493,(779)-068-3495,SSN,814-38-1401,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
male,Mr,Micheal,Burton,7176,Mcgowen St,Aurora,New Hampshire,United States,28432,80.3482,14.0480,-7:00,Mountain Time (US & Canada),micheal.burton@example.com,1964-01-29T00:08:24.256Z,57,2016-03-07T14:07:09.972Z,5,(265)-309-0380,(523)-419-1928,SSN,711-42-8082,https://randomuser.me/api/portraits/men/43.jpg,https://randomuser.me/api/portraits/med/men/43.jpg,https://randomuser.me/api/portraits/thumb/men/43.jpg,US
female,Mrs,Zoe,May,1056,Parker Rd,Edgewood,Connecticut,United States,23584,-47.8769,-160.9572,-8:00,Pacific Time (US & Canada),zoe.may@example.com,1972-05-23T01:11:52.708Z,49,2015-10-30T10:51:27.616Z,6,(662)-013-9650,(075)-376-4921,SSN,510-69-7098,https://randomuser.me/api/portraits/women/86.jpg,https://randomuser.me/api/portraits/med/women/86.jpg,https://randomuser.me/api/portraits/thumb/women/86.jpg,US
female,Ms,Sylvia,Ramos,5789,Hickory Creek Dr,Frisco,Ohio,United States,36344,-58.6461,167.9451,-10:00,Hawaii,sylvia.ramos@example.com,1949-06-02T01:39:18.982Z,72,2012-11-18T21:40:47.949Z,9,(168)-621-2019,(607)-075-0063,SSN,625-20-5673,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
