gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Jeffery,White,3673,Hogan St,Rio Rancho,Georgia,United States,45662,24.2556,-150.6792,+5:45,Kathmandu,jeffery.white@example.com,1960-10-19T22:16:56.413Z,61,2006-07-09T11:02:28.083Z,15,(203)-236-8903,(767)-847-0819,SSN,336-05-6563,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,US
female,Miss,Michele,Simmons,3337,Dane St,Athens,Washington,United States,14783,-26.6947,83.6615,-2:00,Mid-Atlantic,michele.simmons@example.com,1972-09-05T01:54:22.660Z,49,2011-01-03T22:10:51.164Z,10,(887)-562-7400,(664)-737-4426,SSN,076-89-8598,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
female,Ms,Lillian,Watson,7018,W Campbell Ave,Visalia,Vermont,United States,72785,21.8617,-96.4106,+5:45,Kathmandu,lillian.watson@example.com,1968-09-08T15:46:13.074Z,53,2018-10-27T16:55:06.321Z,3,(648)-828-7416,(608)-058-6986,SSN,300-89-8182,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
male,Mr,Logan,Walters,8245,College St,Lewiston,Mississippi,United States,34255,28.2388,72.7864,-9:00,Alaska,logan.walters@example.com,1957-03-26T23:33:57.101Z,64,2007-10-29T15:06:06.890Z,14,(344)-899-7042,(365)-459-9432,SSN,370-40-2123,https://randomuser.me/api/portraits/men/46.jpg,https://randomuser.me/api/portraits/med/men/46.jpg,https://randomuser.me/api/portraits/thumb/men/46.jpg,US
female,Ms,Abigail,Mason,3754,Photinia Ave,Coral Springs,Alaska,United States,98075,42.2124,-14.5538,-8:00,Pacific Time (US & Canada),abigail.mason@example.com,1959-11-15T01:46:09.099Z,62,2014-11-16T06:42:19.134Z,7,(644)-937-1803,(883)-654-8561,SSN,805-71-1145,https://randomuser.me/api/portraits/women/5.jpg,https://randomuser.me/api/portraits/med/women/5.jpg,https://randomuser.me/api/portraits/thumb/women/5.jpg,US
female,Miss,Theresa,Hamilton,3084,W Gray St,El Monte,Arkansas,United States,45873,88.6112,-144.1453,-2:00,Mid-Atlantic,theresa.hamilton@example.com,1974-10-26T23:05:39.788Z,47,2016-08-09T17:09:22.091Z,5,(798)-204-9869,(993)-811-3504,SSN,714-39-7867,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
female,Miss,Harper,Harvey,8136,Brown Terrace,Belen,New Jersey,United States,60905,7.6175,-174.1169,-2:00,Mid-Atlantic,harper.harvey@example.com,1947-12-19T07:17:32.617Z,74,2004-02-28T17:18:29.364Z,17,(567)-441-1900,(817)-976-3147,SSN,528-77-3297,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
male,Mr,Ryan,Alvarez,3638,Prospect Rd,West Valley City,Vermont,United States,90832,2.3239,69.4047,-10:00,Hawaii,ryan.alvarez@example.com,1962-08-08T15:17:47.234Z,59,2003-07-27T06:09:14.101Z,18,(519)-310-0920,(124)-575-9066,SSN,251-41-1380,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
female,Ms,Roberta,Martin,5496,E Sandy Lake Rd,North Las Vegas,Wisconsin,United States,85939,57.3555,-55.9961,-7:00,Mountain Time (US & Canada),roberta.martin@example.com,1974-12-21T09:54:09.597Z,47,2019-03-04T04:27:12.941Z,2,(535)-033-1354,(273)-637-4895,SSN,251-34-4665,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
female,Miss,Jean,Coleman,1837,Mockingbird Hill,Palmdale,Minnesota,United States,97996,45.7148,-155.6122,-8:00,Pacific Time (US & Canada),jean.coleman@example.com,1959-02-23T20:49:44.134Z,62,2011-04-16T11:52:42.483Z,10,(707)-040-4927,(666)-352-8386,SSN,855-81-9110,https://randomuser.me/api/portraits/women/63.jpg,https://randomuser.me/api/portraits/med/women/63.jpg,https://randomuser.me/api/portraits/thumb/women/63.jpg,US
male,Mr,Arnold,Simmons,9947,Country Club Rd,San Francisco,Wisconsin,United States,28400,6.3982,148.5929,-8:00,Pacific Time (US & Canada),arnold.simmons@example.com,1961-07-05T08:51:48.493Z,60,2014-10-08T11:17:57.283Z,7,(010)-938-7899,(723)-835-7067,SSN,199-55-6214,https://randomuser.me/api/portraits/men/23.jpg,https://randomuser.me/api/portraits/med/men/23.jpg,https://randomuser.me/api/portraits/thumb/men/23.jpg,US
male,Mr,Floyd,Bishop,5477,Locust Rd,San Francisco,Wisconsin,United States,25781,-76.7490,-178.2459,-9:00,Alaska,floyd.bishop@example.com,1956-01-09T02:44:53.742Z,65,2018-08-19T06:35:10.233Z,3,(836)-905-2577,(863)-828-7319,SSN,737-83-6458,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
