gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Sandra,Hill,2161,Oak Ridge Ln,Fargo,Oklahoma,United States,65876,-6.2552,168.2998,+5:45,Kathmandu,sandra.hill@example.com,1954-12-05T20:19:49.060Z,67,2010-03-24T21:01:14.858Z,11,(706)-311-1076,(188)-709-2688,SSN,773-68-5891,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
male,Mr,Benjamin,Willis,8982,Spring St,Aurora,Georgia,United States,38012,73.9631,-36.4253,-7:00,Mountain Time (US & Canada),benjamin.willis@example.com,1986-04-29T07:46:47.731Z,35,2013-10-16T21:12:04.291Z,8,(420)-481-3963,(417)-951-7266,SSN,464-42-7686,https://randomuser.me/api/portraits/men/36.jpg,https://randomuser.me/api/portraits/med/men/36.jpg,https://randomuser.me/api/portraits/thumb/men/36.jpg,US
female,Miss,Herminia,Walters,7467,Shady Ln Dr,Visalia,Alabama,United States,63983,-28.8946,119.1451,-2:00,Mid-Atlantic,herminia.walters@example.com,1960-07-04T10:16:46.429Z,61,2008-01-22T13:56:59.353Z,13,(422)-828-3801,(039)-587-0325,SSN,890-13-8337,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
female,Mrs,Stella,Larson,7129,Plum St,Santa Ana,North Dakota,United States,68379,-62.0831,74.0876,-3:30,Newfoundland,stella.larson@example.com,1964-04-14T23:09:05.450Z,57,2017-05-02T22:34:10.933Z,4,(043)-251-2932,(118)-897-4077,SSN,502-29-5890,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
female,Miss,Lillian,Burns,1475,Mcgowen St,Huntington Beach,Utah,United States,59299,-19.5491,-35.3425,-8:00,Pacific Time (US & Canada),lillian.burns@example.com,1961-02-18T07:03:37.879Z,60,2008-06-07T06:32:42.865Z,13,(488)-334-6791,(580)-134-0797,SSN,913-71-9777,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
male,Mr,Martin,Fowler,3341,Mockingbird Hill,New York,New Mexico,United States,24132,-80.3494,-100.0932,+5:45,Kathmandu,martin.fowler@example.com,1950-04-25T04:18:58.428Z,71,2003-03-14T19:11:56.248Z,18,(487)-112-4461,(487)-072-9699,SSN,972-00-1860,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
female,Miss,Michelle,Wagner,9498,Shady Ln Dr,Chattanooga,Alaska,United States,87059,79.4505,133.4202,-3:30,Newfoundland,michelle.wagner@example.com,1967-02-26T03:42:28.032Z,54,2011-10-21T02:24:05.804Z,10,(632)-171-1991,(107)-024-9120,SSN,077-38-1640,https://randomuser.me/api/portraits/women/86.jpg,https://randomuser.me/api/portraits/med/women/86.jpg,https://randomuser.me/api/portraits/thumb/women/86.jpg,US
male,Mr,Lester,Mckinney,179,Bollinger Rd,Santa Rosa,Kentucky,United States,62885,54.9720,-93.1637,-8:00,Pacific Time (US & Canada),lester.mckinney@example.com,1944-12-09T03:17:00.121Z,77,2002-09-17T03:54:11.692Z,19,(178)-514-1633,(949)-842-2050,SSN,891-61-6151,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
male,Mr,Albert,Grant,4846,N Stelling Rd,Reno,New Jersey,United States,44296,37.6123,28.6756,-3:30,Newfoundland,albert.grant@example.com,1969-12-03T03:48:48.140Z,52,2010-09-05T01:24:16.346Z,11,(104)-384-1773,(316)-400-4604,SSN,372-21-2154,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg,US
female,Ms,Dianne,Bates,3708,Parker Rd,Pomona,Vermont,United States,28085,-1.4850,40.8091,-10:00,Hawaii,dianne.bates@example.com,1978-07-25T01:35:03.965Z,43,2002-06-04T01:53:38.836Z,19,(981)-174-0130,(859)-106-5385,SSN,011-33-5279,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
male,Mr,Roberto,Ford,3017,Wycliff Ave,Santa Maria,Delaware,United States,69001,64.1196,-17.1581,-3:30,Newfoundland,roberto.ford@example.com,1984-07-15T16:17:35.294Z,37,2017-12-05T22:18:58.733Z,4,(914)-532-3175,(275)-716-5338,SSN,594-24-5857,https://randomuser.me/api/portraits/men/20.jpg,https://randomuser.me/api/portraits/med/men/20.jpg,https://randomuser.me/api/portraits/thumb/men/20.jpg,US
male,Mr,Kurt,Byrd,7598,Timber Wolf Trail,Pomona,Massachusetts,United States,52043,-75.0997,-178.0798,-10:00,Hawaii,kurt.byrd@example.com,1991-10-08T19:25:29.037Z,30,2011-09-22T08:23:19.441Z,10,(798)-393-1852,(737)-261-6871,SSN,560-70-7372,https://randomuser.me/api/portraits/men/86.jpg,https://randomuser.me/api/portraits/med/men/86.jpg,https://randomuser.me/api/portraits/thumb/men/86.jpg,US
male,Mr,Fred,Perez,4854,Forest Ln,Waterbury,Nevada,United States,92165,25.6101,-15.5441,-10:00,Hawaii,fred.perez@example.com,1975-09-05T15:15:17.490Z,46,2004-04-14T14:30:53.720Z,17,(229)-334-2933,(918)-728-0856,SSN,925-88-7521,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg,US
female,Mrs,Brooklyn,Mckinney,6917,Pecan Acres Ln,Philadelphia,North Carolina,United States,96689,58.5354,-87.5284,-2:00,Mid-Atlantic,brooklyn.mckinney@example.com,1946-05-13T05:28:23.500Z,75,2008-03-11T21:40:45.723Z,13,(012)-431-7060,(631)-425-4352,SSN,886-16-2855,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg,US
male,Mr,Charlie,Johnston,1393,Dogwood Ave,Lexington,Wyoming,United States,60830,-50.8626,-126.1196,-2:00,Mid-Atlantic,charlie.johnston@example.com,1988-02-04T13:41:56.637Z,33,2017-04-14T10:45:43.810Z,4,(584)-223-0679,(073)-627-9500,SSN,354-90-3904,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
