gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Mae,Riley,8166,E Little York Rd,Vancouver,North Carolina,United States,67314,-16.6380,9.7406,+4:30,Kabul,mae.riley@example.com,1976-01-19T15:08:11.285Z,45,2005-09-27T00:23:01.029Z,16,(018)-917-9910,(515)-944-7513,SSN,708-82-3228,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
female,Mrs,Harper,Beck,8751,Thornridge Cir,Helena,Kansas,United States,91600,37.5760,104.2593,-9:00,Alaska,harper.beck@example.com,1981-11-01T18:07:11.587Z,40,2014-08-08T13:18:07.865Z,7,(891)-604-4178,(199)-463-2976,SSN,869-61-7896,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
female,Miss,Wendy,Green,5345,Poplar Dr,Mesquite,Idaho,United States,29898,33.7279,74.5288,-9:00,Alaska,wendy.green@example.com,1945-08-14T23:01:23.056Z,76,2012-11-30T13:51:43.766Z,9,(661)-645-6107,(378)-238-2950,SSN,544-84-8710,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Miss,Darlene,Harrison,7761,W Belt Line Rd,Bellevue,Maryland,United States,42919,-78.8509,175.9378,-9:00,Alaska,darlene.harrison@example.com,1991-01-09T09:08:57.907Z,30,2004-10-30T23:21:21.378Z,17,(159)-509-1026,(854)-922-5090,SSN,704-17-0185,https://randomuser.me/api/portraits/women/10.jpg,https://randomuser.me/api/portraits/med/women/10.jpg,https://randomuser.me/api/portraits/thumb/women/10.jpg,US
male,Mr,Bradley,Fernandez,8994,Spring St,Savannah,Kentucky,United States,63721,-23.0694,-174.2984,+3:30,Tehran,bradley.fernandez@example.com,1953-10-22T11:49:20.453Z,68,2014-10-19T20:41:50.017Z,7,(332)-842-6709,(098)-540-8783,SSN,845-70-7738,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,US
male,Mr,Harry,Kuhn,7146,N Stelling Rd,Pompano Beach,Nevada,United States,93901,66.4545,23.6118,+5:45,Kathmandu,harry.kuhn@example.com,1966-12-29T07:09:28.300Z,55,2011-08-09T20:55:42.805Z,10,(777)-855-4518,(863)-067-5645,SSN,451-54-4980,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
female,Mrs,Herminia,Reed,9985,Fairview St,Anaheim,West Virginia,United States,23353,2.6525,-87.1281,-7:00,Mountain Time (US & Canada),herminia.reed@example.com,1962-01-28T20:23:59.220Z,59,2011-12-19T16:00:37.672Z,10,(599)-608-2844,(055)-828-1363,SSN,110-14-6989,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
female,Miss,Marlene,George,8914,Eason Rd,Rochmond,Colorado,United States,79095,36.3674,80.8490,+4:30,Kabul,marlene.george@example.com,1959-08-27T04:20:49.682Z,62,2005-11-08T06:10:58.101Z,16,(426)-473-7156,(199)-217-9761,SSN,397-35-4095,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
male,Mr,Stephen,Bates,2759,W Sherman Dr,Arvada,New Hampshire,United States,22422,50.2530,111.8574,-3:30,Newfoundland,stephen.bates@example.com,1971-09-04T23:06:07.055Z,50,2014-04-26T21:49:30.294Z,7,(036)-206-9932,(077)-394-2633,SSN,353-53-4984,https://randomuser.me/api/portraits/men/20.jpg,https://randomuser.me/api/portraits/med/men/20.jpg,https://randomuser.me/api/portraits/thumb/men/20.jpg,US
female,Ms,Kristen,Collins,5436,Washington Ave,Cincinnati,West Virginia,United States,60709,85.4798,131.3713,-9:00,Alaska,kristen.collins@example.com,1963-04-05T20:48:26.826Z,58,2002-12-16T19:36:16.890Z,19,(700)-756-6344,(364)-917-6476,SSN,397-93-5591,https://randomuser.me/api/portraits/women/54.jpg,https://randomuser.me/api/portraits/med/women/54.jpg,https://randomuser.me/api/portraits/thumb/women/54.jpg,US
