gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Ethan,Gomez,7733,Preston Rd,Jackson,Montana,United States,74876,-33.6184,-61.3285,-10:00,Hawaii,ethan.gomez@example.com,1950-08-15T04:31:39.534Z,71,2012-06-16T22:19:17.742Z,9,(784)-357-7528,(339)-295-3106,SSN,902-83-9344,https://randomuser.me/api/portraits/men/42.jpg,https://randomuser.me/api/portraits/med/men/42.jpg,https://randomuser.me/api/portraits/thumb/men/42.jpg,US
male,Mr,Erik,Rodriguez,3914,Forest Ln,Albany,Connecticut,United States,65240,-47.5602,147.1420,+5:45,Kathmandu,erik.rodriguez@example.com,1976-02-16T14:22:55.435Z,45,2003-06-01T07:07:48.394Z,18,(254)-958-5659,(514)-071-6138,SSN,193-51-7071,https://randomuser.me/api/portraits/men/65.jpg,https://randomuser.me/api/portraits/med/men/65.jpg,https://randomuser.me/api/portraits/thumb/men/65.jpg,US
male,Mr,Jason,Hayes,864,Harrison Ct,Rialto,Pennsylvania,United States,44176,-33.3955,100.7799,+3:30,Tehran,jason.hayes@example.com,1981-07-14T20:48:07.321Z,40,2008-08-22T16:03:27.512Z,13,(032)-302-3035,(245)-086-7152,SSN,644-25-2656,https://randomuser.me/api/portraits/men/68.jpg,https://randomuser.me/api/portraits/med/men/68.jpg,https://randomuser.me/api/portraits/thumb/men/68.jpg,US
male,Mr,Justin,Perez,7114,Hillcrest Rd,Miami,Maryland,United States,94893,81.7434,117.6933,+3:30,Tehran,justin.perez@example.com,1950-06-28T19:57:49.040Z,71,2009-09-25T15:47:06.204Z,12,(660)-644-2076,(399)-346-2268,SSN,433-62-1250,https://randomuser.me/api/portraits/men/8.jpg,https://randomuser.me/api/portraits/med/men/8.jpg,https://randomuser.me/api/portraits/thumb/men/8.jpg,US
female,Ms,Tanya,Willis,1646,Oak Lawn Ave,Torrance,Oregon,United States,12518,41.5382,-163.3722,+3:30,Tehran,tanya.willis@example.com,1976-04-17T02:20:41.314Z,45,2014-12-13T03:11:32.353Z,7,(200)-811-4934,(146)-738-0404,SSN,237-10-2269,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg,US
female,Miss,Debra,Wagner,9137,W Campbell Ave,Phoenix,Ohio,United States,58350,-53.1536,-126.6119,+4:30,Kabul,debra.wagner@example.com,1972-03-28T09:32:39.582Z,49,2008-08-07T13:39:56.317Z,13,(483)-713-9463,(977)-269-0878,SSN,832-47-2008,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
male,Mr,Chester,Simmons,244,Brown Terrace,Spokane,New Mexico,United States,60191,23.9210,74.9332,-10:00,Hawaii,chester.simmons@example.com,1994-11-26T22:49:20.618Z,27,2014-08-08T20:43:20.131Z,7,(378)-511-3675,(323)-489-7062,SSN,485-82-5009,https://randomuser.me/api/portraits/men/42.jpg,https://randomuser.me/api/portraits/med/men/42.jpg,https://randomuser.me/api/portraits/thumb/men/42.jpg,US
female,Ms,Hailey,Adams,7951,Nowlin Rd,Roanoke,North Carolina,United States,22354,-3.1450,-160.4874,-7:00,Mountain Time (US & Canada),hailey.adams@example.com,1953-01-02T02:03:55.191Z,68,2005-05-11T16:53:28.000Z,16,(760)-777-7170,(123)-436-0552,SSN,663-29-7342,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
female,Miss,Irene,Stewart,2938,Paddock Way,Waterbury,Wisconsin,United States,51830,37.6079,59.8409,+5:45,Kathmandu,irene.stewart@example.com,1998-09-19T16:38:34.001Z,23,2014-01-15T16:52:36.906Z,7,(448)-259-8534,(460)-462-6857,SSN,414-63-6803,https://randomuser.me/api/portraits/women/67.jpg,https://randomuser.me/api/portraits/med/women/67.jpg,https://randomuser.me/api/portraits/thumb/women/67.jpg,US
female,Ms,Alexa,Perez,1151,W Campbell Ave,Vallejo,Iowa,United States,87095,29.1286,38.9163,-2:00,Mid-Atlantic,alexa.perez@example.com,1987-04-13T02:37:40.687Z,34,2010-03-06T23:11:55.700Z,11,(800)-649-1840,(782)-697-4226,SSN,564-62-5286,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
female,Mrs,Billie,Davis,6574,Prospect Rd,Toledo,Louisiana,United States,51754,29.4630,146.2297,-3:30,Newfoundland,billie.davis@example.com,1960-08-21T17:14:29.934Z,61,2004-05-27T03:56:41.356Z,17,(198)-018-0931,(476)-643-3743,SSN,484-09-7395,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
female,Ms,Maureen,Lambert,518,Plum St,Torrance,Delaware,United States,11088,-43.8540,162.8218,+3:30,Tehran,maureen.lambert@example.com,1992-06-24T14:36:28.679Z,29,2013-11-24T17:52:12.587Z,8,(611)-330-7933,(854)-206-1876,SSN,632-02-7565,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,US
