gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Amanda,Fernandez,146,Ranchview Dr,Woodbridge,Illinois,United States,39008,49.5996,-102.8692,-8:00,Pacific Time (US & Canada),amanda.fernandez@example.com,1968-07-18T20:13:20.780Z,53,2014-06-20T06:36:43.053Z,7,(207)-462-3226,(268)-308-5791,SSN,794-14-8361,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg,US
female,Mrs,Susan,Bradley,6659,Crockett St,Allentown,Iowa,United States,93971,67.8366,-164.1531,-8:00,Pacific Time (US & Canada),susan.bradley@example.com,1975-08-27T11:00:16.485Z,46,2018-06-03T07:51:50.405Z,3,(385)-588-6651,(890)-793-9149,SSN,196-11-8063,https://randomuser.me/api/portraits/women/91.jpg,https://randomuser.me/api/portraits/med/women/91.jpg,https://randomuser.me/api/portraits/thumb/women/91.jpg,US
male,Mr,Arthur,Barnett,1527,E Center St,Costa Mesa,New York,United States,53689,-10.4897,71.7558,-9:00,Alaska,arthur.barnett@example.com,1954-05-24T18:34:23.544Z,67,2009-03-21T03:06:31.156Z,12,(459)-621-3071,(337)-160-2466,SSN,479-99-0935,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
male,Mr,Allen,Caldwell,2578,Saddle Dr,Omaha,North Dakota,United States,50450,-46.4534,6.2614,-2:00,Mid-Atlantic,allen.caldwell@example.com,1991-12-14T15:27:11.830Z,30,2008-08-11T22:46:34.661Z,13,(888)-506-4801,(794)-701-7238,SSN,927-54-5959,https://randomuser.me/api/portraits/men/78.jpg,https://randomuser.me/api/portraits/med/men/78.jpg,https://randomuser.me/api/portraits/thumb/men/78.jpg,US
female,Mrs,Shelly,West,395,Robinson Rd,Escondido,Montana,United States,98853,-77.5521,-103.9154,+4:30,Kabul,shelly.west@example.com,1975-12-22T20:14:59.920Z,46,2011-02-27T05:05:15.348Z,10,(372)-532-2148,(024)-246-6898,SSN,512-88-8392,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,US
female,Mrs,Constance,Cox,1124,Nowlin Rd,Cedar Rapids,New Jersey,United States,51259,56.8446,80.6815,-3:30,Newfoundland,constance.cox@example.com,1993-05-09T19:22:39.734Z,28,2004-03-18T14:34:11.251Z,17,(739)-571-8797,(296)-583-5201,SSN,682-42-6468,https://randomuser.me/api/portraits/women/43.jpg,https://randomuser.me/api/portraits/med/women/43.jpg,https://randomuser.me/api/portraits/thumb/women/43.jpg,US
male,Mr,Gilbert,Holland,8664,E North St,New York,Kansas,United States,72878,-20.1639,-127.4085,-8:00,Pacific Time (US & Canada),gilbert.holland@example.com,1946-08-01T21:24:14.051Z,75,2012-10-01T21:44:03.331Z,9,(889)-199-0847,(991)-377-9756,SSN,345-63-0733,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
male,Mr,Mario,Nguyen,9048,Sunset St,San Mateo,Delaware,United States,57837,53.8962,-20.5605,-8:00,Pacific Time (US & Canada),mario.nguyen@example.com,1990-03-28T09:49:35.654Z,31,2013-05-30T16:09:39.836Z,8,(781)-881-7343,(836)-508-9184,SSN,492-55-3194,https://randomuser.me/api/portraits/men/90.jpg,https://randomuser.me/api/portraits/med/men/90.jpg,https://randomuser.me/api/portraits/thumb/men/90.jpg,US
female,Miss,Kristen,Hansen,8005,Sunset St,Vernon,Montana,United States,98701,75.6250,6.6047,+3:30,Tehran,kristen.hansen@example.com,1980-11-23T07:56:17.329Z,41,2005-07-25T05:15:09.048Z,16,(393)-284-6791,(336)-947-3096,SSN,190-05-5852,https://randomuser.me/api/portraits/women/54.jpg,https://randomuser.me/api/portraits/med/women/54.jpg,https://randomuser.me/api/portraits/thumb/women/54.jpg,US
female,Miss,Frances,Reed,4789,Lakeview St,Baton Rouge,Kansas,United States,85151,-89.3498,-1.9917,-7:00,Mountain Time (US & Canada),frances.reed@example.com,1961-02-08T17:54:54.133Z,60,2013-08-27T02:02:16.187Z,8,(168)-373-0132,(858)-227-1263,SSN,087-69-4209,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
female,Miss,Bertha,Frazier,6839,W Dallas St,Rialto,Michigan,United States,44074,80.9339,-173.9224,-7:00,Mountain Time (US & Canada),bertha.frazier@example.com,1979-06-21T05:32:43.618Z,42,2006-11-20T17:05:09.291Z,15,(120)-725-5170,(237)-609-9605,SSN,075-96-8942,https://randomuser.me/api/portraits/women/10.jpg,https://randomuser.me/api/portraits/med/women/10.jpg,https://randomuser.me/api/portraits/thumb/women/10.jpg,US
male,Mr,John,Cox,8714,Cherry St,Vernon,Alaska,United States,20696,89.2585,-1.9406,+5:45,Kathmandu,john.cox@example.com,1961-09-08T13:29:57.879Z,60,2008-01-25T00:13:21.918Z,13,(831)-585-2125,(762)-076-5756,SSN,782-08-3785,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
female,Miss,Candice,Butler,2259,Plum St,Lowell,Iowa,United States,48288,-9.7634,-92.5890,+4:30,Kabul,candice.butler@example.com,1960-11-27T16:58:43.347Z,61,2019-06-06T20:08:46.478Z,2,(731)-263-1130,(697)-628-8763,SSN,080-27-3652,https://randomuser.me/api/portraits/women/43.jpg,https://randomuser.me/api/portraits/med/women/43.jpg,https://randomuser.me/api/portraits/thumb/women/43.jpg,US
male,Mr,Donald,Romero,7827,Spring Hill Rd,Celina,Alaska,United States,42488,-41.4210,64.9085,-3:30,Newfoundland,donald.romero@example.com,1988-08-13T23:49:24.312Z,33,2015-03-19T17:31:27.900Z,6,(956)-964-1991,(219)-702-7808,SSN,123-27-1574,https://randomuser.me/api/portraits/men/61.jpg,https://randomuser.me/api/portraits/med/men/61.jpg,https://randomuser.me/api/portraits/thumb/men/61.jpg,US
female,Ms,Anita,Alexander,5651,Valwood Pkwy,San Diego,Alabama,United States,88974,-77.8368,-112.8935,-10:00,Hawaii,anita.alexander@example.com,1983-03-26T09:03:33.935Z,38,2003-01-23T19:32:15.630Z,18,(933)-276-5155,(721)-887-4455,SSN,005-86-5205,https://randomuser.me/api/portraits/women/32.jpg,https://randomuser.me/api/portraits/med/women/32.jpg,https://randomuser.me/api/portraits/thumb/women/32.jpg,US
