gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Erik,Meyer,8124,Hunters Creek Dr,Lakeland,New York,United States,71668,79.0971,-138.8833,-9:00,Alaska,erik.meyer@example.com,1960-02-04T12:03:18.278Z,61,2017-08-31T21:41:00.781Z,4,(512)-144-6065,(932)-244-5465,SSN,701-53-6715,https://randomuser.me/api/portraits/men/88.jpg,https://randomuser.me/api/portraits/med/men/88.jpg,https://randomuser.me/api/portraits/thumb/men/88.jpg,US
male,Mr,Jon,Mccoy,8076,W Gray St,Vallejo,Tennessee,United States,19506,19.8847,33.6528,-8:00,Pacific Time (US & Canada),jon.mccoy@example.com,1966-11-11T12:14:40.558Z,55,2015-07-02T04:28:27.811Z,6,(647)-162-9677,(383)-957-6861,SSN,378-47-9772,https://randomuser.me/api/portraits/men/41.jpg,https://randomuser.me/api/portraits/med/men/41.jpg,https://randomuser.me/api/portraits/thumb/men/41.jpg,US
female,Ms,Audrey,Nguyen,128,E Little York Rd,Shiloh,Missouri,United States,50241,5.5618,136.7254,-10:00,Hawaii,audrey.nguyen@example.com,1988-01-27T21:30:28.112Z,33,2014-10-25T03:47:52.574Z,7,(572)-011-5323,(343)-029-1769,SSN,421-34-1198,https://randomuser.me/api/portraits/women/55.jpg,https://randomuser.me/api/portraits/med/women/55.jpg,https://randomuser.me/api/portraits/thumb/women/55.jpg,US
female,Miss,Jacqueline,Nguyen,6302,Bruce St,Augusta,Washington,United States,65725,-23.8484,95.4721,-7:00,Mountain Time (US & Canada),jacqueline.nguyen@example.com,1980-09-27T09:43:03.121Z,41,2010-05-11T13:22:35.629Z,11,(095)-686-1382,(499)-443-8157,SSN,509-90-3298,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
male,Mr,Guy,Alexander,8758,Parker Rd,Augusta,Colorado,United States,92433,39.4478,27.6332,-7:00,Mountain Time (US & Canada),guy.alexander@example.com,1983-11-22T07:08:37.510Z,38,2019-08-18T21:39:22.954Z,2,(684)-322-2000,(957)-289-2765,SSN,786-99-0474,https://randomuser.me/api/portraits/men/71.jpg,https://randomuser.me/api/portraits/med/men/71.jpg,https://randomuser.me/api/portraits/thumb/men/71.jpg,US
female,Ms,Sherry,Bradley,9471,Smokey Ln,Bakersfield,North Carolina,United States,17293,-49.0079,-25.8353,-9:00,Alaska,sherry.bradley@example.com,1977-09-23T12:38:47.460Z,44,2010-02-07T12:10:03.197Z,11,(791)-820-3938,(304)-402-7994,SSN,949-15-2261,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
male,Mr,George,Porter,963,Lakeshore Rd,Virginia Beach,Massachusetts,United States,45716,-53.5253,-149.8790,-10:00,Hawaii,george.porter@example.com,1995-01-12T03:39:08.353Z,26,2015-11-27T03:48:55.053Z,6,(219)-096-7445,(984)-153-3474,SSN,063-70-3092,https://randomuser.me/api/portraits/men/69.jpg,https://randomuser.me/api/portraits/med/men/69.jpg,https://randomuser.me/api/portraits/thumb/men/69.jpg,US
male,Mr,Hunter,Hernandez,2093,Taylor St,Jacksonville,Pennsylvania,United States,96032,59.7299,-8.2246,-3:30,Newfoundland,hunter.hernandez@example.com,1974-07-28T03:21:02.529Z,47,2004-04-30T11:31:02.245Z,17,(687)-300-7912,(227)-442-9384,SSN,397-20-9662,https://randomuser.me/api/portraits/men/4.jpg,https://randomuser.me/api/portraits/med/men/4.jpg,https://randomuser.me/api/portraits/thumb/men/4.jpg,US
male,Mr,Roger,Ramirez,1436,Elgin St,Red Oak,Kentucky,United States,29149,36.0192,154.1128,-2:00,Mid-Atlantic,roger.ramirez@example.com,1970-10-29T02:28:18.334Z,51,2005-03-05T05:37:49.130Z,16,(881)-636-4966,(033)-573-0566,SSN,182-16-7716,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
female,Ms,Genesis,Hughes,7580,Green Rd,Yakima,California,United States,12329,-49.1563,-171.1509,-9:00,Alaska,genesis.hughes@example.com,1971-02-16T03:06:57.690Z,50,2002-05-15T18:06:33.679Z,19,(879)-797-9709,(464)-634-2744,SSN,332-79-8269,https://randomuser.me/api/portraits/women/29.jpg,https://randomuser.me/api/portraits/med/women/29.jpg,https://randomuser.me/api/portraits/thumb/women/29.jpg,US
male,Mr,Jackson,Lee,101,Washington Ave,Roanoke,South Carolina,United States,43976,88.3294,-148.0158,-3:30,Newfoundland,jackson.lee@example.com,1961-01-28T06:14:13.884Z,60,2018-11-20T10:27:30.535Z,3,(045)-905-2024,(997)-949-3302,SSN,010-56-1479,https://randomuser.me/api/portraits/men/24.jpg,https://randomuser.me/api/portraits/med/men/24.jpg,https://randomuser.me/api/portraits/thumb/men/24.jpg,US
male,Mr,Patrick,Watts,1345,Marsh Ln,Grand Prairie,New Jersey,United States,85575,69.6152,-70.2158,+5:45,Kathmandu,patrick.watts@example.com,1992-02-23T18:51:38.872Z,29,2006-11-01T22:22:00.913Z,15,(157)-569-2688,(602)-041-4319,SSN,318-57-1828,https://randomuser.me/api/portraits/men/19.jpg,https://randomuser.me/api/portraits/med/men/19.jpg,https://randomuser.me/api/portraits/thumb/men/19.jpg,US
male,Mr,Mitchell,Shaw,7833,Hickory Creek Dr,Temecula,Montana,United States,87846,4.5664,-14.3836,+4:30,Kabul,mitchell.shaw@example.com,1984-02-06T04:00:19.882Z,37,2002-05-31T17:59:49.557Z,19,(887)-462-0046,(674)-743-4131,SSN,088-49-1166,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
male,Mr,Clinton,Taylor,4199,Lovers Ln,Lincoln,Montana,United States,23049,-74.4767,-173.2588,-2:00,Mid-Atlantic,clinton.taylor@example.com,1975-05-22T01:56:29.088Z,46,2006-05-04T16:22:22.185Z,15,(612)-872-5822,(134)-451-1081,SSN,759-08-5264,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,US
male,Mr,Adam,Brewer,4573,Prospect Rd,Cleveland,Iowa,United States,73602,-25.5544,156.2821,-2:00,Mid-Atlantic,adam.brewer@example.com,1968-08-13T10:10:55.583Z,53,2007-08-09T16:03:01.481Z,14,(645)-143-4899,(865)-786-0720,SSN,619-93-9898,https://randomuser.me/api/portraits/men/19.jpg,https://randomuser.me/api/portraits/med/men/19.jpg,https://randomuser.me/api/portraits/thumb/men/19.jpg,US
male,Mr,Wade,Knight,1668,E Pecan St,Roanoke,Delaware,United States,27245,70.2818,-123.8859,+3:30,Tehran,wade.knight@example.com,1975-11-03T05:22:51.829Z,46,2004-10-28T14:56:17.040Z,17,(137)-308-9217,(271)-246-2479,SSN,045-79-8375,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
female,Ms,Amber,Martin,5429,Miller Ave,Everett,Indiana,United States,69777,-62.1565,-84.7934,-9:00,Alaska,amber.martin@example.com,1993-05-03T17:09:11.470Z,28,2017-07-10T03:48:59.907Z,4,(042)-214-9362,(779)-306-2162,SSN,941-77-4585,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg,US
male,Mr,Darrell,Williams,7844,Mcclellan Rd,Killeen,Wyoming,United States,84676,-80.9509,-142.6057,-10:00,Hawaii,darrell.williams@example.com,1979-08-08T06:01:11.188Z,42,2015-05-17T13:15:01.349Z,6,(251)-256-8832,(122)-490-0434,SSN,354-63-8255,https://randomuser.me/api/portraits/men/74.jpg,https://randomuser.me/api/portraits/med/men/74.jpg,https://randomuser.me/api/portraits/thumb/men/74.jpg,US
