gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Dianne,Stanley,4663,Lakeshore Rd,Allen,Pennsylvania,United States,62754,-66.3245,-167.7928,-2:00,Mid-Atlantic,dianne.stanley@example.com,1991-05-07T03:59:26.138Z,30,2014-05-07T09:02:56.011Z,7,(308)-248-0514,(326)-469-9953,SSN,641-19-0994,https://randomuser.me/api/portraits/women/43.jpg,https://randomuser.me/api/portraits/med/women/43.jpg,https://randomuser.me/api/portraits/thumb/women/43.jpg,US
female,Miss,Ida,Sanders,9097,Spring St,Corona,Arkansas,United States,72101,1.5860,-40.3731,-10:00,Hawaii,ida.sanders@example.com,1990-01-24T08:13:31.096Z,31,2008-05-17T11:28:20.811Z,13,(996)-545-2125,(242)-765-7808,SSN,826-32-7553,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
female,Ms,June,Hopkins,4740,W Belt Line Rd,Savannah,Oregon,United States,50103,-50.4487,27.8987,+5:45,Kathmandu,june.hopkins@example.com,1969-04-24T04:04:28.110Z,52,2011-01-24T03:33:17.167Z,10,(422)-293-2518,(869)-492-5745,SSN,108-63-9323,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
female,Mrs,Daisy,Silva,9078,Paddock Way,Frederick,Idaho,United States,10755,84.9051,-11.5645,+3:30,Tehran,daisy.silva@example.com,1966-04-11T05:25:51.297Z,55,2012-12-02T17:09:21.834Z,9,(389)-595-8091,(045)-650-3300,SSN,350-06-2450,https://randomuser.me/api/portraits/women/19.jpg,https://randomuser.me/api/portraits/med/women/19.jpg,https://randomuser.me/api/portraits/thumb/women/19.jpg,US
male,Mr,Jamie,Lucas,1027,Oak Ridge Ln,Bakersfield,Texas,United States,34053,20.0508,-141.5763,-9:00,Alaska,jamie.lucas@example.com,1971-12-27T16:44:32.420Z,50,2003-10-14T03:38:14.035Z,18,(617)-227-0150,(449)-987-0355,SSN,521-25-1528,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
female,Ms,Leslie,Brown,1372,Lone Wolf Trail,Salem,Tennessee,United States,62400,-54.5002,-3.5615,-2:00,Mid-Atlantic,leslie.brown@example.com,1974-10-29T20:28:18.726Z,47,2016-07-10T00:41:53.329Z,5,(023)-531-7391,(195)-206-1172,SSN,081-90-4488,https://randomuser.me/api/portraits/women/29.jpg,https://randomuser.me/api/portraits/med/women/29.jpg,https://randomuser.me/api/portraits/thumb/women/29.jpg,US
male,Mr,Ryan,Ramirez,4485,Lovers Ln,Phoenix,Florida,United States,54853,-58.9834,-60.0726,-9:00,Alaska,ryan.ramirez@example.com,1956-09-06T12:45:07.226Z,65,2011-12-29T02:41:18.563Z,10,(692)-165-8875,(706)-720-2352,SSN,369-00-1970,https://randomuser.me/api/portraits/men/46.jpg,https://randomuser.me/api/portraits/med/men/46.jpg,https://randomuser.me/api/portraits/thumb/men/46.jpg,US
male,Mr,Samuel,Wells,5728,Karen Dr,Peoria,Oregon,United States,90157,40.3649,83.9714,-3:30,Newfoundland,samuel.wells@example.com,1960-02-09T11:33:37.881Z,61,2016-03-24T10:58:15.352Z,5,(380)-520-3186,(767)-754-2924,SSN,156-13-5289,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
male,Mr,Wesley,Schmidt,7066,Locust Rd,Carrollton,Kentucky,United States,73199,17.4443,146.8278,+5:45,Kathmandu,wesley.schmidt@example.com,1996-02-07T15:51:38.847Z,25,2010-03-05T01:04:27.094Z,11,(979)-624-6162,(047)-678-9763,SSN,408-83-4303,https://randomuser.me/api/portraits/men/33.jpg,https://randomuser.me/api/portraits/med/men/33.jpg,https://randomuser.me/api/portraits/thumb/men/33.jpg,US
female,Ms,Lynn,Stevens,3903,Marsh Ln,Fairfield,Alabama,United States,71881,15.6410,71.7587,-10:00,Hawaii,lynn.stevens@example.com,1994-09-26T06:08:27.589Z,27,2003-09-28T08:37:58.021Z,18,(466)-358-1665,(296)-494-5661,SSN,849-88-9301,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
