gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Joel,Miles,3212,Sunset St,Richardson,New Hampshire,United States,88964,-84.9408,35.4009,+5:45,Kathmandu,joel.miles@example.com,1989-02-24T10:20:06.419Z,32,2002-05-16T02:48:08.297Z,19,(855)-292-8618,(896)-814-2010,SSN,598-60-8923,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
male,Mr,Fernando,Beck,5742,Taylor St,Jersey City,Florida,United States,27234,-88.4276,-127.0656,-2:00,Mid-Atlantic,fernando.beck@example.com,1974-08-17T03:21:21.793Z,47,2008-08-11T11:27:42.880Z,13,(573)-116-8807,(039)-468-5751,SSN,167-56-0698,https://randomuser.me/api/portraits/men/32.jpg,https://randomuser.me/api/portraits/med/men/32.jpg,https://randomuser.me/api/portraits/thumb/men/32.jpg,US
female,Miss,Tara,Bell,7141,Fairview St,Hamsburg,Connecticut,United States,57843,43.6522,130.2844,+3:30,Tehran,tara.bell@example.com,1947-07-07T13:47:54.307Z,74,2003-10-01T22:10:47.000Z,18,(192)-098-8558,(797)-997-5871,SSN,109-83-4313,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Mrs,Eva,Henry,1977,Hickory Creek Dr,Bridgeport,Alabama,United States,83757,-83.9109,87.0295,-10:00,Hawaii,eva.henry@example.com,1953-04-20T13:54:44.469Z,68,2017-06-21T14:04:52.910Z,4,(432)-018-6771,(411)-459-4960,SSN,597-68-6521,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
female,Mrs,Becky,Gordon,1279,Railroad St,Athens,Nebraska,United States,90612,-22.4139,168.7851,-7:00,Mountain Time (US & Canada),becky.gordon@example.com,1964-11-01T18:04:13.898Z,57,2007-02-05T18:56:57.318Z,14,(107)-176-0433,(362)-781-0686,SSN,998-15-1266,https://randomuser.me/api/portraits/women/32.jpg,https://randomuser.me/api/portraits/med/women/32.jpg,https://randomuser.me/api/portraits/thumb/women/32.jpg,US
male,Mr,Leslie,Miller,7871,N Stelling Rd,North Valley,Texas,United States,85469,40.9486,45.0327,+4:30,Kabul,leslie.miller@example.com,1996-12-24T03:35:00.202Z,25,2012-10-03T22:31:01.918Z,9,(551)-590-4276,(185)-828-9992,SSN,877-65-3828,https://randomuser.me/api/portraits/men/80.jpg,https://randomuser.me/api/portraits/med/men/80.jpg,https://randomuser.me/api/portraits/thumb/men/80.jpg,US
male,Mr,Travis,Moore,8939,Walnut Hill Ln,Mcallen,Pennsylvania,United States,39267,36.0414,37.4891,+5:45,Kathmandu,travis.moore@example.com,1964-12-29T20:13:05.275Z,57,2002-04-30T16:57:40.976Z,19,(464)-018-4736,(595)-122-5584,SSN,474-72-0295,https://randomuser.me/api/portraits/men/5.jpg,https://randomuser.me/api/portraits/med/men/5.jpg,https://randomuser.me/api/portraits/thumb/men/5.jpg,US
male,Mr,Justin,Reynolds,6315,Eason Rd,Nampa,Michigan,United States,43044,47.4517,-158.2873,-10:00,Hawaii,justin.reynolds@example.com,1990-03-14T12:35:07.969Z,31,2009-04-12T11:58:27.451Z,12,(843)-607-6840,(323)-333-4169,SSN,902-39-4098,https://randomuser.me/api/portraits/men/21.jpg,https://randomuser.me/api/portraits/med/men/21.jpg,https://randomuser.me/api/portraits/thumb/men/21.jpg,US
female,Miss,Carole,Harris,8998,Crockett St,New Haven,New Mexico,United States,13995,-54.9145,132.3455,+4:30,Kabul,carole.harris@example.com,1988-12-14T01:39:06.906Z,33,2017-12-30T13:40:00.830Z,4,(128)-098-3236,(964)-080-2564,SSN,879-77-3579,https://randomuser.me/api/portraits/women/19.jpg,https://randomuser.me/api/portraits/med/women/19.jpg,https://randomuser.me/api/portraits/thumb/women/19.jpg,US
female,Ms,Tracy,Mitchelle,868,Woodland St,Sacramento,Delaware,United States,33373,-38.9578,-158.2016,+5:45,Kathmandu,tracy.mitchelle@example.com,1954-10-24T07:28:09.512Z,67,2006-07-25T04:39:14.204Z,15,(496)-783-1959,(334)-000-3677,SSN,300-52-3952,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
