gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Carl,Castillo,2769,Washington Ave,Murrieta,Maryland,United States,44993,-76.8770,-65.1742,-10:00,Hawaii,carl.castillo@example.com,1974-12-26T19:50:08.265Z,47,2011-08-06T21:26:44.544Z,10,(253)-907-0218,(505)-556-9631,SSN,462-50-7098,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
male,Mr,Landon,Ray,1927,Hickory Creek Dr,Forney,California,United States,54563,11.4217,-61.9280,-10:00,Hawaii,landon.ray@example.com,1980-04-30T12:14:33.260Z,41,2013-03-20T05:55:14.057Z,8,(747)-094-0886,(426)-996-2693,SSN,106-88-7051,https://randomuser.me/api/portraits/men/12.jpg,https://randomuser.me/api/portraits/med/men/12.jpg,https://randomuser.me/api/portraits/thumb/men/12.jpg,US
female,Miss,Diana,Torres,8209,Northaven Rd,Nampa,Rhode Island,United States,69452,30.6516,-20.1943,-2:00,Mid-Atlantic,diana.torres@example.com,1977-04-07T07:51:10.935Z,44,2008-04-20T01:41:52.231Z,13,(290)-609-7788,(743)-064-5786,SSN,270-02-6032,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
female,Ms,Amy,Carter,4337,Nowlin Rd,Denton,Delaware,United States,57120,-54.0674,-172.1648,-9:00,Alaska,amy.carter@example.com,1960-03-03T07:03:55.624Z,61,2015-09-27T06:44:00.605Z,6,(443)-413-9722,(986)-986-4643,SSN,048-89-6637,https://randomuser.me/api/portraits/women/45.jpg,https://randomuser.me/api/portraits/med/women/45.jpg,https://randomuser.me/api/portraits/thumb/women/45.jpg,US
male,Mr,Jon,Garza,1082,Lone Wolf Trail,Waterbury,Wisconsin,United States,67611,-50.8669,-155.6838,-7:00,Mountain Time (US & Canada),jon.garza@example.com,1970-07-30T17:37:56.091Z,51,2004-11-19T08:14:18.516Z,17,(967)-106-2736,(330)-289-0747,SSN,438-12-5703,https://randomuser.me/api/portraits/men/95.jpg,https://randomuser.me/api/portraits/med/men/95.jpg,https://randomuser.me/api/portraits/thumb/men/95.jpg,US
male,Mr,Lester,Phillips,2478,Bruce St,Odessa,Mississippi,United States,82702,-4.1988,-70.0923,-10:00,Hawaii,lester.phillips@example.com,1947-07-18T13:34:13.141Z,74,2004-09-29T03:50:16.341Z,17,(177)-116-7542,(272)-752-2991,SSN,852-44-7552,https://randomuser.me/api/portraits/men/16.jpg,https://randomuser.me/api/portraits/med/men/16.jpg,https://randomuser.me/api/portraits/thumb/men/16.jpg,US
male,Mr,Bernard,Griffin,606,Valwood Pkwy,Austin,New Hampshire,United States,64328,-28.1425,-38.6860,-2:00,Mid-Atlantic,bernard.griffin@example.com,1952-07-31T22:34:05.798Z,69,2009-08-29T19:22:13.087Z,12,(564)-376-7717,(338)-093-6622,SSN,556-89-2508,https://randomuser.me/api/portraits/men/19.jpg,https://randomuser.me/api/portraits/med/men/19.jpg,https://randomuser.me/api/portraits/thumb/men/19.jpg,US
female,Miss,Celina,Miller,5723,W Belt Line Rd,Boston,North Carolina,United States,84870,87.0546,50.0832,-10:00,Hawaii,celina.miller@example.com,1959-10-16T00:19:04.850Z,62,2007-01-10T20:43:31.450Z,14,(231)-627-4621,(303)-439-8853,SSN,498-20-8322,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
female,Mrs,Kristina,Holmes,33,Hogan St,Los Lunas,South Carolina,United States,75218,-11.8291,-179.4469,+4:30,Kabul,kristina.holmes@example.com,1987-12-26T17:40:27.388Z,34,2009-01-06T04:51:14.751Z,12,(062)-168-6334,(755)-548-8660,SSN,529-66-5818,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
male,Mr,Andy,Lane,2228,Spring St,Pasadena,Indiana,United States,79145,-49.2708,-164.8601,-7:00,Mountain Time (US & Canada),andy.lane@example.com,1966-02-01T11:45:08.320Z,55,2004-01-02T00:43:59.217Z,17,(858)-334-6844,(756)-947-7942,SSN,872-09-0170,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
