gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Delores,Lambert,308,E Pecan St,Surprise,Pennsylvania,United States,26803,-53.9399,111.1051,+3:30,Tehran,delores.lambert@example.com,1979-02-12T06:50:53.114Z,42,2014-02-24T17:07:49.888Z,7,(216)-348-1357,(705)-085-9784,SSN,887-42-7086,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
male,Mr,Lester,Carroll,497,Spring St,Antioch,Rhode Island,United States,71040,77.1001,29.3450,-9:00,Alaska,lester.carroll@example.com,1984-10-02T17:53:29.903Z,37,2016-04-03T11:04:28.514Z,5,(927)-018-6913,(219)-437-5915,SSN,665-05-9693,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
male,Mr,Anthony,Fleming,7058,Crockett St,Fort Worth,North Carolina,United States,16257,-43.1820,-130.8550,-7:00,Mountain Time (US & Canada),anthony.fleming@example.com,1993-10-25T12:19:07.625Z,28,2019-04-03T23:11:22.447Z,2,(158)-598-0361,(190)-499-3605,SSN,776-83-1098,https://randomuser.me/api/portraits/men/44.jpg,https://randomuser.me/api/portraits/med/men/44.jpg,https://randomuser.me/api/portraits/thumb/men/44.jpg,US
female,Miss,Cassandra,Nichols,6799,Karen Dr,Garden Grove,New Hampshire,United States,11760,-39.9690,104.8774,+5:45,Kathmandu,cassandra.nichols@example.com,1978-02-28T04:51:22.355Z,43,2006-06-27T22:27:58.966Z,15,(907)-479-6505,(453)-031-8740,SSN,675-80-3384,https://randomuser.me/api/portraits/women/66.jpg,https://randomuser.me/api/portraits/med/women/66.jpg,https://randomuser.me/api/portraits/thumb/women/66.jpg,US
male,Mr,Jamie,Jordan,6266,Walnut Hill Ln,Laredo,Tennessee,United States,21345,16.1155,-124.1027,-9:00,Alaska,jamie.jordan@example.com,1975-08-03T12:34:44.666Z,46,2012-05-25T10:11:12.374Z,9,(883)-647-9349,(633)-430-3933,SSN,966-44-3895,https://randomuser.me/api/portraits/men/60.jpg,https://randomuser.me/api/portraits/med/men/60.jpg,https://randomuser.me/api/portraits/thumb/men/60.jpg,US
male,Mr,Jim,Lawrence,2468,First Street,Flowermound,Massachusetts,United States,18823,-67.1115,138.0500,+3:30,Tehran,jim.lawrence@example.com,1955-07-15T13:54:41.094Z,66,2010-04-24T18:59:31.815Z,11,(751)-310-6674,(496)-292-9558,SSN,069-75-9680,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
female,Ms,Arlene,Russell,718,Karen Dr,Caldwell,Tennessee,United States,70288,71.9333,38.2366,-7:00,Mountain Time (US & Canada),arlene.russell@example.com,1961-03-30T13:55:04.969Z,60,2002-04-26T19:56:59.114Z,19,(632)-014-4000,(915)-038-9457,SSN,515-31-9792,https://randomuser.me/api/portraits/women/40.jpg,https://randomuser.me/api/portraits/med/women/40.jpg,https://randomuser.me/api/portraits/thumb/women/40.jpg,US
female,Ms,Sophie,Hoffman,310,Hillcrest Rd,Centennial,Ohio,United States,91305,-29.4928,-54.4803,-9:00,Alaska,sophie.hoffman@example.com,1969-01-07T17:10:04.923Z,52,2011-12-13T10:44:17.107Z,10,(102)-477-0716,(914)-325-6034,SSN,062-96-9972,https://randomuser.me/api/portraits/women/93.jpg,https://randomuser.me/api/portraits/med/women/93.jpg,https://randomuser.me/api/portraits/thumb/women/93.jpg,US
male,Mr,Barry,Prescott,6898,E North St,Corpus Christi,Texas,United States,63378,-2.6663,-74.9166,+5:45,Kathmandu,barry.prescott@example.com,1973-02-02T01:42:29.956Z,48,2009-05-01T11:24:44.575Z,12,(774)-087-1441,(408)-180-7956,SSN,925-43-0612,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
male,Mr,Charlie,Nguyen,565,Valwood Pkwy,Lewisville,Alaska,United States,38261,-25.8818,85.9376,-8:00,Pacific Time (US & Canada),charlie.nguyen@example.com,1956-12-26T13:35:15.973Z,65,2003-12-09T12:21:16.407Z,18,(556)-658-3739,(102)-297-8917,SSN,835-81-0190,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
female,Ms,Erica,Freeman,2883,Edwards Rd,Charlotte,Nevada,United States,71687,51.3863,-31.1929,-2:00,Mid-Atlantic,erica.freeman@example.com,1979-01-20T15:39:16.044Z,42,2002-05-28T02:10:57.155Z,19,(664)-067-6908,(461)-417-3102,SSN,495-01-9192,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
female,Miss,Frances,Daniels,2104,W Belt Line Rd,Indianapolis,Alaska,United States,78778,-13.8824,96.4848,+4:30,Kabul,frances.daniels@example.com,1952-03-12T18:57:40.449Z,69,2011-03-20T02:53:17.704Z,10,(422)-194-3482,(556)-802-8399,SSN,505-69-8263,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
female,Mrs,Mae,Pena,9476,Edwards Rd,Pomona,Alaska,United States,35146,-64.1757,165.9399,+5:45,Kathmandu,mae.pena@example.com,1980-01-24T00:18:57.436Z,41,2005-08-29T04:38:13.504Z,16,(034)-628-3564,(410)-184-6735,SSN,781-22-6685,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
