gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Kenzi,Russell,4226,Edwards Rd,Stamford,Illinois,United States,98611,-75.9949,101.9855,-7:00,Mountain Time (US & Canada),kenzi.russell@example.com,1970-10-06T13:13:00.340Z,51,2017-04-06T14:17:09.999Z,4,(271)-753-6203,(223)-635-5390,SSN,202-75-8463,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
female,Mrs,Renee,Watts,1199,Hillcrest Rd,Killeen,Tennessee,United States,87714,-80.8578,-91.7240,+5:45,Kathmandu,renee.watts@example.com,1998-06-03T12:00:24.198Z,23,2010-06-28T21:08:44.760Z,11,(472)-892-1258,(864)-853-5244,SSN,081-45-7831,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
female,Miss,Constance,Scott,5731,White Oak Dr,Saginaw,Minnesota,United States,11769,-20.4886,-130.5340,+5:45,Kathmandu,constance.scott@example.com,1983-07-27T21:11:26.184Z,38,2015-10-17T09:30:14.953Z,6,(013)-387-0379,(042)-388-7987,SSN,064-91-1208,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,US
female,Mrs,Herminia,Walters,2584,Adams St,Alexandria,Oklahoma,United States,51088,-19.8753,-24.7077,+5:45,Kathmandu,herminia.walters@example.com,1964-07-17T22:41:44.257Z,57,2012-07-09T16:36:49.315Z,9,(365)-710-7789,(186)-997-7377,SSN,094-21-6983,https://randomuser.me/api/portraits/women/55.jpg,https://randomuser.me/api/portraits/med/women/55.jpg,https://randomuser.me/api/portraits/thumb/women/55.jpg,US
male,Mr,Devon,Perkins,6962,Cherry St,South Bend,Oklahoma,United States,18258,-82.3049,54.3350,-8:00,Pacific Time (US & Canada),devon.perkins@example.com,1948-03-28T23:03:39.444Z,73,2008-04-28T06:43:47.869Z,13,(573)-653-6241,(433)-825-2188,SSN,743-56-9524,https://randomuser.me/api/portraits/men/28.jpg,https://randomuser.me/api/portraits/med/men/28.jpg,https://randomuser.me/api/portraits/thumb/men/28.jpg,US
female,Miss,Nellie,Garcia,9542,Country Club Rd,Glendale,New Jersey,United States,21147,10.7283,-154.7926,-8:00,Pacific Time (US & Canada),nellie.garcia@example.com,1997-08-10T22:30:55.881Z,24,2014-05-18T04:40:15.603Z,7,(912)-584-6752,(207)-632-7122,SSN,534-01-1411,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
female,Ms,Billie,Little,1939,Robinson Rd,Oceanside,Hawaii,United States,62820,19.9590,140.3560,-8:00,Pacific Time (US & Canada),billie.little@example.com,1954-09-03T23:25:19.209Z,67,2002-03-26T05:55:21.578Z,19,(284)-113-5282,(935)-082-5076,SSN,908-47-5478,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
male,Mr,Cecil,Fuller,2209,Edwards Rd,Stanley,North Dakota,United States,77410,14.2895,-67.7790,+3:30,Tehran,cecil.fuller@example.com,1975-05-26T19:29:22.282Z,46,2007-07-11T13:01:28.252Z,14,(400)-636-9497,(956)-633-9395,SSN,068-48-5618,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
female,Ms,Kylie,Diaz,7071,Mcclellan Rd,Everett,South Dakota,United States,82743,-8.5041,-120.2743,-7:00,Mountain Time (US & Canada),kylie.diaz@example.com,1975-04-19T19:15:45.920Z,46,2014-11-05T08:52:07.239Z,7,(079)-842-4104,(891)-468-5328,SSN,146-59-5692,https://randomuser.me/api/portraits/women/64.jpg,https://randomuser.me/api/portraits/med/women/64.jpg,https://randomuser.me/api/portraits/thumb/women/64.jpg,US
male,Mr,Claude,Mason,8069,Karen Dr,Great Falls,Maine,United States,93504,60.2229,-8.2478,-3:30,Newfoundland,claude.mason@example.com,1948-02-25T08:25:49.266Z,73,2005-03-08T16:09:45.636Z,16,(747)-598-4837,(312)-354-6802,SSN,531-29-7313,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
