gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Charlie,Carroll,8439,Crockett St,Columbia,Arkansas,United States,11429,-0.9244,56.0456,-2:00,Mid-Atlantic,charlie.carroll@example.com,1947-10-19T15:55:32.215Z,74,2009-07-03T03:16:07.310Z,12,(211)-302-8262,(216)-555-0652,SSN,067-87-2314,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,US
male,Mr,Antonio,Gomez,299,Spring St,Detroit,Wisconsin,United States,21835,-37.0430,-166.4387,-3:30,Newfoundland,antonio.gomez@example.com,1959-07-25T22:21:20.871Z,62,2002-10-20T22:49:41.536Z,19,(556)-589-0059,(867)-120-4935,SSN,633-03-3973,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
male,Mr,Louis,Myers,2907,Mockingbird Hill,Denton,North Carolina,United States,58921,-88.1435,83.9189,-9:00,Alaska,louis.myers@example.com,1985-09-30T09:00:37.032Z,36,2010-05-13T03:39:28.423Z,11,(950)-862-0814,(685)-481-2925,SSN,250-17-9797,https://randomuser.me/api/portraits/men/63.jpg,https://randomuser.me/api/portraits/med/men/63.jpg,https://randomuser.me/api/portraits/thumb/men/63.jpg,US
female,Ms,Edith,Green,6403,Camden Ave,Ventura,New York,United States,43246,-52.7654,-38.4382,-10:00,Hawaii,edith.green@example.com,1980-11-23T00:04:45.798Z,41,2009-12-14T18:49:24.622Z,12,(208)-613-0888,(584)-715-3736,SSN,715-85-2710,https://randomuser.me/api/portraits/women/40.jpg,https://randomuser.me/api/portraits/med/women/40.jpg,https://randomuser.me/api/portraits/thumb/women/40.jpg,US
female,Ms,Connie,Montgomery,812,Royal Ln,Eugene,West Virginia,United States,41600,-86.6839,-1.1793,-7:00,Mountain Time (US & Canada),connie.montgomery@example.com,1950-02-21T23:22:42.758Z,71,2019-08-01T13:52:06.406Z,2,(532)-006-2653,(329)-598-8950,SSN,520-81-9719,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
male,Mr,Guy,Adams,560,Cherry St,Las Cruces,Tennessee,United States,12628,-67.7420,-85.6361,-2:00,Mid-Atlantic,guy.adams@example.com,1995-04-25T23:54:10.813Z,26,2008-01-07T10:33:49.019Z,13,(053)-482-7484,(291)-905-8900,SSN,161-29-5057,https://randomuser.me/api/portraits/men/43.jpg,https://randomuser.me/api/portraits/med/men/43.jpg,https://randomuser.me/api/portraits/thumb/men/43.jpg,US
female,Miss,Savannah,Lawrence,4531,Lovers Ln,Rialto,New York,United States,46584,22.8602,-133.4880,-2:00,Mid-Atlantic,savannah.lawrence@example.com,1988-08-03T08:52:59.665Z,33,2010-09-11T16:56:57.997Z,11,(799)-546-3800,(740)-334-4692,SSN,032-57-6550,https://randomuser.me/api/portraits/women/65.jpg,https://randomuser.me/api/portraits/med/women/65.jpg,https://randomuser.me/api/portraits/thumb/women/65.jpg,US
male,Mr,Matthew,Fleming,7098,Frances Ct,Costa Mesa,Wisconsin,United States,17506,3.9022,77.7782,-7:00,Mountain Time (US & Canada),matthew.fleming@example.com,1994-04-24T13:35:24.506Z,27,2010-03-31T08:21:09.121Z,11,(727)-909-1888,(661)-991-9220,SSN,860-48-8658,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
male,Mr,Lester,Baker,6185,W Campbell Ave,Norfolk,New Hampshire,United States,74641,23.7818,-47.0137,-7:00,Mountain Time (US & Canada),lester.baker@example.com,1964-07-05T13:13:28.034Z,57,2011-02-20T16:13:26.175Z,10,(498)-397-4996,(864)-903-6371,SSN,882-66-1639,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
female,Mrs,Jenny,Sanders,2963,Spring St,Arlington,Virginia,United States,34650,-32.2426,107.3739,-3:30,Newfoundland,jenny.sanders@example.com,1990-08-02T12:36:13.005Z,31,2015-11-07T09:21:26.988Z,6,(699)-610-4838,(855)-630-8138,SSN,893-76-4313,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
