gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Zack,Watts,2261,Samaritan Dr,Arlington,Montana,United States,42276,63.5141,13.1230,-8:00,Pacific Time (US & Canada),zack.watts@example.com,1984-12-21T06:25:00.616Z,37,2017-11-22T09:29:59.542Z,4,(876)-355-5736,(400)-372-8754,SSN,769-27-4803,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg,US
female,Ms,Ramona,Franklin,9043,Wheeler Ridge Dr,Honolulu,Nebraska,United States,90797,-89.8325,179.0964,-3:30,Newfoundland,ramona.franklin@example.com,1984-10-13T23:39:14.789Z,37,2012-05-18T16:53:21.736Z,9,(984)-561-9054,(703)-490-8679,SSN,550-85-0245,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,US
male,Mr,Craig,Beck,9110,Samaritan Dr,Costa Mesa,North Carolina,United States,34511,25.4626,-25.2024,-9:00,Alaska,craig.beck@example.com,1984-07-22T05:54:35.864Z,37,2003-01-18T05:51:36.575Z,18,(183)-026-6702,(058)-376-2318,SSN,945-18-2844,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
female,Ms,Melissa,Martin,1887,W Sherman Dr,Dayton,Florida,United States,64722,-33.9694,-177.2633,-10:00,Hawaii,melissa.martin@example.com,1998-03-12T22:56:17.405Z,23,2005-03-26T10:54:06.247Z,16,(922)-883-6056,(242)-271-8400,SSN,387-09-8794,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg,US
female,Mrs,Kristen,Stevens,5353,Paddock Way,Overland Park,Louisiana,United States,33902,24.9487,-128.4161,-3:30,Newfoundland,kristen.stevens@example.com,1948-08-19T11:25:16.265Z,73,2014-08-22T23:09:03.147Z,7,(578)-597-3214,(631)-410-3374,SSN,072-54-3093,https://randomuser.me/api/portraits/women/40.jpg,https://randomuser.me/api/portraits/med/women/40.jpg,https://randomuser.me/api/portraits/thumb/women/40.jpg,US
female,Miss,Nora,Cruz,3723,Spring St,Omaha,Virginia,United States,56755,-41.9180,-22.0550,-3:30,Newfoundland,nora.cruz@example.com,1955-01-11T04:46:05.980Z,66,2017-12-23T08:58:52.775Z,4,(623)-643-2794,(984)-803-6741,SSN,365-77-9758,https://randomuser.me/api/portraits/women/83.jpg,https://randomuser.me/api/portraits/med/women/83.jpg,https://randomuser.me/api/portraits/thumb/women/83.jpg,US
female,Ms,Tanya,Welch,5784,Saddle Dr,Ann Arbor,Massachusetts,United States,43121,16.1693,-107.6858,+3:30,Tehran,tanya.welch@example.com,1990-04-12T01:57:37.729Z,31,2003-06-28T14:42:28.635Z,18,(298)-628-2261,(622)-396-2213,SSN,509-72-3119,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
male,Mr,Brayden,Smith,2950,Thornridge Cir,Mobile,Mississippi,United States,39115,-9.6217,-67.9108,-8:00,Pacific Time (US & Canada),brayden.smith@example.com,1986-03-08T18:03:43.542Z,35,2008-10-21T06:55:36.045Z,13,(084)-660-3678,(765)-753-7803,SSN,450-54-2872,https://randomuser.me/api/portraits/men/71.jpg,https://randomuser.me/api/portraits/med/men/71.jpg,https://randomuser.me/api/portraits/thumb/men/71.jpg,US
female,Mrs,Lauren,Kelly,9941,Robinson Rd,Palmdale,Pennsylvania,United States,25015,-11.2466,119.2404,-9:00,Alaska,lauren.kelly@example.com,1964-06-05T11:16:00.115Z,57,2012-12-31T14:05:54.364Z,9,(391)-800-9837,(237)-678-8038,SSN,180-48-3692,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
female,Miss,Marian,Chapman,8821,Locust Rd,Syracuse,Michigan,United States,25498,17.1367,-4.7624,-8:00,Pacific Time (US & Canada),marian.chapman@example.com,1982-03-29T17:00:39.717Z,39,2019-03-28T13:33:09.322Z,2,(291)-812-5391,(323)-346-1795,SSN,450-58-9755,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg,US
