gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Katherine,Baker,5547,W Belt Line Rd,Coral Springs,North Dakota,United States,71796,-77.4138,50.4009,-10:00,Hawaii,katherine.baker@example.com,1968-05-04T02:38:36.092Z,53,2013-09-06T02:56:59.892Z,8,(084)-528-7531,(385)-769-7688,SSN,471-49-4972,https://randomuser.me/api/portraits/women/77.jpg,https://randomuser.me/api/portraits/med/women/77.jpg,https://randomuser.me/api/portraits/thumb/women/77.jpg,US
male,Mr,Randall,Schmidt,6872,Cackson St,Tyler,Rhode Island,United States,22383,-17.5095,79.1929,-7:00,Mountain Time (US & Canada),randall.schmidt@example.com,1946-03-23T02:44:14.158Z,75,2011-09-30T00:28:41.156Z,10,(238)-774-1459,(554)-273-7076,SSN,725-94-9680,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
female,Ms,Zoe,Ferguson,3797,Avondale Ave,Memphis,West Virginia,United States,75242,-36.8490,-77.6435,+3:30,Tehran,zoe.ferguson@example.com,1972-06-30T20:02:03.656Z,49,2008-03-03T08:05:39.069Z,13,(166)-209-0086,(001)-932-9261,SSN,460-93-0603,https://randomuser.me/api/portraits/women/93.jpg,https://randomuser.me/api/portraits/med/women/93.jpg,https://randomuser.me/api/portraits/thumb/women/93.jpg,US
female,Ms,Leta,Patterson,5718,Ash Dr,Cedar Rapids,New Hampshire,United States,68001,-75.2209,76.9835,-7:00,Mountain Time (US & Canada),leta.patterson@example.com,1949-06-01T06:53:24.882Z,72,2006-04-14T06:54:28.046Z,15,(996)-688-5312,(790)-151-7468,SSN,589-63-9616,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
male,Mr,Andrew,Anderson,2565,Sunset St,Fort Worth,Massachusetts,United States,92578,-24.9783,21.0900,+5:45,Kathmandu,andrew.anderson@example.com,1949-11-05T11:35:07.454Z,72,2011-09-11T20:47:39.495Z,10,(696)-259-1990,(293)-230-6452,SSN,456-69-9780,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
male,Mr,Javier,Steeves ,4701,Shady Ln Dr,Pasadena,Montana,United States,44159,80.0866,156.5562,-9:00,Alaska,javier.steeves@example.com,1994-02-27T22:38:34.104Z,27,2011-08-11T11:52:59.014Z,10,(753)-857-5186,(145)-887-1486,SSN,695-00-1402,https://randomuser.me/api/portraits/men/33.jpg,https://randomuser.me/api/portraits/med/men/33.jpg,https://randomuser.me/api/portraits/thumb/men/33.jpg,US
female,Miss,Joan,Hansen,698,Photinia Ave,Beaumont,Delaware,United States,85317,21.6092,-79.7109,-3:30,Newfoundland,joan.hansen@example.com,1994-11-10T02:45:48.380Z,27,2016-01-01T10:02:13.840Z,5,(298)-433-2233,(974)-293-4407,SSN,551-13-8434,https://randomuser.me/api/portraits/women/86.jpg,https://randomuser.me/api/portraits/med/women/86.jpg,https://randomuser.me/api/portraits/thumb/women/86.jpg,US
male,Mr,Morris,Wagner,6263,White Oak Dr,Louisville,Minnesota,United States,30222,36.5284,139.6341,+5:45,Kathmandu,morris.wagner@example.com,1992-07-22T11:16:50.985Z,29,2003-01-14T18:52:45.531Z,18,(925)-415-3046,(384)-483-6209,SSN,872-58-3217,https://randomuser.me/api/portraits/men/61.jpg,https://randomuser.me/api/portraits/med/men/61.jpg,https://randomuser.me/api/portraits/thumb/men/61.jpg,US
female,Mrs,Janice,Wheeler,8169,W 6th St,Fort Wayne,Arkansas,United States,20902,15.5292,97.3095,-7:00,Mountain Time (US & Canada),janice.wheeler@example.com,1982-04-14T10:03:49.429Z,39,2008-07-11T10:26:14.454Z,13,(466)-748-3069,(007)-278-9061,SSN,840-28-1328,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
male,Mr,Enrique,Jacobs,1611,Frances Ct,Fontana,Idaho,United States,55287,-87.6552,-126.4933,+5:45,Kathmandu,enrique.jacobs@example.com,1961-12-21T15:19:46.547Z,60,2014-09-14T15:25:46.096Z,7,(444)-508-3359,(367)-383-0419,SSN,534-44-6662,https://randomuser.me/api/portraits/men/38.jpg,https://randomuser.me/api/portraits/med/men/38.jpg,https://randomuser.me/api/portraits/thumb/men/38.jpg,US
female,Mrs,Addison,Jensen,3947,Karen Dr,Glendale,North Carolina,United States,49684,6.2191,-141.7612,-3:30,Newfoundland,addison.jensen@example.com,1971-04-02T16:10:39.121Z,50,2017-10-13T10:33:12.207Z,4,(145)-377-4103,(344)-027-7645,SSN,287-59-2254,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg,US
male,Mr,Kirk,Carter,6528,W Campbell Ave,Newport News,Oklahoma,United States,23121,71.8902,87.5473,+5:45,Kathmandu,kirk.carter@example.com,1981-04-18T15:58:55.638Z,40,2018-02-18T19:53:55.037Z,3,(054)-145-4288,(079)-199-0445,SSN,836-43-5917,https://randomuser.me/api/portraits/men/5.jpg,https://randomuser.me/api/portraits/med/men/5.jpg,https://randomuser.me/api/portraits/thumb/men/5.jpg,US
female,Miss,Bessie,Ray,5902,Hickory Creek Dr,Rancho Cucamonga,New Hampshire,United States,66821,-20.2896,-152.4292,-7:00,Mountain Time (US & Canada),bessie.ray@example.com,1954-10-28T11:14:39.389Z,67,2010-04-13T13:41:33.987Z,11,(063)-688-5533,(225)-463-4458,SSN,107-44-8978,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
female,Miss,Janet,Ray,7747,Miller Ave,Gainesville,California,United States,16696,-48.0311,-53.1022,-9:00,Alaska,janet.ray@example.com,1993-09-03T20:48:22.286Z,28,2004-04-07T01:58:53.121Z,17,(842)-529-4073,(386)-851-8326,SSN,381-30-7559,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
male,Mr,Maurice,Simmons,3012,Taylor St,Oklahoma City,Alabama,United States,56532,-71.5373,140.0211,-8:00,Pacific Time (US & Canada),maurice.simmons@example.com,1978-06-30T04:09:42.769Z,43,2003-11-24T20:13:39.528Z,18,(105)-245-9411,(691)-056-6215,SSN,795-80-8614,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
female,Mrs,Terri,Brewer,1298,Green Rd,Waco,Tennessee,United States,41716,-40.8205,-127.7120,-10:00,Hawaii,terri.brewer@example.com,1954-03-22T00:50:35.682Z,67,2004-02-25T08:37:37.700Z,17,(138)-144-5024,(058)-282-3046,SSN,470-95-8977,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg,US
