gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Nelson,Thompson,6062,W Dallas St,Utica,Virginia,United States,27952,-46.0711,92.7981,-7:00,Mountain Time (US & Canada),nelson.thompson@example.com,1950-07-23T19:34:50.686Z,71,2003-06-10T21:53:48.026Z,18,(069)-962-0217,(471)-786-8505,SSN,411-34-7774,https://randomuser.me/api/portraits/men/33.jpg,https://randomuser.me/api/portraits/med/men/33.jpg,https://randomuser.me/api/portraits/thumb/men/33.jpg,US
female,Miss,Diane,Peck,1597,Avondale Ave,Charleston,Maine,United States,66822,77.5925,76.7400,-10:00,Hawaii,diane.peck@example.com,1973-10-16T22:24:18.699Z,48,2004-11-17T15:47:55.607Z,17,(598)-807-7422,(947)-963-8954,SSN,840-92-1479,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
female,Mrs,Jennie,Vargas,4045,Bruce St,Arvada,Hawaii,United States,97606,41.0977,142.7750,-10:00,Hawaii,jennie.vargas@example.com,1954-03-06T21:47:36.458Z,67,2010-05-23T07:30:59.814Z,11,(782)-540-5743,(693)-909-6940,SSN,265-78-8691,https://randomuser.me/api/portraits/women/32.jpg,https://randomuser.me/api/portraits/med/women/32.jpg,https://randomuser.me/api/portraits/thumb/women/32.jpg,US
male,Mr,Andre,Bryant,7983,Bollinger Rd,Ironville,North Dakota,United States,98090,-15.7247,-177.8669,-10:00,Hawaii,andre.bryant@example.com,1990-04-30T06:18:46.552Z,31,2013-04-10T20:03:45.945Z,8,(056)-206-2669,(870)-588-2018,SSN,997-63-5379,https://randomuser.me/api/portraits/men/75.jpg,https://randomuser.me/api/portraits/med/men/75.jpg,https://randomuser.me/api/portraits/thumb/men/75.jpg,US
female,Ms,Billie,Ross,6299,Poplar Dr,Corpus Christi,New Jersey,United States,51718,-29.6194,77.7058,-9:00,Alaska,billie.ross@example.com,1964-12-15T08:23:28.769Z,57,2008-12-19T10:21:25.565Z,13,(615)-719-5799,(269)-148-0959,SSN,750-47-2507,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg,US
male,Mr,Carter,Wilson,5684,Hunters Creek Dr,Paterson,Florida,United States,79308,-58.0328,-11.3281,+3:30,Tehran,carter.wilson@example.com,1945-03-12T11:36:13.428Z,76,2008-05-03T22:52:32.608Z,13,(834)-605-5000,(786)-205-0708,SSN,592-89-7004,https://randomuser.me/api/portraits/men/90.jpg,https://randomuser.me/api/portraits/med/men/90.jpg,https://randomuser.me/api/portraits/thumb/men/90.jpg,US
female,Ms,Claire,Lee,6685,Marsh Ln,El Monte,Montana,United States,23728,-7.0607,-82.9099,-9:00,Alaska,claire.lee@example.com,1961-08-28T03:18:35.754Z,60,2018-01-11T05:45:16.623Z,3,(358)-612-8948,(017)-386-8065,SSN,571-35-5110,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
female,Mrs,Riley,Mckinney,4641,Cackson St,Lexington,Nebraska,United States,96914,10.2517,179.0954,+3:30,Tehran,riley.mckinney@example.com,1954-11-03T13:57:40.446Z,67,2014-01-14T17:08:28.287Z,7,(471)-047-1343,(001)-590-7381,SSN,582-17-8517,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,US
male,Mr,Johnni,Stanley,8235,Pockrus Page Rd,South Valley,Indiana,United States,99531,-38.4232,110.8356,-7:00,Mountain Time (US & Canada),johnni.stanley@example.com,1991-04-11T17:58:22.811Z,30,2018-05-22T22:02:44.935Z,3,(801)-079-4419,(006)-866-8764,SSN,616-26-8827,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
male,Mr,Adam,Lowe,857,Stevens Creek Blvd,Hartford,New Jersey,United States,75134,-3.2168,169.9890,-9:00,Alaska,adam.lowe@example.com,1992-12-05T04:14:16.784Z,29,2008-08-19T15:40:22.029Z,13,(604)-778-2981,(945)-506-7261,SSN,561-93-8026,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
female,Mrs,Norma,Caldwell,2743,Harrison Ct,Palm Bay,Indiana,United States,85381,-10.7235,-92.6538,+3:30,Tehran,norma.caldwell@example.com,1975-06-27T23:44:33.456Z,46,2011-10-13T19:14:16.800Z,10,(661)-958-8738,(624)-343-5758,SSN,411-49-1004,https://randomuser.me/api/portraits/women/84.jpg,https://randomuser.me/api/portraits/med/women/84.jpg,https://randomuser.me/api/portraits/thumb/women/84.jpg,US
female,Ms,Edith,Hoffman,4994,Mcgowen St,Jersey City,Kansas,United States,21787,-22.3554,129.5996,-10:00,Hawaii,edith.hoffman@example.com,1949-12-11T00:58:45.030Z,72,2011-06-08T14:52:46.258Z,10,(707)-856-5791,(452)-690-4665,SSN,344-71-0511,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
