gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Bernice,Lewis,6286,E North St,Burbank,North Carolina,United States,71526,11.1309,-29.5543,+5:45,Kathmandu,bernice.lewis@example.com,1955-08-18T04:21:35.169Z,66,2014-02-04T20:56:43.955Z,7,(013)-025-8697,(918)-851-2045,SSN,022-35-3845,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
male,Mr,Julian,Cox,9124,Lovers Ln,Tempe,Florida,United States,39410,-48.1960,134.2116,-8:00,Pacific Time (US & Canada),julian.cox@example.com,1980-01-17T03:39:43.034Z,41,2004-01-28T14:12:32.880Z,17,(930)-518-5289,(805)-459-3659,SSN,020-50-0920,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
female,Ms,Leslie,Wood,5885,Pockrus Page Rd,Naperville,Delaware,United States,53439,11.2047,-145.7538,+4:30,Kabul,leslie.wood@example.com,1986-05-15T05:56:15.252Z,35,2002-08-25T11:19:48.900Z,19,(024)-962-5227,(119)-340-9365,SSN,395-82-2335,https://randomuser.me/api/portraits/women/95.jpg,https://randomuser.me/api/portraits/med/women/95.jpg,https://randomuser.me/api/portraits/thumb/women/95.jpg,US
male,Mr,Ray,Spencer,9066,Hogan St,Kansas City,Kentucky,United States,29921,-6.7601,-109.0275,-9:00,Alaska,ray.spencer@example.com,1953-05-24T05:04:27.105Z,68,2018-05-12T05:17:30.533Z,3,(911)-863-1552,(599)-422-3841,SSN,821-48-4060,https://randomuser.me/api/portraits/men/41.jpg,https://randomuser.me/api/portraits/med/men/41.jpg,https://randomuser.me/api/portraits/thumb/men/41.jpg,US
male,Mr,Roland,Ramos,82,Daisy Dr,Tucson,Colorado,United States,60957,-6.1570,145.8561,+3:30,Tehran,roland.ramos@example.com,1989-04-25T22:21:11.837Z,32,2003-01-06T02:18:15.335Z,18,(798)-643-7985,(886)-935-2746,SSN,650-78-9035,https://randomuser.me/api/portraits/men/54.jpg,https://randomuser.me/api/portraits/med/men/54.jpg,https://randomuser.me/api/portraits/thumb/men/54.jpg,US
female,Ms,Anita,Romero,5393,Locust Rd,York,Idaho,United States,29863,-88.7425,-26.8879,+5:45,Kathmandu,anita.romero@example.com,1977-04-17T21:54:09.850Z,44,2014-10-08T11:18:24.053Z,7,(068)-991-0655,(660)-770-5929,SSN,977-17-0964,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg,US
male,Mr,Chris,Turner,9526,Paddock Way,Scurry,Illinois,United States,88340,68.8435,126.6157,-10:00,Hawaii,chris.turner@example.com,1975-08-26T12:13:54.404Z,46,2012-01-26T14:39:40.597Z,9,(499)-679-4549,(745)-419-0634,SSN,951-93-1258,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
male,Mr,Joe,Matthews,8561,Westheimer Rd,Laredo,Texas,United States,53554,23.0967,-0.6550,+3:30,Tehran,joe.matthews@example.com,1992-10-27T22:33:03.352Z,29,2019-06-01T22:55:13.480Z,2,(545)-805-2253,(994)-144-5884,SSN,481-94-1274,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
male,Mr,Frederick,Baker,4997,Daisy Dr,Newport News,New York,United States,12030,-53.3702,-85.6173,-8:00,Pacific Time (US & Canada),frederick.baker@example.com,1947-07-20T22:09:04.931Z,74,2010-11-15T01:32:13.187Z,11,(617)-907-4737,(206)-439-7076,SSN,400-71-8801,https://randomuser.me/api/portraits/men/61.jpg,https://randomuser.me/api/portraits/med/men/61.jpg,https://randomuser.me/api/portraits/thumb/men/61.jpg,US
female,Miss,Suzanne,Watson,2943,Locust Rd,Shiloh,Rhode Island,United States,15241,87.8500,148.3710,+5:45,Kathmandu,suzanne.watson@example.com,1996-09-08T06:13:37.260Z,25,2018-11-30T09:02:46.701Z,3,(040)-385-5738,(014)-666-5774,SSN,386-69-8134,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
