gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Harry,Daniels,9023,Thornridge Cir,Cape Coral,Washington,United States,96247,-47.0021,-3.1506,+5:45,Kathmandu,harry.daniels@example.com,1987-08-01T23:43:57.157Z,34,2013-07-14T01:56:24.465Z,8,(323)-634-5848,(763)-760-4622,SSN,962-36-4931,https://randomuser.me/api/portraits/men/53.jpg,https://randomuser.me/api/portraits/med/men/53.jpg,https://randomuser.me/api/portraits/thumb/men/53.jpg,US
male,Mr,Marcus,Fox,5312,Lakeview St,Plano,Colorado,United States,58057,80.6462,-9.1781,+5:45,Kathmandu,marcus.fox@example.com,1987-06-07T10:36:03.825Z,34,2006-01-05T10:45:17.807Z,15,(741)-156-9994,(540)-130-1356,SSN,068-92-3068,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
female,Miss,Rebecca,Arnold,6227,Ranchview Dr,Waterbury,Missouri,United States,36090,-27.4336,-15.8561,+5:45,Kathmandu,rebecca.arnold@example.com,1958-02-26T14:28:19.583Z,63,2017-04-19T06:48:54.557Z,4,(796)-473-3971,(789)-388-5886,SSN,626-51-4746,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg,US
male,Mr,Ben,Herrera,3119,Green Rd,Norfolk,Oregon,United States,72213,-2.1778,-176.4071,-2:00,Mid-Atlantic,ben.herrera@example.com,1968-04-06T07:03:41.751Z,53,2007-09-08T15:00:43.452Z,14,(138)-264-3665,(224)-907-6303,SSN,919-33-5942,https://randomuser.me/api/portraits/men/11.jpg,https://randomuser.me/api/portraits/med/men/11.jpg,https://randomuser.me/api/portraits/thumb/men/11.jpg,US
male,Mr,Fernando,Alvarez,4236,Hamilton Ave,West Valley City,Wyoming,United States,61718,-8.6661,167.1999,-2:00,Mid-Atlantic,fernando.alvarez@example.com,1971-10-08T20:29:35.507Z,50,2004-01-01T19:45:01.568Z,17,(132)-786-0169,(406)-098-1857,SSN,323-32-3986,https://randomuser.me/api/portraits/men/12.jpg,https://randomuser.me/api/portraits/med/men/12.jpg,https://randomuser.me/api/portraits/thumb/men/12.jpg,US
female,Mrs,Tracy,Duncan,4389,Dogwood Ave,Edgewood,Utah,United States,79748,-27.0016,-9.5379,-9:00,Alaska,tracy.duncan@example.com,1959-10-16T20:50:25.352Z,62,2015-12-14T12:37:47.599Z,6,(705)-051-3768,(650)-639-2965,SSN,898-99-5346,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg,US
male,Mr,Virgil,Cook,3069,James St,Berkeley,Maryland,United States,89817,5.8020,-65.9924,+5:45,Kathmandu,virgil.cook@example.com,1967-10-20T18:18:53.993Z,54,2009-03-29T06:21:27.511Z,12,(990)-934-3058,(245)-595-5715,SSN,883-64-0017,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
male,Mr,Harvey,Vasquez,184,E Pecan St,Corpus Christi,Delaware,United States,22646,46.7674,-15.8525,+5:45,Kathmandu,harvey.vasquez@example.com,1981-12-11T15:15:06.835Z,40,2003-05-31T03:08:24.382Z,18,(972)-748-0132,(038)-145-7567,SSN,005-73-2548,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,US
female,Mrs,Melanie,Cunningham,6758,James St,Buffalo,Utah,United States,49804,-68.1548,31.4488,-10:00,Hawaii,melanie.cunningham@example.com,1950-07-17T09:29:14.322Z,71,2017-08-14T02:23:42.184Z,4,(137)-037-1606,(133)-527-2180,SSN,048-88-1085,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
male,Mr,Tom,Knight,805,Northaven Rd,Athens,Nevada,United States,76287,-38.2534,72.0922,-3:30,Newfoundland,tom.knight@example.com,1990-12-13T21:42:34.402Z,31,2018-06-30T17:22:53.247Z,3,(210)-347-7787,(196)-203-9605,SSN,347-58-0901,https://randomuser.me/api/portraits/men/4.jpg,https://randomuser.me/api/portraits/med/men/4.jpg,https://randomuser.me/api/portraits/thumb/men/4.jpg,US
female,Mrs,Sara,Webb,9296,Lone Wolf Trail,Detroit,Kansas,United States,59034,-68.1269,42.8984,-8:00,Pacific Time (US & Canada),sara.webb@example.com,1972-07-05T09:17:51.574Z,49,2002-08-25T18:29:31.568Z,19,(043)-804-6671,(444)-122-8703,SSN,993-72-8354,https://randomuser.me/api/portraits/women/29.jpg,https://randomuser.me/api/portraits/med/women/29.jpg,https://randomuser.me/api/portraits/thumb/women/29.jpg,US
