gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Tom,Diaz,6273,Pecan Acres Ln,Topeka,Hawaii,United States,56418,32.2139,118.3162,+4:30,Kabul,tom.diaz@example.com,1951-04-10T12:04:16.564Z,70,2008-05-17T23:39:25.271Z,13,(945)-874-8681,(217)-170-0991,SSN,732-29-4371,https://randomuser.me/api/portraits/men/89.jpg,https://randomuser.me/api/portraits/med/men/89.jpg,https://randomuser.me/api/portraits/thumb/men/89.jpg,US
female,Mrs,Megan,Wright,5117,Daisy Dr,Jersey City,California,United States,17839,33.9032,44.5604,-7:00,Mountain Time (US & Canada),megan.wright@example.com,1997-03-01T13:24:33.361Z,24,2005-06-15T07:31:54.955Z,16,(446)-518-4097,(798)-876-8641,SSN,296-00-4300,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg,US
male,Mr,Floyd,Medina,7119,Robinson Rd,Oxnard,Vermont,United States,26923,-27.3291,77.3491,-9:00,Alaska,floyd.medina@example.com,1988-01-27T19:45:04.095Z,33,2003-11-23T15:54:45.507Z,18,(650)-220-8134,(334)-956-4656,SSN,373-82-0229,https://randomuser.me/api/portraits/men/65.jpg,https://randomuser.me/api/portraits/med/men/65.jpg,https://randomuser.me/api/portraits/thumb/men/65.jpg,US
female,Miss,Annette,Burton,4059,Edwards Rd,Miramar,New York,United States,53586,71.6101,168.4897,-9:00,Alaska,annette.burton@example.com,1969-06-03T21:30:46.375Z,52,2011-05-27T14:34:31.929Z,10,(636)-366-0147,(232)-964-3901,SSN,246-42-0906,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
female,Miss,Sara,Washington,6042,Ranchview Dr,Glendale,Kansas,United States,71652,16.7582,41.7806,+5:45,Kathmandu,sara.washington@example.com,1950-10-11T12:22:13.140Z,71,2015-02-11T20:34:26.511Z,6,(163)-421-0074,(384)-034-0951,SSN,170-58-9893,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
female,Ms,Jessie,Morgan,9738,Stevens Creek Blvd,Springfield,Nevada,United States,58718,-72.5699,-98.9638,-9:00,Alaska,jessie.morgan@example.com,1979-09-22T22:32:24.693Z,42,2003-05-20T21:38:55.662Z,18,(258)-631-2758,(345)-639-9258,SSN,437-06-5867,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
female,Mrs,Pearl,Butler,9100,Mockingbird Ln,Brownsville,New Hampshire,United States,26113,-55.8717,-106.1846,+4:30,Kabul,pearl.butler@example.com,1964-04-25T13:36:41.029Z,57,2011-01-24T10:16:29.364Z,10,(905)-472-4145,(887)-765-1305,SSN,053-73-8914,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
male,Mr,Jim,Baker,197,Lone Wolf Trail,Columbus,Utah,United States,41694,-31.2158,-144.2419,-9:00,Alaska,jim.baker@example.com,1981-07-27T00:19:09.855Z,40,2005-12-26T10:50:58.414Z,16,(488)-957-2764,(088)-076-5751,SSN,822-66-4006,https://randomuser.me/api/portraits/men/95.jpg,https://randomuser.me/api/portraits/med/men/95.jpg,https://randomuser.me/api/portraits/thumb/men/95.jpg,US
male,Mr,Jerome,Powell,6093,W Sherman Dr,Fontana,Ohio,United States,74736,86.8960,-15.8722,+4:30,Kabul,jerome.powell@example.com,1963-12-07T01:32:09.374Z,58,2012-08-14T14:42:53.547Z,9,(113)-519-2847,(216)-974-7295,SSN,587-36-1593,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
male,Mr,Dylan,Jensen,7618,Avondale Ave,San Bernardino,Oklahoma,United States,70618,33.9803,4.7740,-2:00,Mid-Atlantic,dylan.jensen@example.com,1950-07-27T10:36:34.272Z,71,2019-03-15T16:08:29.662Z,2,(036)-895-7663,(344)-325-2537,SSN,262-39-2466,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
male,Mr,Jesus,Kuhn,5618,Bruce St,Chandler,Virginia,United States,92419,43.5451,37.5039,+3:30,Tehran,jesus.kuhn@example.com,1973-04-27T06:11:13.754Z,48,2003-10-11T14:19:24.402Z,18,(424)-937-9306,(392)-823-7003,SSN,733-78-9594,https://randomuser.me/api/portraits/men/44.jpg,https://randomuser.me/api/portraits/med/men/44.jpg,https://randomuser.me/api/portraits/thumb/men/44.jpg,US
