gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Zack,Little,4981,Preston Rd,Las Cruces,Rhode Island,United States,25785,-3.4441,-6.5776,-7:00,Mountain Time (US & Canada),zack.little@example.com,1980-11-22T18:18:51.812Z,41,2019-06-03T05:44:48.268Z,2,(663)-032-4183,(594)-906-6751,SSN,727-43-0068,https://randomuser.me/api/portraits/men/75.jpg,https://randomuser.me/api/portraits/med/men/75.jpg,https://randomuser.me/api/portraits/thumb/men/75.jpg,US
male,Mr,Philip,Sanders,290,Mcgowen St,Portland,Alabama,United States,68502,-28.6074,26.8812,-10:00,Hawaii,philip.sanders@example.com,1993-04-13T11:01:42.684Z,28,2015-10-15T08:50:48.360Z,6,(366)-866-3486,(143)-710-7663,SSN,241-34-3587,https://randomuser.me/api/portraits/men/56.jpg,https://randomuser.me/api/portraits/med/men/56.jpg,https://randomuser.me/api/portraits/thumb/men/56.jpg,US
male,Mr,Frederick,Freeman,9871,Thornridge Cir,North Las Vegas,Kentucky,United States,72526,-2.5784,99.5425,-9:00,Alaska,frederick.freeman@example.com,1946-06-05T12:48:00.568Z,75,2009-10-19T19:26:58.945Z,12,(285)-752-5394,(622)-193-4117,SSN,705-64-4382,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
male,Mr,Juan,Green,4937,Photinia Ave,Alexandria,California,United States,33745,75.6087,90.3979,-10:00,Hawaii,juan.green@example.com,1972-02-21T09:21:40.376Z,49,2009-08-18T01:24:38.321Z,12,(129)-358-4780,(936)-832-1367,SSN,106-13-7229,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
female,Mrs,Bella,Harris,9685,Valwood Pkwy,El Cajon,Pennsylvania,United States,29920,-83.8687,90.7544,-3:30,Newfoundland,bella.harris@example.com,1968-10-04T04:33:37.696Z,53,2013-07-09T01:30:51.686Z,8,(642)-203-1599,(886)-244-0309,SSN,605-70-5895,https://randomuser.me/api/portraits/women/0.jpg,https://randomuser.me/api/portraits/med/women/0.jpg,https://randomuser.me/api/portraits/thumb/women/0.jpg,US
male,Mr,Billy,Holmes,9252,Northaven Rd,Rockford,Mississippi,United States,32845,74.6675,-51.1159,-9:00,Alaska,billy.holmes@example.com,1981-05-19T06:40:20.559Z,40,2004-04-11T08:48:41.711Z,17,(129)-452-5414,(106)-345-4376,SSN,836-73-0548,https://randomuser.me/api/portraits/men/41.jpg,https://randomuser.me/api/portraits/med/men/41.jpg,https://randomuser.me/api/portraits/thumb/men/41.jpg,US
female,Mrs,Mae,Foster,3345,Prospect Rd,Centennial,Michigan,United States,90829,47.0102,-94.9006,-9:00,Alaska,mae.foster@example.com,1966-09-13T08:09:02.133Z,55,2007-09-14T15:00:36.307Z,14,(124)-701-8295,(226)-008-7711,SSN,554-16-1449,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg,US
female,Miss,Diane,Kennedy,1305,E North St,Utica,Kentucky,United States,13321,82.1149,75.4633,-2:00,Mid-Atlantic,diane.kennedy@example.com,1957-01-05T07:10:37.774Z,64,2002-05-27T22:15:25.929Z,19,(659)-042-5717,(612)-788-9917,SSN,225-36-3973,https://randomuser.me/api/portraits/women/32.jpg,https://randomuser.me/api/portraits/med/women/32.jpg,https://randomuser.me/api/portraits/thumb/women/32.jpg,US
female,Mrs,Sarah,Gutierrez,7300,Nowlin Rd,Lincoln,Alabama,United States,10959,66.3231,59.4950,+5:45,Kathmandu,sarah.gutierrez@example.com,1982-11-29T23:30:21.659Z,39,2013-07-24T19:34:28.612Z,8,(866)-246-3317,(941)-501-8142,SSN,115-66-4818,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
female,Miss,Noelle,Richards,9077,Shady Ln Dr,Roseburg,Nebraska,United States,97461,-8.6907,-102.6046,+4:30,Kabul,noelle.richards@example.com,1984-07-15T09:08:24.499Z,37,2016-08-01T17:32:36.812Z,5,(907)-757-1298,(972)-464-6991,SSN,034-03-9950,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
