gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Antonio,Allen,4358,Cherry St,Oklahoma City,Maine,United States,44390,31.2397,-95.1614,-3:30,Newfoundland,antonio.allen@example.com,1957-10-12T05:55:35.236Z,64,2004-03-14T02:12:52.765Z,17,(183)-353-1765,(079)-518-3026,SSN,662-31-1269,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
female,Mrs,Elsie,Gonzalez,716,Elgin St,Roseville,Oklahoma,United States,76908,42.8041,80.7891,-8:00,Pacific Time (US & Canada),elsie.gonzalez@example.com,1980-04-12T18:13:46.307Z,41,2015-03-03T06:23:38.027Z,6,(829)-275-9402,(939)-687-8882,SSN,360-77-9917,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
male,Mr,Donald,Robinson,1482,Locust Rd,Los Angeles,Oregon,United States,82439,34.4917,153.4518,+3:30,Tehran,donald.robinson@example.com,1972-07-30T00:55:40.207Z,49,2017-10-12T18:58:12.653Z,4,(751)-068-5764,(207)-830-1212,SSN,552-37-9010,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
female,Ms,Evelyn,Elliott,593,Fincher Rd,Irving,New Jersey,United States,63307,50.8952,-65.2981,-7:00,Mountain Time (US & Canada),evelyn.elliott@example.com,1984-09-03T22:46:41.554Z,37,2015-02-18T16:48:45.531Z,6,(095)-651-0027,(510)-698-6095,SSN,491-38-9225,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
male,Mr,Willie,Porter,5265,Plum St,Moreno Valley,Georgia,United States,85227,69.7852,-76.4724,-7:00,Mountain Time (US & Canada),willie.porter@example.com,1959-10-05T14:52:11.999Z,62,2011-01-21T18:32:54.561Z,10,(808)-886-1863,(367)-673-0568,SSN,424-77-4762,https://randomuser.me/api/portraits/men/28.jpg,https://randomuser.me/api/portraits/med/men/28.jpg,https://randomuser.me/api/portraits/thumb/men/28.jpg,US
male,Mr,Melvin,Spencer,1503,Stevens Creek Blvd,Oxnard,Hawaii,United States,73598,36.2587,-27.7980,-3:30,Newfoundland,melvin.spencer@example.com,1993-11-29T12:56:36.630Z,28,2015-08-25T04:54:14.827Z,6,(982)-366-2283,(295)-052-2440,SSN,716-94-6473,https://randomuser.me/api/portraits/men/37.jpg,https://randomuser.me/api/portraits/med/men/37.jpg,https://randomuser.me/api/portraits/thumb/men/37.jpg,US
male,Mr,Elijah,Carroll,5577,Hogan St,Fullerton,Nebraska,United States,27806,-80.4988,-114.3784,-2:00,Mid-Atlantic,elijah.carroll@example.com,1986-01-27T14:23:17.193Z,35,2003-07-15T02:01:39.072Z,18,(157)-053-4247,(552)-693-8055,SSN,604-48-8285,https://randomuser.me/api/portraits/men/63.jpg,https://randomuser.me/api/portraits/med/men/63.jpg,https://randomuser.me/api/portraits/thumb/men/63.jpg,US
female,Mrs,Heather,Schmidt,3742,W Dallas St,Chula Vista,Delaware,United States,79643,-58.6196,-89.9520,-10:00,Hawaii,heather.schmidt@example.com,1983-02-12T03:49:55.045Z,38,2008-03-12T15:11:29.784Z,13,(284)-674-1446,(979)-708-5780,SSN,280-63-5553,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
male,Mr,Adam,Anderson,8169,Preston Rd,North Valley,Oregon,United States,79477,-24.6092,71.7788,+3:30,Tehran,adam.anderson@example.com,1947-11-12T01:14:09.341Z,74,2019-01-26T14:47:45.036Z,2,(932)-524-1928,(176)-190-2788,SSN,545-37-3693,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
male,Mr,Duane,Sanchez,8240,Hunters Creek Dr,Helena,North Carolina,United States,82857,82.0223,-142.2953,+5:45,Kathmandu,duane.sanchez@example.com,1963-08-09T21:27:20.082Z,58,2004-12-09T15:28:21.151Z,17,(811)-595-0843,(084)-457-8218,SSN,965-71-3440,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
female,Mrs,Avery,Alvarez,7672,Frances Ct,Knoxville,Ohio,United States,16005,-67.7132,46.2936,-2:00,Mid-Atlantic,avery.alvarez@example.com,1969-07-09T14:00:24.589Z,52,2015-05-24T15:29:04.467Z,6,(547)-698-7394,(929)-471-9880,SSN,005-07-9686,https://randomuser.me/api/portraits/women/21.jpg,https://randomuser.me/api/portraits/med/women/21.jpg,https://randomuser.me/api/portraits/thumb/women/21.jpg,US
male,Mr,Gilbert,Hunt,5320,Photinia Ave,Stamford,Georgia,United States,94946,-19.8353,-164.1096,+4:30,Kabul,gilbert.hunt@example.com,1977-09-17T07:39:44.406Z,44,2007-07-07T09:00:54.582Z,14,(017)-148-7122,(914)-452-7735,SSN,073-15-8044,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
