gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Heidi,Dunn,2624,Taylor St,Joliet,Alabama,United States,26577,20.3455,151.8818,+4:30,Kabul,heidi.dunn@example.com,1948-06-06T12:45:40.320Z,73,2011-08-31T14:00:16.820Z,10,(747)-796-7637,(887)-040-1245,SSN,266-63-5714,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
female,Miss,Glenda,Silva,2721,E Pecan St,Midland,South Dakota,United States,68978,27.8813,-43.0971,-8:00,Pacific Time (US & Canada),glenda.silva@example.com,1975-08-29T02:49:51.220Z,46,2016-03-05T00:53:40.287Z,5,(060)-739-0834,(222)-419-9310,SSN,057-76-6043,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
male,Mr,Owen,Holmes,7579,First Street,Lancaster,Hawaii,United States,49921,-20.4750,101.2519,+3:30,Tehran,owen.holmes@example.com,1976-05-08T08:22:13.702Z,45,2007-08-30T13:10:40.936Z,14,(146)-786-4343,(396)-795-5223,SSN,662-29-6078,https://randomuser.me/api/portraits/men/5.jpg,https://randomuser.me/api/portraits/med/men/5.jpg,https://randomuser.me/api/portraits/thumb/men/5.jpg,US
female,Mrs,Hilda,Bennett,5160,Green Rd,Joliet,South Carolina,United States,22206,46.9948,-130.1050,-8:00,Pacific Time (US & Canada),hilda.bennett@example.com,1949-03-06T05:30:31.738Z,72,2014-07-06T15:55:22.240Z,7,(517)-110-5183,(562)-533-3143,SSN,116-16-9333,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
female,Mrs,Krin,Jenkins,3805,Royal Ln,Frederick,Indiana,United States,12320,-78.4886,-0.4240,-10:00,Hawaii,krin.jenkins@example.com,1995-01-15T20:11:17.239Z,26,2008-07-20T23:03:33.906Z,13,(510)-682-4636,(117)-602-7583,SSN,752-95-2818,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
female,Ms,Sherry,King,7833,Hamilton Ave,Torrance,California,United States,92687,52.9825,-98.7388,+5:45,Kathmandu,sherry.king@example.com,1969-10-28T15:49:31.367Z,52,2008-08-31T02:10:54.234Z,13,(967)-871-7392,(338)-476-8352,SSN,733-84-8023,https://randomuser.me/api/portraits/women/47.jpg,https://randomuser.me/api/portraits/med/women/47.jpg,https://randomuser.me/api/portraits/thumb/women/47.jpg,US
male,Mr,Billy,Weaver,5544,E Pecan St,Duncanville,Illinois,United States,62793,-4.2322,19.4209,+5:45,Kathmandu,billy.weaver@example.com,1991-09-24T06:20:39.861Z,30,2016-12-18T02:28:43.003Z,5,(474)-836-0618,(172)-117-1859,SSN,805-90-8040,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
female,Mrs,Terri,Gregory,8268,Hillcrest Rd,Oxnard,Georgia,United States,45497,73.8722,-44.8085,+5:45,Kathmandu,terri.gregory@example.com,1970-05-20T14:00:49.055Z,51,2019-03-24T00:55:33.363Z,2,(393)-144-8622,(017)-541-3834,SSN,764-32-2604,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
male,Mr,Stephen,Kennedy,9449,Washington Ave,Waterbury,Pennsylvania,United States,71224,-0.6915,-121.1964,-8:00,Pacific Time (US & Canada),stephen.kennedy@example.com,1951-04-22T20:38:36.051Z,70,2013-02-27T10:01:04.368Z,8,(305)-416-9547,(725)-459-3949,SSN,249-05-7707,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
male,Mr,Tyrone,Gutierrez,6134,Forest Ln,Fairfield,Utah,United States,11213,62.6632,-59.2592,-3:30,Newfoundland,tyrone.gutierrez@example.com,1951-06-06T14:45:50.186Z,70,2012-11-17T06:44:02.628Z,9,(172)-901-5249,(995)-713-5440,SSN,463-02-2329,https://randomuser.me/api/portraits/men/1.jpg,https://randomuser.me/api/portraits/med/men/1.jpg,https://randomuser.me/api/portraits/thumb/men/1.jpg,US
