gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Emma,Jensen,3427,Walnut Hill Ln,Tyler,Rhode Island,United States,75830,39.0299,144.5944,-8:00,Pacific Time (US & Canada),emma.jensen@example.com,1966-11-10T16:36:14.387Z,55,2003-12-17T08:07:05.105Z,18,(717)-678-7347,(305)-680-6235,SSN,215-57-9148,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
female,Mrs,Emily,Welch,5275,E Little York Rd,Dayton,Indiana,United States,25423,72.2270,-27.7967,+5:45,Kathmandu,emily.welch@example.com,1944-09-24T21:43:36.993Z,77,2010-03-13T15:45:16.978Z,11,(749)-256-2902,(265)-071-8222,SSN,164-76-8483,https://randomuser.me/api/portraits/women/83.jpg,https://randomuser.me/api/portraits/med/women/83.jpg,https://randomuser.me/api/portraits/thumb/women/83.jpg,US
female,Mrs,Pamela,Weaver,1781,Walnut Hill Ln,Independence,Utah,United States,44002,31.6093,-162.5929,-7:00,Mountain Time (US & Canada),pamela.weaver@example.com,1946-08-14T14:19:27.526Z,75,2005-07-09T02:55:50.652Z,16,(849)-660-2007,(461)-079-8584,SSN,017-38-7723,https://randomuser.me/api/portraits/women/66.jpg,https://randomuser.me/api/portraits/med/women/66.jpg,https://randomuser.me/api/portraits/thumb/women/66.jpg,US
male,Mr,Sebastian,Edwards,9042,E Sandy Lake Rd,Coppell,Vermont,United States,46352,16.0705,14.5373,+3:30,Tehran,sebastian.edwards@example.com,1968-09-14T03:19:18.503Z,53,2019-09-05T01:25:39.447Z,2,(229)-504-5459,(804)-856-5931,SSN,955-58-9320,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
male,Mr,Ray,Mckinney,2790,Mockingbird Ln,Roseville,Alaska,United States,95735,-88.5110,6.4509,-8:00,Pacific Time (US & Canada),ray.mckinney@example.com,1959-10-26T20:01:02.775Z,62,2017-08-30T07:53:31.044Z,4,(932)-995-1088,(808)-954-2942,SSN,002-04-2112,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
male,Mr,Clayton,Garza,2641,Homestead Rd,Tulsa,Nebraska,United States,92387,-48.8470,103.9861,+5:45,Kathmandu,clayton.garza@example.com,1954-12-10T12:13:20.745Z,67,2013-05-17T05:50:38.041Z,8,(220)-047-1140,(324)-482-7595,SSN,582-19-2180,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
female,Mrs,Cathy,Obrien,544,College St,Lewisville,Washington,United States,91083,38.8045,-96.2846,+5:45,Kathmandu,cathy.obrien@example.com,1968-05-29T03:05:41.945Z,53,2019-06-27T16:19:22.264Z,2,(125)-280-3017,(734)-719-7537,SSN,807-71-3636,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
female,Mrs,Alexa,Jensen,513,W 6th St,Charleston,Virginia,United States,81594,-66.2107,30.3252,-7:00,Mountain Time (US & Canada),alexa.jensen@example.com,1979-12-10T16:17:18.378Z,42,2013-11-08T10:20:54.048Z,8,(704)-295-9865,(385)-187-5488,SSN,213-43-8025,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
female,Mrs,Sandra,Howell,867,Fincher Rd,South Valley,Utah,United States,70449,-8.1941,24.9190,+3:30,Tehran,sandra.howell@example.com,1965-03-09T19:05:05.120Z,56,2018-12-15T02:23:21.300Z,3,(487)-795-4440,(559)-143-9612,SSN,422-49-9132,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
male,Mr,Wayne,Mitchell,4388,Plum St,Scurry,Virginia,United States,35542,-51.1490,-160.0838,-3:30,Newfoundland,wayne.mitchell@example.com,1956-03-30T00:51:13.751Z,65,2015-06-22T00:33:51.864Z,6,(267)-087-5679,(320)-533-0775,SSN,446-84-5919,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg,US
female,Ms,Amelia,Jensen,6767,Mcgowen St,Lexington,Alaska,United States,91261,-83.3091,-45.6775,-3:30,Newfoundland,amelia.jensen@example.com,1997-08-10T05:24:15.738Z,24,2015-11-25T07:29:17.468Z,6,(955)-611-9349,(814)-569-8813,SSN,279-01-1131,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
