gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Floyd,Day,3892,Walnut Hill Ln,Yakima,Wisconsin,United States,79318,-9.2594,-104.2345,+4:30,Kabul,floyd.day@example.com,1989-01-20T12:22:49.046Z,32,2005-01-28T10:29:11.966Z,16,(433)-281-9757,(509)-760-5030,SSN,325-15-2990,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
male,Mr,Brandon,Woods,4611,Plum St,Bueblo,West Virginia,United States,70767,14.8864,-135.2215,-8:00,Pacific Time (US & Canada),brandon.woods@example.com,1997-12-31T05:03:11.079Z,24,2006-03-19T20:38:23.474Z,15,(649)-057-1658,(229)-212-0762,SSN,593-85-2476,https://randomuser.me/api/portraits/men/28.jpg,https://randomuser.me/api/portraits/med/men/28.jpg,https://randomuser.me/api/portraits/thumb/men/28.jpg,US
male,Mr,Wade,Rogers,9720,Taylor St,Anchorage,Illinois,United States,89199,-58.6411,-142.5365,-9:00,Alaska,wade.rogers@example.com,1954-10-14T20:33:47.199Z,67,2005-04-05T23:25:16.813Z,16,(934)-905-2079,(959)-917-4005,SSN,721-21-6499,https://randomuser.me/api/portraits/men/3.jpg,https://randomuser.me/api/portraits/med/men/3.jpg,https://randomuser.me/api/portraits/thumb/men/3.jpg,US
male,Mr,Andrew,Owens,9320,Karen Dr,West Palm Beach,South Carolina,United States,89319,44.5719,-31.8993,-3:30,Newfoundland,andrew.owens@example.com,1968-01-23T07:57:22.741Z,53,2015-01-22T07:53:25.667Z,6,(475)-296-1190,(519)-219-1330,SSN,222-20-7938,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
male,Mr,Joel,Jensen,9200,Mcclellan Rd,Hampton,Kentucky,United States,86985,-15.3548,16.9465,-8:00,Pacific Time (US & Canada),joel.jensen@example.com,1970-02-17T00:24:25.016Z,51,2011-11-08T10:16:04.042Z,10,(241)-978-8373,(248)-570-5078,SSN,037-81-0333,https://randomuser.me/api/portraits/men/88.jpg,https://randomuser.me/api/portraits/med/men/88.jpg,https://randomuser.me/api/portraits/thumb/men/88.jpg,US
female,Mrs,April,Ray,6068,Wheeler Ridge Dr,Baltimore,Washington,United States,47319,82.2609,5.1396,+5:45,Kathmandu,april.ray@example.com,1994-10-02T22:36:32.465Z,27,2005-10-24T01:37:29.506Z,16,(056)-902-7956,(725)-944-6512,SSN,763-26-7689,https://randomuser.me/api/portraits/women/83.jpg,https://randomuser.me/api/portraits/med/women/83.jpg,https://randomuser.me/api/portraits/thumb/women/83.jpg,US
female,Mrs,Marsha,Grant,600,Paddock Way,Carlsbad,North Dakota,United States,39516,44.6185,-1.9874,+3:30,Tehran,marsha.grant@example.com,1991-02-18T09:24:44.294Z,30,2014-03-05T16:36:56.835Z,7,(418)-396-3006,(995)-128-3861,SSN,194-56-2490,https://randomuser.me/api/portraits/women/21.jpg,https://randomuser.me/api/portraits/med/women/21.jpg,https://randomuser.me/api/portraits/thumb/women/21.jpg,US
male,Mr,Aaron,Mendoza,2619,W Campbell Ave,Bueblo,Nevada,United States,82037,63.9655,12.6706,-7:00,Mountain Time (US & Canada),aaron.mendoza@example.com,1950-08-16T06:08:08.683Z,71,2014-06-21T05:48:08.358Z,7,(524)-093-3864,(536)-312-8525,SSN,966-34-8212,https://randomuser.me/api/portraits/men/23.jpg,https://randomuser.me/api/portraits/med/men/23.jpg,https://randomuser.me/api/portraits/thumb/men/23.jpg,US
male,Mr,Matthew,Jenkins,4514,Spring Hill Rd,Killeen,Oregon,United States,22077,-15.0828,139.8514,-2:00,Mid-Atlantic,matthew.jenkins@example.com,1994-07-31T16:50:33.506Z,27,2019-02-11T23:47:03.866Z,2,(012)-782-5577,(426)-303-4173,SSN,679-00-8496,https://randomuser.me/api/portraits/men/93.jpg,https://randomuser.me/api/portraits/med/men/93.jpg,https://randomuser.me/api/portraits/thumb/men/93.jpg,US
male,Mr,Christian,Burton,782,First Street,Moreno Valley,Mississippi,United States,35457,67.8260,36.1790,-3:30,Newfoundland,christian.burton@example.com,1976-10-12T23:47:49.620Z,45,2013-10-21T21:51:34.520Z,8,(402)-285-7883,(474)-713-7373,SSN,323-00-2910,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,US
