gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Candice,Nichols,6984,Prospect Rd,Hampton,Connecticut,United States,50405,87.1836,-101.5182,-7:00,Mountain Time (US & Canada),candice.nichols@example.com,1964-09-26T21:22:11.431Z,57,2007-04-11T17:12:24.699Z,14,(545)-464-9425,(986)-261-0199,SSN,727-17-8858,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
male,Mr,Rafael,Bradley,7778,Stevens Creek Blvd,Vallejo,Montana,United States,73767,57.2341,-145.6759,+4:30,Kabul,rafael.bradley@example.com,1977-08-20T07:25:08.564Z,44,2005-07-28T09:46:48.510Z,16,(516)-400-4260,(787)-460-3547,SSN,786-49-8412,https://randomuser.me/api/portraits/men/0.jpg,https://randomuser.me/api/portraits/med/men/0.jpg,https://randomuser.me/api/portraits/thumb/men/0.jpg,US
male,Mr,Oscar,Richardson,9923,Mcclellan Rd,Tacoma,Vermont,United States,14555,-19.2254,68.6994,-2:00,Mid-Atlantic,oscar.richardson@example.com,1965-09-12T16:12:07.842Z,56,2007-11-08T10:42:11.740Z,14,(730)-285-1302,(034)-133-7900,SSN,889-28-6316,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
female,Ms,Carmen,Hayes,3726,Wycliff Ave,Sunnyvale,New Jersey,United States,83809,34.5409,45.0465,+5:45,Kathmandu,carmen.hayes@example.com,1973-10-12T06:05:15.894Z,48,2007-05-14T17:54:33.604Z,14,(880)-270-1803,(939)-870-9775,SSN,568-85-3879,https://randomuser.me/api/portraits/women/16.jpg,https://randomuser.me/api/portraits/med/women/16.jpg,https://randomuser.me/api/portraits/thumb/women/16.jpg,US
male,Mr,Jesse,Fisher,6551,Stevens Creek Blvd,Billings,California,United States,87652,-46.5334,-110.2895,+4:30,Kabul,jesse.fisher@example.com,1967-03-21T19:19:25.240Z,54,2016-07-20T16:19:07.436Z,5,(118)-246-2030,(944)-529-6428,SSN,757-58-3017,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
female,Miss,Penny,Little,8426,Dane St,Aubrey,Florida,United States,50093,-70.1437,101.6316,-7:00,Mountain Time (US & Canada),penny.little@example.com,1975-03-08T21:12:23.808Z,46,2006-05-05T02:28:24.997Z,15,(186)-081-0740,(991)-627-9102,SSN,174-48-8966,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
male,Mr,Joel,Pena,4586,Ranchview Dr,Waco,Iowa,United States,56147,-41.7204,-175.8804,+4:30,Kabul,joel.pena@example.com,1959-10-25T04:39:38.552Z,62,2002-12-07T03:21:08.113Z,19,(195)-386-6338,(024)-545-3105,SSN,141-10-8726,https://randomuser.me/api/portraits/men/86.jpg,https://randomuser.me/api/portraits/med/men/86.jpg,https://randomuser.me/api/portraits/thumb/men/86.jpg,US
male,Mr,Harry,Baker,185,Fairview St,New Orleans,Nebraska,United States,81587,48.7759,-146.9160,-3:30,Newfoundland,harry.baker@example.com,1945-11-25T21:09:31.662Z,76,2015-06-17T04:29:52.725Z,6,(945)-423-8900,(860)-384-7147,SSN,760-80-3013,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
male,Mr,Calvin,Torres,4244,Fairview St,Overland Park,Washington,United States,26295,-55.3610,-95.2216,-10:00,Hawaii,calvin.torres@example.com,1975-03-25T07:41:13.655Z,46,2007-12-18T18:46:03.418Z,14,(137)-637-2026,(916)-615-4960,SSN,459-45-5865,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
male,Mr,Carlos,Stewart,794,Thornridge Cir,Hayward,New Hampshire,United States,99011,-26.5677,-66.2549,+5:45,Kathmandu,carlos.stewart@example.com,1993-02-25T14:01:29.073Z,28,2013-11-18T09:44:50.795Z,8,(390)-471-8106,(415)-994-4098,SSN,796-95-5859,https://randomuser.me/api/portraits/men/84.jpg,https://randomuser.me/api/portraits/med/men/84.jpg,https://randomuser.me/api/portraits/thumb/men/84.jpg,US
