gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Stanley,Rivera,1051,W 6th St,Little Rock,Alabama,United States,71541,-39.2479,-86.8023,-2:00,Mid-Atlantic,stanley.rivera@example.com,1953-11-03T08:21:59.699Z,68,2013-06-20T14:05:55.369Z,8,(345)-944-2369,(647)-471-4994,SSN,450-64-5520,https://randomuser.me/api/portraits/men/4.jpg,https://randomuser.me/api/portraits/med/men/4.jpg,https://randomuser.me/api/portraits/thumb/men/4.jpg,US
male,Mr,Brad,Gardner,5475,Avondale Ave,Peoria,Minnesota,United States,17765,-40.6776,8.8222,+4:30,Kabul,brad.gardner@example.com,1967-03-08T04:34:56.419Z,54,2012-10-21T23:11:46.112Z,9,(864)-955-6675,(771)-528-4623,SSN,588-19-7216,https://randomuser.me/api/portraits/men/84.jpg,https://randomuser.me/api/portraits/med/men/84.jpg,https://randomuser.me/api/portraits/thumb/men/84.jpg,US
female,Ms,Gail,Weaver,8947,First Street,Flowermound,Ohio,United States,57346,61.3560,123.0187,-7:00,Mountain Time (US & Canada),gail.weaver@example.com,1996-03-31T00:37:32.715Z,25,2009-04-24T05:15:43.950Z,12,(098)-538-9015,(283)-655-7876,SSN,435-74-1398,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
female,Mrs,Minnie,Nichols,1710,Hogan St,Wichita,Oklahoma,United States,24604,-80.7815,178.6399,-10:00,Hawaii,minnie.nichols@example.com,1966-03-10T10:19:18.402Z,55,2016-08-14T10:06:31.743Z,5,(890)-164-3162,(792)-756-5660,SSN,268-93-5294,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
male,Mr,Lewis,Dean,2061,White Oak Dr,Red Oak,Arizona,United States,27491,-39.0636,22.4160,+5:45,Kathmandu,lewis.dean@example.com,1987-09-08T09:42:52.285Z,34,2005-03-11T12:21:18.892Z,16,(822)-600-8320,(824)-618-5082,SSN,951-58-8231,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
female,Miss,Veronica,Fox,5212,Royal Ln,Forney,Wisconsin,United States,21876,-11.6159,-64.8855,+3:30,Tehran,veronica.fox@example.com,1951-02-26T06:26:21.929Z,70,2002-12-07T17:46:29.303Z,19,(469)-250-1273,(979)-792-3606,SSN,903-83-6880,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
male,Mr,Armando,Perry,9005,Robinson Rd,Vallejo,Oregon,United States,93337,-23.3558,137.2956,-10:00,Hawaii,armando.perry@example.com,1974-12-16T05:28:04.984Z,47,2006-11-30T04:46:18.612Z,15,(861)-529-3207,(172)-421-6477,SSN,763-90-6125,https://randomuser.me/api/portraits/men/33.jpg,https://randomuser.me/api/portraits/med/men/33.jpg,https://randomuser.me/api/portraits/thumb/men/33.jpg,US
male,Mr,Raymond,Fuller,1388,Frances Ct,Beaumont,Indiana,United States,72992,-89.2319,74.1266,+3:30,Tehran,raymond.fuller@example.com,1987-12-08T12:58:50.728Z,34,2018-07-13T22:35:56.030Z,3,(096)-835-9729,(364)-156-1733,SSN,794-38-6184,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
female,Miss,Layla,Fleming,6174,W Sherman Dr,San Antonio,Massachusetts,United States,17351,-61.5284,91.2320,-10:00,Hawaii,layla.fleming@example.com,1971-01-20T22:10:11.585Z,50,2018-12-05T10:02:21.430Z,3,(033)-492-6775,(864)-279-1108,SSN,865-34-3262,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
male,Mr,Roland,Wheeler,3981,Edwards Rd,Austin,North Carolina,United States,38054,57.2794,33.0278,+5:45,Kathmandu,roland.wheeler@example.com,1995-08-08T22:07:25.384Z,26,2015-07-01T07:31:19.106Z,6,(648)-902-7235,(201)-906-6094,SSN,002-39-3937,https://randomuser.me/api/portraits/men/46.jpg,https://randomuser.me/api/portraits/med/men/46.jpg,https://randomuser.me/api/portraits/thumb/men/46.jpg,US
female,Ms,Vickie,Harper,5391,Dane St,El Cajon,Ohio,United States,84432,20.2280,150.8878,+3:30,Tehran,vickie.harper@example.com,1946-10-28T09:34:11.734Z,75,2004-11-27T11:05:21.285Z,17,(467)-827-8343,(897)-834-5204,SSN,454-37-8028,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg,US
female,Mrs,Carla,Barnes,5682,Northaven Rd,Stamford,Maryland,United States,73946,27.6717,1.3329,+4:30,Kabul,carla.barnes@example.com,1961-02-23T12:24:03.474Z,60,2005-09-09T13:16:42.565Z,16,(173)-560-1511,(450)-242-4030,SSN,721-01-4312,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
female,Mrs,Miriam,Sullivan,6440,Lakeview St,Red Oak,Hawaii,United States,32644,23.9690,21.5064,-9:00,Alaska,miriam.sullivan@example.com,1969-10-01T18:31:25.521Z,52,2007-05-02T14:33:48.990Z,14,(232)-584-3110,(274)-178-9291,SSN,317-59-5278,https://randomuser.me/api/portraits/women/86.jpg,https://randomuser.me/api/portraits/med/women/86.jpg,https://randomuser.me/api/portraits/thumb/women/86.jpg,US
female,Mrs,Harper,Ford,4402,Forest Ln,Pearland,Mississippi,United States,35227,41.2045,11.3933,+4:30,Kabul,harper.ford@example.com,1989-10-15T06:25:15.487Z,32,2008-11-10T23:59:55.163Z,13,(927)-259-5380,(007)-369-2794,SSN,101-44-8117,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
