gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Carlos,Nelson,6101,Nowlin Rd,Overland Park,Arizona,United States,19652,-55.3205,-172.0834,-10:00,Hawaii,carlos.nelson@example.com,1960-01-31T17:52:45.519Z,61,2003-04-14T13:50:52.113Z,18,(873)-954-8432,(529)-085-1643,SSN,413-76-3015,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
male,Mr,Brad,Wade,158,Woodland St,Bernalillo,Connecticut,United States,83517,-18.7774,-102.1373,-9:00,Alaska,brad.wade@example.com,1957-12-26T12:07:19.416Z,64,2016-12-25T03:57:43.684Z,5,(290)-026-5189,(086)-943-8896,SSN,862-41-1550,https://randomuser.me/api/portraits/men/53.jpg,https://randomuser.me/api/portraits/med/men/53.jpg,https://randomuser.me/api/portraits/thumb/men/53.jpg,US
female,Mrs,Irma,Hopkins,5097,Hickory Creek Dr,Augusta,Wisconsin,United States,72285,73.6786,40.1257,-9:00,Alaska,irma.hopkins@example.com,1951-04-19T07:50:35.342Z,70,2009-09-23T19:47:17.418Z,12,(901)-327-8872,(852)-558-0508,SSN,771-24-9100,https://randomuser.me/api/portraits/women/45.jpg,https://randomuser.me/api/portraits/med/women/45.jpg,https://randomuser.me/api/portraits/thumb/women/45.jpg,US
female,Mrs,Katherine,Morales,2289,Elgin St,Oakland,Virginia,United States,80994,-80.6438,66.8963,+4:30,Kabul,katherine.morales@example.com,1947-11-07T12:30:16.515Z,74,2006-08-14T03:41:40.155Z,15,(975)-721-2530,(902)-365-1553,SSN,499-68-9512,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
female,Miss,Regina,Gregory,115,College St,Hialeah,Massachusetts,United States,15628,-67.8326,3.4956,+4:30,Kabul,regina.gregory@example.com,1979-05-30T00:05:50.734Z,42,2009-03-17T19:04:50.321Z,12,(973)-910-2669,(812)-162-2504,SSN,780-56-6853,https://randomuser.me/api/portraits/women/32.jpg,https://randomuser.me/api/portraits/med/women/32.jpg,https://randomuser.me/api/portraits/thumb/women/32.jpg,US
female,Miss,Glenda,Myers,5737,Lone Wolf Trail,Inglewood,Utah,United States,28611,-74.5781,151.1149,+4:30,Kabul,glenda.myers@example.com,1986-10-07T09:50:41.961Z,35,2011-01-10T15:13:03.324Z,10,(699)-573-6005,(103)-907-9751,SSN,452-70-8269,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
male,Mr,Kurt,Cooper,5846,Nowlin Rd,Tacoma,Arkansas,United States,60016,-2.2081,37.8878,-2:00,Mid-Atlantic,kurt.cooper@example.com,1982-11-22T23:34:42.962Z,39,2004-02-07T09:41:14.232Z,17,(712)-403-8510,(041)-440-8329,SSN,502-90-8470,https://randomuser.me/api/portraits/men/93.jpg,https://randomuser.me/api/portraits/med/men/93.jpg,https://randomuser.me/api/portraits/thumb/men/93.jpg,US
female,Ms,Lois,Butler,7423,Crockett St,Huntsville,Wisconsin,United States,77808,18.2342,45.3323,-2:00,Mid-Atlantic,lois.butler@example.com,1993-12-21T00:51:38.922Z,28,2008-12-26T02:56:49.623Z,13,(402)-951-4547,(168)-943-6839,SSN,790-60-2313,https://randomuser.me/api/portraits/women/94.jpg,https://randomuser.me/api/portraits/med/women/94.jpg,https://randomuser.me/api/portraits/thumb/women/94.jpg,US
male,Mr,Micheal,Hicks,4876,Smokey Ln,Evansville,Arkansas,United States,73663,13.2744,-16.0968,+5:45,Kathmandu,micheal.hicks@example.com,1971-10-21T02:02:25.044Z,50,2008-02-09T17:48:07.833Z,13,(085)-817-4426,(796)-123-4386,SSN,904-87-0741,https://randomuser.me/api/portraits/men/65.jpg,https://randomuser.me/api/portraits/med/men/65.jpg,https://randomuser.me/api/portraits/thumb/men/65.jpg,US
male,Mr,Larry,Bailey,5937,Sunset St,Vancouver,North Dakota,United States,15162,82.9883,-147.0033,+4:30,Kabul,larry.bailey@example.com,1974-09-14T08:58:47.572Z,47,2007-09-28T22:25:09.765Z,14,(857)-892-2704,(232)-600-9186,SSN,222-07-9596,https://randomuser.me/api/portraits/men/4.jpg,https://randomuser.me/api/portraits/med/men/4.jpg,https://randomuser.me/api/portraits/thumb/men/4.jpg,US
