gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Josephine,Lynch,7159,Spring St,Escondido,California,United States,81999,71.9718,177.9647,-7:00,Mountain Time (US & Canada),josephine.lynch@example.com,1986-06-20T09:45:22.511Z,35,2013-06-25T11:59:11.885Z,8,(278)-821-0330,(645)-801-8591,SSN,902-29-1215,https://randomuser.me/api/portraits/women/84.jpg,https://randomuser.me/api/portraits/med/women/84.jpg,https://randomuser.me/api/portraits/thumb/women/84.jpg,US
female,Mrs,Diana,Bradley,4363,Depaul Dr,Pueblo,Texas,United States,93861,86.9241,-168.9394,-2:00,Mid-Atlantic,diana.bradley@example.com,1959-12-28T19:08:24.547Z,62,2008-03-08T16:03:29.981Z,13,(271)-937-3720,(675)-689-9029,SSN,534-92-1443,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
female,Mrs,Addison,Weaver,4240,W Belt Line Rd,Philadelphia,Oklahoma,United States,93095,52.6925,61.4039,-9:00,Alaska,addison.weaver@example.com,1949-12-24T07:14:10.159Z,72,2008-04-13T23:44:53.145Z,13,(012)-196-3674,(580)-978-3197,SSN,956-10-2300,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
female,Ms,Valerie,Sullivan,1077,Thornridge Cir,Little Rock,Alaska,United States,11159,-8.0513,-10.5836,+5:45,Kathmandu,valerie.sullivan@example.com,1964-01-09T23:54:00.083Z,57,2002-05-27T08:41:52.321Z,19,(948)-061-5267,(708)-907-9250,SSN,438-56-3604,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
male,Mr,Rick,Brown,8429,Brown Terrace,Little Rock,Michigan,United States,44912,81.3019,-59.7278,-3:30,Newfoundland,rick.brown@example.com,1957-11-04T19:10:51.391Z,64,2015-11-12T16:17:12.430Z,6,(135)-568-3927,(582)-876-0327,SSN,577-47-7656,https://randomuser.me/api/portraits/men/1.jpg,https://randomuser.me/api/portraits/med/men/1.jpg,https://randomuser.me/api/portraits/thumb/men/1.jpg,US
female,Ms,Brianna,Hale,9445,Oak Lawn Ave,Redding,New Hampshire,United States,36850,-71.3357,-88.2594,-9:00,Alaska,brianna.hale@example.com,1954-03-19T22:41:22.005Z,67,2017-07-25T18:23:33.503Z,4,(225)-278-2557,(733)-764-8480,SSN,723-23-3980,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg,US
female,Ms,Gwendolyn,Harvey,8869,Washington Ave,Warren,South Dakota,United States,72404,-56.1317,-120.9205,+3:30,Tehran,gwendolyn.harvey@example.com,1978-04-04T12:24:39.629Z,43,2012-04-30T07:19:18.164Z,9,(352)-413-9824,(886)-552-1478,SSN,961-63-6397,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
female,Miss,Miriam,Lawson,3742,Valley View Ln,Killeen,Nevada,United States,22352,70.8527,-96.9102,+3:30,Tehran,miriam.lawson@example.com,1976-03-24T17:28:33.738Z,45,2016-04-01T02:34:04.357Z,5,(472)-997-6267,(776)-670-2693,SSN,176-55-4712,https://randomuser.me/api/portraits/women/21.jpg,https://randomuser.me/api/portraits/med/women/21.jpg,https://randomuser.me/api/portraits/thumb/women/21.jpg,US
male,Mr,Jeffery,Barrett,7339,Mcclellan Rd,Ontario,Pennsylvania,United States,19927,-55.0030,121.4459,-8:00,Pacific Time (US & Canada),jeffery.barrett@example.com,1970-01-02T08:44:26.867Z,51,2004-03-19T16:46:40.870Z,17,(229)-174-0073,(723)-380-4436,SSN,981-93-0368,https://randomuser.me/api/portraits/men/32.jpg,https://randomuser.me/api/portraits/med/men/32.jpg,https://randomuser.me/api/portraits/thumb/men/32.jpg,US
female,Miss,Lily,Bates,3765,Pockrus Page Rd,Lousville,Colorado,United States,38205,-6.0002,-80.9545,-8:00,Pacific Time (US & Canada),lily.bates@example.com,1977-09-07T15:25:21.088Z,44,2005-09-19T13:20:57.452Z,16,(024)-922-8947,(241)-204-3355,SSN,619-88-6729,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
