gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Nicholas,Henry,7161,Lone Wolf Trail,Pearland,Virginia,United States,20551,75.6597,-55.9055,+4:30,Kabul,nicholas.henry@example.com,1997-11-01T00:53:05.394Z,24,2010-12-08T00:39:16.388Z,11,(179)-481-5403,(266)-873-8188,SSN,191-57-5252,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,US
female,Ms,Margie,Harris,4258,W Campbell Ave,Wichita,New Hampshire,United States,39695,-7.4131,-103.0002,-3:30,Newfoundland,margie.harris@example.com,1966-06-12T16:44:40.249Z,55,2004-02-08T08:55:47.181Z,17,(241)-225-2748,(168)-517-3396,SSN,032-46-0745,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
female,Mrs,Louise,Allen,7120,Forest Ln,Milwaukee,Louisiana,United States,38105,-72.4837,-87.2396,-10:00,Hawaii,louise.allen@example.com,1956-11-05T06:54:41.514Z,65,2002-10-26T06:21:06.353Z,19,(232)-352-7176,(006)-978-0204,SSN,541-81-6003,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg,US
female,Miss,Aubrey,Morrison,3674,W Dallas St,Boulder,Nebraska,United States,89709,83.2607,146.8963,-3:30,Newfoundland,aubrey.morrison@example.com,1952-12-17T10:33:32.284Z,69,2008-06-02T17:46:18.078Z,13,(376)-786-9286,(502)-266-3319,SSN,605-05-8555,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg,US
female,Mrs,Janice,Hall,7201,Paddock Way,Celina,Massachusetts,United States,28319,7.8038,84.3487,-7:00,Mountain Time (US & Canada),janice.hall@example.com,1950-08-30T19:19:57.207Z,71,2003-12-20T09:00:01.444Z,18,(885)-369-2815,(425)-261-2423,SSN,697-64-6820,https://randomuser.me/api/portraits/women/47.jpg,https://randomuser.me/api/portraits/med/women/47.jpg,https://randomuser.me/api/portraits/thumb/women/47.jpg,US
male,Mr,Mathew,Barnes,3762,Sunset St,Burkburnett,Kentucky,United States,60788,83.8472,-31.3873,-10:00,Hawaii,mathew.barnes@example.com,1954-03-22T07:37:36.088Z,67,2017-03-11T17:12:48.261Z,4,(841)-768-9693,(027)-122-8778,SSN,660-39-7735,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
male,Mr,Eugene,Simpson,3409,Preston Rd,Richardson,New Jersey,United States,13400,-28.3085,16.3059,-3:30,Newfoundland,eugene.simpson@example.com,1979-12-30T19:08:33.202Z,42,2008-02-17T14:14:24.192Z,13,(400)-159-1061,(664)-403-4056,SSN,866-11-1614,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
female,Miss,Eileen,Ray,2004,Spring St,Boulder,Illinois,United States,77620,-46.5038,123.0811,-2:00,Mid-Atlantic,eileen.ray@example.com,1961-05-26T07:54:24.298Z,60,2015-07-30T16:10:10.234Z,6,(627)-912-3432,(727)-517-3915,SSN,796-02-0151,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
female,Mrs,Natalie,Garcia,4334,Westheimer Rd,Norwalk,Rhode Island,United States,94227,-0.3475,36.6540,+4:30,Kabul,natalie.garcia@example.com,1992-10-22T06:17:52.929Z,29,2002-07-14T07:14:07.072Z,19,(761)-825-5762,(106)-524-0397,SSN,518-88-9499,https://randomuser.me/api/portraits/women/21.jpg,https://randomuser.me/api/portraits/med/women/21.jpg,https://randomuser.me/api/portraits/thumb/women/21.jpg,US
male,Mr,Brennan,Montgomery,3251,Parker Rd,Corona,California,United States,97887,-64.1299,-10.7196,-3:30,Newfoundland,brennan.montgomery@example.com,1971-08-06T10:51:36.555Z,50,2008-09-19T07:17:34.970Z,13,(892)-682-2794,(903)-366-7957,SSN,619-65-5997,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
female,Ms,Sophia,Stewart,6509,Adams St,Ennis,Maryland,United States,97910,-52.8910,-177.2045,-10:00,Hawaii,sophia.stewart@example.com,1947-05-27T11:28:16.355Z,74,2016-05-17T14:17:35.590Z,5,(024)-029-3298,(039)-034-8000,SSN,245-49-3121,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
female,Ms,Ashley,Foster,66,Mockingbird Hill,Newark,North Dakota,United States,94005,59.6580,65.5716,-10:00,Hawaii,ashley.foster@example.com,1975-04-20T06:45:37.429Z,46,2012-05-15T06:57:12.069Z,9,(113)-325-0390,(151)-428-4103,SSN,801-35-8135,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,US
female,Ms,Sally,Hill,9804,Stevens Creek Blvd,Escondido,Kansas,United States,66321,-45.2734,-44.7182,-9:00,Alaska,sally.hill@example.com,1996-06-20T00:19:34.820Z,25,2013-08-16T10:04:47.412Z,8,(031)-239-7631,(160)-336-5199,SSN,693-95-3546,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
male,Mr,Brayden,Rhodes,8166,Walnut Hill Ln,Newport News,Texas,United States,30507,41.6051,57.2049,-10:00,Hawaii,brayden.rhodes@example.com,1977-05-30T02:34:53.627Z,44,2003-05-01T19:39:05.827Z,18,(335)-059-2807,(534)-586-1204,SSN,882-06-1049,https://randomuser.me/api/portraits/men/27.jpg,https://randomuser.me/api/portraits/med/men/27.jpg,https://randomuser.me/api/portraits/thumb/men/27.jpg,US
female,Mrs,Becky,Chapman,3687,Frances Ct,Coppell,Missouri,United States,67195,-66.5423,64.2734,+4:30,Kabul,becky.chapman@example.com,1997-05-22T15:08:51.634Z,24,2005-09-16T22:13:43.079Z,16,(052)-256-0278,(714)-299-0756,SSN,348-13-6709,https://randomuser.me/api/portraits/women/63.jpg,https://randomuser.me/api/portraits/med/women/63.jpg,https://randomuser.me/api/portraits/thumb/women/63.jpg,US
male,Mr,Bradley,Fletcher,6196,Harrison Ct,Lewisville,Louisiana,United States,42922,51.5262,-165.8350,+4:30,Kabul,bradley.fletcher@example.com,1986-01-05T13:44:08.359Z,35,2006-06-02T16:16:17.794Z,15,(846)-253-6626,(437)-926-0522,SSN,843-49-8210,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
